"year","code","city","age_class","male","female","total"
1961,"010","Genova","50-54",29257,32216,61473
1961,"010","Genova","55-59",25194,28476,53670
1961,"010","Genova","60-64",20191,24987,45178
1961,"010","Genova","65-69",15242,20926,36168
1961,"010","Genova","70-74",11710,16180,27890
1961,"010","Genova","75-79",7610,10104,17714
1961,"010","Genova","80-84",2950,5770,8720
1961,"010","Genova","85+",2163,3195,5358
1961,"015","Milano","0",10753,9938,20691
1961,"015","Milano","1-4",38664,36124,74788
1961,"015","Milano","5-9",40793,39351,80144
1961,"015","Milano","10-14",44800,43248,88048
1961,"015","Milano","15-19",51919,53425,105344
1961,"015","Milano","20-24",60811,67291,128102
1961,"015","Milano","25-29",60505,67195,127700
1961,"015","Milano","30-34",64316,69465,133781
1961,"015","Milano","35-39",61857,69866,131723
1961,"015","Milano","40-44",46186,54599,100785
1961,"015","Milano","45-49",58225,67946,126171
1961,"015","Milano","50-54",58179,67766,125945
1961,"015","Milano","55-59",48091,55689,103780
1961,"015","Milano","60-64",35981,45935,81916
1961,"015","Milano","65-69",25245,35955,61200
1961,"015","Milano","70-74",18116,27049,45165
1961,"015","Milano","75-79",10760,17850,28610
1961,"015","Milano","80-84",4765,8590,13355
1961,"015","Milano","85+",1680,3606,5286
1961,"027","Venezia","0",2956,2720,5676
1961,"027","Venezia","1-4",10596,10176,20772
1961,"027","Venezia","5-9",11844,11157,23001
1961,"027","Venezia","10-14",12981,12369,25350
1961,"027","Venezia","15-19",14070,13633,27703
1961,"027","Venezia","20-24",14671,14327,28998
1961,"027","Venezia","25-29",12823,13373,26196
1961,"027","Venezia","30-34",13303,13827,27130
1961,"027","Venezia","35-39",13561,14861,28422
1961,"027","Venezia","40-44",10330,11442,21772
1961,"027","Venezia","45-49",11914,12497,24411
1961,"027","Venezia","50-54",10714,11893,22607
1961,"027","Venezia","55-59",8519,9928,18447
1961,"027","Venezia","60-64",6657,8701,15358
1961,"027","Venezia","65-69",4920,7447,12367
1961,"027","Venezia","70-74",3463,5501,8964
1961,"027","Venezia","75-79",1852,3845,5697
1961,"027","Venezia","80-84",910,2005,2915
1961,"027","Venezia","85+",465,1096,1561
1961,"037","Bologna","0",2669,2475,5144
1961,"037","Bologna","1-4",10074,9432,19506
1961,"037","Bologna","5-9",11060,10506,21566
1961,"037","Bologna","10-14",12824,12219,25043
1961,"037","Bologna","15-19",14041,14145,28186
1961,"037","Bologna","20-24",16357,17178,33535
1961,"037","Bologna","25-29",15580,17130,32710
1961,"037","Bologna","30-34",17313,18943,36256
1961,"037","Bologna","35-39",18494,21103,39597
1961,"037","Bologna","40-44",14514,16750,31264
1961,"037","Bologna","45-49",17381,19391,36772
1961,"037","Bologna","50-54",15755,17909,33664
1961,"037","Bologna","55-59",12220,15064,27284
1961,"037","Bologna","60-64",10012,13249,23261
1961,"037","Bologna","65-69",8154,11503,19657
1961,"037","Bologna","70-74",5975,9048,15023
1961,"037","Bologna","75-79",3485,5890,9375
1961,"037","Bologna","80-84",1640,3040,4680
1961,"037","Bologna","85+",753,1596,2349
1961,"048","Firenze","0",2660,2522,5182
1961,"048","Firenze","1-4",9980,9464,19444
1961,"048","Firenze","5-9",11139,10746,21885
1961,"048","Firenze","10-14",13133,12602,25735
1961,"048","Firenze","15-19",13760,13442,27202
1961,"048","Firenze","20-24",15327,16103,31430
1961,"048","Firenze","25-29",14542,15728,30270
1961,"048","Firenze","30-34",15980,17273,33253
1961,"048","Firenze","35-39",16979,19106,36085
1961,"048","Firenze","40-44",13264,15112,28376
1961,"048","Firenze","45-49",15166,17717,32883
1961,"048","Firenze","50-54",15131,18055,33186
1961,"048","Firenze","55-59",12773,15595,28368
1961,"048","Firenze","60-64",10913,14443,25356
1961,"048","Firenze","65-69",8454,12665,21119
1961,"048","Firenze","70-74",6619,10432,17051
1961,"048","Firenze","75-79",4240,7059,11299
1961,"048","Firenze","80-84",2127,3655,5782
1961,"048","Firenze","85+",840,1770,2610
1961,"049","Livorno","0",1184,1142,2326
1961,"049","Livorno","1-4",4474,4244,8718
1961,"049","Livorno","5-9",5143,4853,9996
1961,"049","Livorno","10-14",6021,5682,11703
1961,"049","Livorno","15-19",6101,6005,12106
1961,"049","Livorno","20-24",6079,6016,12095
1961,"049","Livorno","25-29",5391,5481,10872
1961,"049","Livorno","30-34",5859,6261,12120
1961,"049","Livorno","35-39",6459,6938,13397
1961,"049","Livorno","40-44",5483,5665,11148
1961,"049","Livorno","45-49",5557,5893,11450
1961,"049","Livorno","50-54",5409,5810,11219
1961,"049","Livorno","55-59",4148,4915,9063
1961,"049","Livorno","60-64",3453,4406,7859
1961,"049","Livorno","65-69",2603,3764,6367
1961,"049","Livorno","70-74",1947,2902,4849
1961,"049","Livorno","75-79",1240,2055,3295
1961,"049","Livorno","80-84",630,1064,1694
1961,"049","Livorno","85+",275,525,800
1961,"058","Roma","0",20356,18802,39158
1961,"058","Roma","1-4",73202,68660,141862
1961,"058","Roma","5-9",81156,78526,159682
1961,"058","Roma","10-14",82646,80030,162676
1961,"058","Roma","15-19",83110,83615,166725
1961,"058","Roma","20-24",92117,96900,189017
1961,"058","Roma","25-29",87018,93766,180784
1961,"058","Roma","30-34",88133,94194,182327
1961,"058","Roma","35-39",85725,94015,179740
1961,"058","Roma","40-44",61681,70289,131970
1961,"058","Roma","45-49",71193,79218,150411
1961,"058","Roma","50-54",66630,72278,138908
1961,"058","Roma","55-59",52442,57176,109618
1961,"058","Roma","60-64",40022,47753,87775
1961,"058","Roma","65-69",27508,38014,65522
1961,"058","Roma","70-74",18998,28656,47654
1961,"058","Roma","75-79",11815,19350,31165
1961,"058","Roma","80-84",5520,9535,15055
1961,"058","Roma","85+",2683,5428,8111
1961,"063","Napoli","0",13542,13101,26643
1961,"063","Napoli","1-4",50688,48673,99361
1961,"063","Napoli","5-9",58718,56671,115389
1961,"063","Napoli","10-14",60983,58879,119862
1961,"063","Napoli","15-19",53731,52253,105984
1961,"063","Napoli","20-24",46523,47020,93543
1961,"063","Napoli","25-29",40648,42818,83466
1961,"063","Napoli","30-34",40841,43601,84442
1961,"063","Napoli","35-39",37999,42050,80049
1961,"063","Napoli","40-44",29227,32891,62118
1961,"063","Napoli","45-49",31559,35408,66967
1961,"063","Napoli","50-54",28112,32242,60354
1961,"063","Napoli","55-59",22728,27907,50635
1961,"063","Napoli","60-64",18407,25300,43707
1961,"063","Napoli","65-69",13556,20808,34364
1961,"063","Napoli","70-74",9886,16727,26613
1961,"063","Napoli","75-79",5450,10540,15990
1961,"063","Napoli","80-84",3075,5590,8665
1961,"063","Napoli","85+",1589,3074,4663
1961,"072","Bari","0",3823,3656,7479
1961,"072","Bari","1-4",14246,13691,27937
1961,"072","Bari","5-9",16157,15453,31610
1961,"072","Bari","10-14",16344,16073,32417
1961,"072","Bari","15-19",13952,13995,27947
1961,"072","Bari","20-24",12579,12934,25513
1961,"072","Bari","25-29",11551,12501,24052
1961,"072","Bari","30-34",10980,12107,23087
1961,"072","Bari","35-39",9996,10877,20873
1961,"072","Bari","40-44",7726,8118,15844
1961,"072","Bari","45-49",7762,8435,16197
1961,"072","Bari","50-54",7172,7888,15060
1961,"072","Bari","55-59",5762,6675,12437
1961,"072","Bari","60-64",4644,5830,10474
1961,"072","Bari","65-69",3233,4553,7786
1961,"072","Bari","70-74",2422,3577,5999
1961,"072","Bari","75-79",1605,2365,3970
1961,"072","Bari","80-84",883,1243,2126
1961,"072","Bari","85+",480,735,1215
1961,"082","Palermo","0",6753,6353,13106
1961,"082","Palermo","1-4",25664,23929,49593
1961,"082","Palermo","5-9",30115,28758,58873
1961,"082","Palermo","10-14",30831,29361,60192
1961,"082","Palermo","15-19",24985,24385,49370
1961,"082","Palermo","20-24",23366,23244,46610
1961,"082","Palermo","25-29",20423,22257,42680
1961,"082","Palermo","30-34",20025,21701,41726
1961,"082","Palermo","35-39",19460,21166,40626
1961,"082","Palermo","40-44",13630,15700,29330
1961,"082","Palermo","45-49",16140,17906,34046
1961,"082","Palermo","50-54",14307,15705,30012
1961,"082","Palermo","55-59",11867,13761,25628
1961,"082","Palermo","60-64",9383,11678,21061
1961,"082","Palermo","65-69",6800,9716,16516
1961,"082","Palermo","70-74",5062,7874,12936
1961,"082","Palermo","75-79",3185,5585,8770
1961,"082","Palermo","80-84",1755,2819,4574
1961,"082","Palermo","85+",851,1485,2336
1961,"083","Messina","0",2497,2414,4911
1961,"083","Messina","1-4",9490,9093,18583
1961,"083","Messina","5-9",11837,10855,22692
1961,"083","Messina","10-14",12383,11265,23648
1961,"083","Messina","15-19",10310,10008,20318
1961,"083","Messina","20-24",9738,9730,19468
1961,"083","Messina","25-29",8848,9271,18119
1961,"083","Messina","30-34",8788,9656,18444
1961,"083","Messina","35-39",8449,9880,18329
1961,"083","Messina","40-44",6650,7655,14305
1961,"083","Messina","45-49",7836,8963,16799
1961,"083","Messina","50-54",6965,7834,14799
1961,"083","Messina","55-59",5074,6053,11127
1961,"083","Messina","60-64",4435,5599,10034
1961,"083","Messina","65-69",3582,4914,8496
1961,"083","Messina","70-74",2830,3937,6767
1961,"083","Messina","75-79",1800,2600,4400
1961,"083","Messina","80-84",995,1310,2305
1961,"083","Messina","85+",480,691,1171
1961,"087","Catania","0",4297,3987,8284
1961,"087","Catania","1-4",16200,14886,31086
1961,"087","Catania","5-9",18318,17987,36305
1961,"087","Catania","10-14",18493,17820,36313
1961,"087","Catania","15-19",14950,14569,29519
1961,"087","Catania","20-24",14197,14392,28589
1961,"087","Catania","25-29",13272,14036,27308
1961,"087","Catania","30-34",12553,13924,26477
1961,"087","Catania","35-39",11877,13577,25454
1961,"087","Catania","40-44",8916,9921,18837
1961,"087","Catania","45-49",10000,11090,21090
1961,"087","Catania","50-54",9039,10131,19170
1961,"087","Catania","55-59",7188,8154,15342
1961,"087","Catania","60-64",5733,7041,12774
1961,"087","Catania","65-69",4409,5736,10145
1961,"087","Catania","70-74",3269,4798,8067
1961,"087","Catania","75-79",1975,3100,5075
1961,"087","Catania","80-84",1085,1590,2675
1961,"087","Catania","85+",544,874,1418
1971,"001","Torino","0",9174,9023,18197
1971,"001","Torino","1-4",35631,33310,68941
1971,"001","Torino","5-9",42128,40316,82444
1971,"001","Torino","10-14",37375,35719,73094
1971,"001","Torino","15-19",36653,34550,71203
1971,"001","Torino","20-24",45565,44590,90155
1971,"001","Torino","25-29",45019,43162,88181
1971,"001","Torino","30-34",48497,48702,97199
1971,"001","Torino","35-39",44575,46112,90687
1971,"001","Torino","40-44",44157,46177,90334
1971,"001","Torino","45-49",39874,43503,83377
1971,"001","Torino","50-54",27696,31189,58885
1971,"001","Torino","55-59",31310,35275,66585
1971,"001","Torino","60-64",27927,34173,62100
1971,"001","Torino","65-69",20318,27854,48172
1971,"001","Torino","70-74",13773,22053,35826
1971,"001","Torino","75-79",9930,14955,24885
1971,"001","Torino","80-84",2470,8890,11360
1971,"001","Torino","85+",2100,4243,6343
1971,"010","Genova","0",5422,5027,10449
1971,"010","Genova","1-4",19997,19263,39260
1971,"010","Genova","5-9",27809,26477,54286
1971,"010","Genova","10-14",24330,23005,47335
1971,"010","Genova","15-19",21934,21355,43289
1971,"010","Genova","20-24",26654,25914,52568
1971,"010","Genova","25-29",25623,25887,51510
1971,"010","Genova","30-34",28580,30244,58824
1971,"010","Genova","35-39",27318,28967,56285
1971,"010","Genova","40-44",29905,32193,62098
1971,"010","Genova","45-49",29740,32996,62736
1971,"010","Genova","50-54",23000,26281,49281
1971,"010","Genova","55-59",26187,30258,56445
1971,"010","Genova","60-64",24386,29240,53626
1971,"010","Genova","65-69",18616,24602,43218
1971,"010","Genova","70-74",13111,19897,33008
1971,"010","Genova","75-79",9040,14595,23635
1971,"010","Genova","80-84",3505,8340,11845
1971,"010","Genova","85+",2567,4607,7174
1971,"015","Milano","0",13088,12242,25330
1971,"015","Milano","1-4",47064,44499,91563
1971,"015","Milano","5-9",60028,57783,117811
1971,"015","Milano","10-14",52017,50133,102150
1971,"015","Milano","15-19",47554,46812,94366
1971,"015","Milano","20-24",60954,62931,123885
1971,"015","Milano","25-29",63561,64992,128553
1971,"015","Milano","30-34",69911,73019,142930
1971,"015","Milano","35-39",61518,67671,129189
1971,"015","Milano","40-44",62632,68990,131622
1971,"015","Milano","45-49",58802,67893,126695
1971,"015","Milano","50-54",43659,52577,96236
1971,"015","Milano","55-59",50549,59201,109750
1971,"015","Milano","60-64",47868,59507,107375
1971,"015","Milano","65-69",35973,48604,84577
1971,"015","Milano","70-74",22157,35443,57600
1971,"015","Milano","75-79",12967,24736,37703
1971,"015","Milano","80-84",5740,11905,17645
1971,"015","Milano","85+",2025,4995,7020
1971,"027","Venezia","0",3064,2774,5838
1971,"027","Venezia","1-4",10981,10376,21357
1971,"027","Venezia","5-9",14962,14345,29307
1971,"027","Venezia","10-14",13180,12505,25685
1971,"027","Venezia","15-19",11324,11033,22357
1971,"027","Venezia","20-24",13364,12559,25923
1971,"027","Venezia","25-29",12925,13029,25954
1971,"027","Venezia","30-34",13466,14118,27584
1971,"027","Venezia","35-39",11852,12705,24557
1971,"027","Venezia","40-44",12326,13343,25669
1971,"027","Venezia","45-49",12237,13895,26132
1971,"027","Venezia","50-54",9448,10802,20250
1971,"027","Venezia","55-59",9968,11136,21104
1971,"027","Venezia","60-64",9088,11023,20111
1971,"027","Venezia","65-69",6839,9337,16176
1971,"027","Venezia","70-74",4385,7120,11505
1971,"027","Venezia","75-79",2365,5225,7590
1971,"027","Venezia","80-84",1160,2720,3880
1971,"027","Venezia","85+",590,1493,2083
1971,"037","Bologna","0",3076,2898,5974
1971,"037","Bologna","1-4",11611,11048,22659
1971,"037","Bologna","5-9",15654,14988,30642
1971,"037","Bologna","10-14",14216,13291,27507
1971,"037","Bologna","15-19",12838,12438,25276
1971,"037","Bologna","20-24",15426,15742,31168
1971,"037","Bologna","25-29",15773,16788,32561
1971,"037","Bologna","30-34",17718,19287,37005
1971,"037","Bologna","35-39",16259,18148,34407
1971,"037","Bologna","40-44",17629,19850,37479
1971,"037","Bologna","45-49",18829,21874,40703
1971,"037","Bologna","50-54",14693,17045,31738
1971,"037","Bologna","55-59",16560,18949,35509
1971,"037","Bologna","60-64",14192,17340,31532
1971,"037","Bologna","65-69",10013,14034,24047
1971,"037","Bologna","70-74",7091,11320,18411
1971,"037","Bologna","75-79",4815,8835,13650
1971,"037","Bologna","80-84",2265,4560,6825
1971,"037","Bologna","85+",1045,2390,3435
1971,"048","Firenze","0",2904,2773,5677
1971,"048","Firenze","1-4",10892,10408,21300
1971,"048","Firenze","5-9",14955,14065,29020
1971,"048","Firenze","10-14",13531,12826,26357
1971,"048","Firenze","15-19",11596,11364,22960
1971,"048","Firenze","20-24",14800,14835,29635
1971,"048","Firenze","25-29",13838,14657,28495
1971,"048","Firenze","30-34",15665,17268,32933
1971,"048","Firenze","35-39",13996,15938,29934
1971,"048","Firenze","40-44",15798,17420,33218
1971,"048","Firenze","45-49",16153,18975,35128
1971,"048","Firenze","50-54",13140,14825,27965
1971,"048","Firenze","55-59",13507,16301,29808
1971,"048","Firenze","60-64",14193,17654,31847
1971,"048","Firenze","65-69",11526,15352,26878
1971,"048","Firenze","70-74",8210,12358,20568
1971,"048","Firenze","75-79",5330,9625,14955
1971,"048","Firenze","80-84",2675,4984,7659
1971,"048","Firenze","85+",1051,2415,3466
1971,"049","Livorno","0",1283,1227,2510
1971,"049","Livorno","1-4",4846,4557,9403
1971,"049","Livorno","5-9",6202,6013,12215
1971,"049","Livorno","10-14",5742,5549,11291
1971,"049","Livorno","15-19",5226,4874,10100
1971,"049","Livorno","20-24",6958,6100,13058
1971,"049","Livorno","25-29",5843,5899,11742
1971,"049","Livorno","30-34",5881,6360,12241
1971,"049","Livorno","35-39",5527,6043,11570
1971,"049","Livorno","40-44",6026,6509,12535
1971,"049","Livorno","45-49",6347,6735,13082
1971,"049","Livorno","50-54",5306,5498,10804
1971,"049","Livorno","55-59",4957,5386,10343
1971,"049","Livorno","60-64",5136,5939,11075
1971,"049","Livorno","65-69",3837,5010,8847
1971,"049","Livorno","70-74",2561,3839,6400
1971,"049","Livorno","75-79",1515,2795,4310
1971,"049","Livorno","80-84",765,1445,2210
1971,"049","Livorno","85+",338,717,1055
1971,"058","Roma","0",26270,24705,50975
1971,"058","Roma","1-4",94468,90216,184684
1971,"058","Roma","5-9",125683,119303,244986
1971,"058","Roma","10-14",104951,100255,205206
1971,"058","Roma","15-19",93837,91966,185803
1971,"058","Roma","20-24",101106,102772,203878
1971,"058","Roma","25-29",95726,104225,199951
1971,"058","Roma","30-34",108339,117944,226283
1971,"058","Roma","35-39",101894,110828,212722
1971,"058","Roma","40-44",100618,106449,207067
1971,"058","Roma","45-49",92929,102047,194976
1971,"058","Roma","50-54",65434,74679,140113
1971,"058","Roma","55-59",70177,79427,149604
1971,"058","Roma","60-64",60370,69851,130221
1971,"058","Roma","65-69",42203,52813,95016
1971,"058","Roma","70-74",27714,40650,68364
1971,"058","Roma","75-79",16820,30255,47075
1971,"058","Roma","80-84",7860,14907,22767
1971,"058","Roma","85+",3812,8490,12302
1971,"063","Napoli","0",13177,12592,25769
1971,"063","Napoli","1-4",49317,46781,96098
1971,"063","Napoli","5-9",64376,61844,126220
1971,"063","Napoli","10-14",58718,56597,115315
1971,"063","Napoli","15-19",53528,52633,106161
1971,"063","Napoli","20-24",54031,51046,105077
1971,"063","Napoli","25-29",41421,41676,83097
1971,"063","Napoli","30-34",36116,39163,75279
1971,"063","Napoli","35-39",34383,37981,72364
1971,"063","Napoli","40-44",36090,39509,75599
1971,"063","Napoli","45-49",33903,38680,72583
1971,"063","Napoli","50-54",26060,30022,56082
1971,"063","Napoli","55-59",26752,31107,57859
1971,"063","Napoli","60-64",23032,28296,51328
1971,"063","Napoli","65-69",16980,23559,40539
1971,"063","Napoli","70-74",11268,18643,29911
1971,"063","Napoli","75-79",6445,13915,20360
1971,"063","Napoli","80-84",3644,7380,11024
1971,"063","Napoli","85+",1875,4054,5929
1971,"072","Bari","0",3943,3726,7669
1971,"072","Bari","1-4",14689,13955,28644
1971,"072","Bari","5-9",19262,18494,37756
1971,"072","Bari","10-14",17456,16736,34192
1971,"072","Bari","15-19",15502,15140,30642
1971,"072","Bari","20-24",15569,15201,30770
1971,"072","Bari","25-29",12360,12735,25095
1971,"072","Bari","30-34",11411,12383,23794
1971,"072","Bari","35-39",10796,11989,22785
1971,"072","Bari","40-44",10600,11626,22226
1971,"072","Bari","45-49",9616,10400,20016
1971,"072","Bari","50-54",7285,7810,15095
1971,"072","Bari","55-59",7001,7704,14705
1971,"072","Bari","60-64",6518,7563,14081
1971,"072","Bari","65-69",5284,6578,11862
1971,"072","Bari","70-74",3456,4890,8346
1971,"072","Bari","75-79",1898,3310,5208
1971,"072","Bari","80-84",1045,1740,2785
1971,"072","Bari","85+",570,1033,1603
1971,"082","Palermo","0",6762,6384,13146
1971,"082","Palermo","1-4",25696,24046,49742
1971,"082","Palermo","5-9",32632,31094,63726
1971,"082","Palermo","10-14",30570,29492,60062
1971,"082","Palermo","15-19",28067,26950,55017
1971,"082","Palermo","20-24",27756,27078,54834
1971,"082","Palermo","25-29",21032,21702,42734
1971,"082","Palermo","30-34",19617,21772,41389
1971,"082","Palermo","35-39",18660,21249,39909
1971,"082","Palermo","40-44",18914,20878,39792
1971,"082","Palermo","45-49",18725,20248,38973
1971,"082","Palermo","50-54",12847,14925,27772
1971,"082","Palermo","55-59",14559,16260,30819
1971,"082","Palermo","60-64",12449,14345,26794
1971,"082","Palermo","65-69",9648,12274,21922
1971,"082","Palermo","70-74",6479,9532,16011
1971,"082","Palermo","75-79",3815,7471,11286
1971,"082","Palermo","80-84",2101,3770,5871
1971,"082","Palermo","85+",1020,1995,3015
1971,"083","Messina","0",2266,2123,4389
1971,"083","Messina","1-4",8609,8000,16609
1971,"083","Messina","5-9",11418,10806,22224
1971,"083","Messina","10-14",11250,10466,21716
1971,"083","Messina","15-19",10273,9800,20073
1971,"083","Messina","20-24",10627,9786,20413
1971,"083","Messina","25-29",7903,8116,16019
1971,"083","Messina","30-34",7327,7876,15203
1971,"083","Messina","35-39",7199,8088,15287
1971,"083","Messina","40-44",7609,8478,16087
1971,"083","Messina","45-49",7450,8833,16283
1971,"083","Messina","50-54",5913,6833,12746
1971,"083","Messina","55-59",6739,7760,14499
1971,"083","Messina","60-64",5869,6692,12561
1971,"083","Messina","65-69",4092,5199,9291
1971,"083","Messina","70-74",3071,4248,7319
1971,"083","Messina","75-79",2060,3495,5555
1971,"083","Messina","80-84",1135,1764,2899
1971,"083","Messina","85+",553,930,1483
1971,"087","Catania","0",4091,3965,8056
1971,"087","Catania","1-4",15423,14804,30227
1971,"087","Catania","5-9",20396,19014,39410
1971,"087","Catania","10-14",19373,17973,37346
1971,"087","Catania","15-19",17784,17404,35188
1971,"087","Catania","20-24",17223,16255,33478
1971,"087","Catania","25-29",12940,13281,26221
1971,"087","Catania","30-34",12284,13160,25444
1971,"087","Catania","35-39",12061,13042,25103
1971,"087","Catania","40-44",11823,13343,25166
1971,"087","Catania","45-49",11295,13116,24411
1971,"087","Catania","50-54",8422,9636,18058
1971,"087","Catania","55-59",9117,10126,19243
1971,"087","Catania","60-64",8040,9307,17347
1971,"087","Catania","65-69",5922,7305,13227
1971,"087","Catania","70-74",4100,5721,9821
1971,"087","Catania","75-79",2530,4278,6808
1971,"087","Catania","80-84",1390,2190,3580
1971,"087","Catania","85+",699,1215,1914
