COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1250720,610504,640216,10320,9849,20169,26937,26081,53018,49277,48805,98082,57007,56657,113664,57745,57701,115446,65039,59904,124943,50124,55006,105130,48176,54780,102956,43157,47498,90655,38902,41869,80771,34868,38584,73452,30864,33791,64655,28837,31242,60079,24739,27205,51944,18925,20929,39854,13333,15304,28637,7769,9235,17004,3401,4199,7600,1084,1577,2661,231.1,11.0,43.8,32.1
3,Novara,723267,341666,381601,6304,5954,12258,15178,14389,29567,31105,29692,60797,35813,35838,71651,34092,36497,70589,30287,34506,64793,25350,31307,56657,24398,29499,53897,21659,26660,48319,21164,25332,46496,20054,22918,42972,17683,20300,37983,16826,19575,36401,14604,16721,31325,11049,12832,23881,8181,9900,18081,4933,5807,10740,2220,2790,5010,766,1084,1850,227.6,12.2,47.8,32.2
4,Cuneo,621716,311311,310405,6685,6479,13164,19614,18921,38535,33581,33008,66589,35326,34419,69745,31530,30977,62507,27108,27020,54128,20750,23132,43882,19225,21258,40483,18071,19360,37431,17699,17704,35403,16914,16703,33617,15097,14700,29797,13879,13409,27288,12256,11691,23947,10010,9323,19333,7229,6588,13817,4176,3671,7847,1673,1539,3212,488,503,991,370.7,11.6,60.0,29.6
6,Alessandria,763879,381337,382542,0,0,0,19893,19295,39188,37670,37104,74774,42154,40871,83025,40801,39124,79925,34793,35682,70475,27805,30131,57936,25936,27932,53868,23799,25889,49688,22934,23162,46096,21575,20759,42334,19200,18707,37907,17917,17581,35498,16488,16216,32704,13307,12535,25842,8943,8796,17739,5434,5399,10833,2063,2401,4464,625,958,1583,215.4,11.9,50.8,31.4
8,Imperia,149998,74620,75378,1272,1303,2575,3425,3372,6797,6124,5991,12115,6749,6922,13671,6699,6913,13612,6789,6276,13065,5455,6059,11514,5275,5818,11093,4985,5360,10345,4992,4962,9954,4501,4518,9019,4205,4012,8217,4023,3791,7814,3332,3280,6612,2581,2559,5140,2084,2139,4223,1356,1297,2653,574,573,1147,199,233,432,264.8,13.4,48.2,33.0
10,Genova,1171827,584146,587681,11145,10858,22003,31760,30892,62652,52163,51008,103171,56800,55432,112232,56671,55804,112475,58974,55127,114101,49087,53503,102590,46670,49118,95788,41265,41970,83235,37160,37612,74772,33061,32445,65506,28525,28360,56885,25785,25202,50987,20045,20937,40982,15066,16127,31193,10147,11489,21636,6151,6957,13108,2630,3302,5932,1041,1538,2579,288.8,9.3,47.0,30.4
13,Como,628979,301012,327967,6902,6505,13407,17226,17260,34486,32685,32211,64896,36115,36154,72269,31405,33230,64635,24668,29949,54617,21238,25675,46913,20441,24269,44710,19239,22317,41556,18586,20091,38677,16056,17928,33984,13667,14843,28510,12142,13449,25591,10491,11579,22070,8774,9580,18354,5844,6717,12561,3565,3824,7389,1483,1720,3203,485,666,1151,307.9,10.6,56.7,29.5
14,Sondrio,130868,64108,66760,1698,1795,3493,4696,4648,9344,7527,7186,14713,7589,7234,14823,6494,6244,12738,5269,5203,10472,3873,4625,8498,3535,4320,7855,3625,4107,7732,3830,4141,7971,3450,3715,7165,3065,3299,6364,2686,2997,5683,2118,2395,4513,1864,1936,3800,1392,1555,2947,905,880,1785,367,364,731,125,116,241,448.2,12.0,65.7,29.1
15,Milano,1903706,934273,969433,20620,19370,39990,52657,51296,103953,93679,92317,185996,102770,102167,204937,95952,99457,195409,84841,93533,178374,79244,86042,165286,75345,79456,154801,68115,70926,139041,61847,61674,123521,50241,50822,101063,40803,41361,82164,35120,36699,71819,28654,30897,59551,21019,23706,44725,13181,16262,29443,6966,8710,15676,2541,3509,6050,678,1229,1907,293.1,7.7,49.8,28.8
16,Bergamo,554349,269840,284509,9221,9034,18255,21030,20991,42021,34422,33785,68207,34942,34208,69150,29358,30240,59598,20628,25511,46139,18288,21943,40231,17062,20236,37298,15566,17751,33317,15006,15559,30565,12873,13285,26158,11076,11260,22336,9765,9620,19385,7897,8124,16021,5881,6066,11947,3863,3851,7714,2079,2053,4132,684,753,1437,199,239,438,459.3,7.8,67.5,26.3
17,Brescia,649844,322710,327134,9432,8778,18210,23801,23756,47557,36857,36599,73456,37351,36504,73855,32727,32456,65183,27470,29856,57326,24216,25953,50169,22023,23196,45219,19440,20455,39895,18147,18049,36196,16205,15908,32113,14817,14485,29302,12972,12616,25588,10205,10409,20614,7784,7994,15778,5075,5479,10554,2803,3074,5877,1061,1156,2217,324,411,735,438.5,8.8,61.8,27.7
18,Pavia,491068,243356,247712,4433,4202,8635,11338,11186,22524,22957,22296,45253,26726,25442,52168,25751,25297,51048,20682,23621,44303,17827,19704,37531,16086,17545,33631,15439,16375,31814,15121,15557,30678,13947,13672,27619,12226,12346,24572,11725,11112,22837,9839,10058,19897,8254,8138,16392,5630,5620,11250,3483,3463,6946,1403,1528,2931,489,550,1039,263.8,11.9,51.6,31.1
19,Cremona,356772,177029,179743,4509,4293,8802,10617,10266,20883,18872,18628,37500,20174,19588,39762,18414,18069,36483,15256,15779,31035,12993,14255,27248,11828,12766,24594,10749,11748,22497,9822,10092,19914,9437,9481,18918,8889,8903,17792,7918,8037,15955,6440,6378,12818,4923,5021,9944,3169,3364,6533,2019,2017,4036,775,815,1590,225,243,468,358.9,9.9,57.0,29.2
20,Mantova,376134,189039,187095,4940,4763,9703,12768,12483,25251,21308,20692,42000,21043,20574,41617,19377,18361,37738,16151,16838,32989,13862,14626,28488,12688,13246,25934,11366,11351,22717,10413,10000,20413,9721,9384,19105,9187,8464,17651,8271,7900,16171,6310,6134,12444,4571,4721,9292,3500,3773,7273,2242,2263,4505,996,1115,2111,325,407,732,414.0,10.2,61.0,28.6
