COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,562287,290567,271720,7755,7497,15252,22916,22522,45438,24530,23736,48266,22890,22466,45356,23437,24443,47880,20501,22496,42997,17921,19969,37890,19002,17467,36469,19261,17782,37043,14831,13263,28094,14029,12734,26763,12473,10694,23167,10890,9788,20678,6863,5758,12621,4798,4215,9013,27350,20900,48250,14940,11260,26200,4740,3330,8070,1440,1400,2840,525.8,30.1,79.3,33.7
3,Novara,256023,131030,124993,4301,4020,8321,12618,12504,25122,13056,12655,25711,12896,11896,24792,11672,12266,23938,10770,10980,21750,10744,10715,21459,9278,8846,18124,9902,9391,19293,7249,6619,13868,7057,6502,13559,5911,5088,10999,5509,4966,10475,3753,2917,6670,3085,2881,5966,1651,1424,3075,1025,884,1909,396,311,707,157,128,285,568.6,7.5,59.9,27.2
4,Cuneo,260671,133087,127584,4572,4337,8909,13772,13438,27210,13652,13199,26851,12731,12263,24994,11185,12048,23233,11910,11067,22977,11200,10505,21705,8941,8753,17694,10083,9608,19691,6838,6398,13236,6592,6326,12918,5708,5224,10932,5600,5257,10857,3900,3293,7193,3180,2984,6164,1696,1420,3116,1046,1036,2082,339,303,642,142,125,267,618.7,7.6,62.5,26.9
6,Alessandria,208760,107618,101142,3283,3265,6548,10665,10482,21147,10989,10442,21431,11025,10539,21564,9563,10310,19873,9989,8810,18799,9603,8436,18039,7011,6732,13743,7953,7509,15462,5888,5569,11457,5927,5719,11646,4751,4138,8889,4349,3863,8212,2570,2470,5040,1929,1932,3861,1146,435,1581,655,307,962,233,134,367,89,50,139,584.7,5.3,59.2,26.2
8,PortoMaurizio,227359,111658,115701,3726,3610,7336,11965,11291,23256,12212,11463,23675,11603,11073,22676,8613,11033,19646,6637,9601,16238,8914,9504,18418,7135,7634,14769,8190,8980,17170,5654,5976,11630,6160,6639,12799,4954,5096,10050,4755,5394,10149,3890,3554,7444,3146,3314,6460,1976,596,2572,1334,522,1856,530,254,784,264,167,431,580.2,8.8,64.4,27.8
10,Genova,219544,111330,108214,4057,3884,7941,11149,10579,21728,11642,11213,22855,11469,10973,22442,8479,10115,18594,8324,9455,17779,9348,9479,18827,7786,7376,15162,8364,8070,16434,5842,5207,11049,5667,5303,10970,4614,3885,8499,4345,4193,8538,3506,2854,6360,2906,2672,5578,2020,1439,3459,1129,970,2099,479,339,818,204,208,412,596.9,9.4,66.1,27.3
13,Como,647943,325002,322941,10080,9882,19962,32764,32140,64904,34740,34051,68791,33496,31642,65138,29097,31524,60621,29504,27451,56955,27905,28250,56155,21934,21722,43656,25665,26125,51790,16735,16692,33427,18853,19893,38746,12156,12355,24511,12507,14001,26508,7082,7810,14892,6046,7229,13275,2819,797,3616,2241,824,3065,889,356,1245,489,197,686,559.2,5.4,59.1,26.3
14,Sondrio,308576,155736,152840,5637,5397,11034,17968,17151,35119,18991,18129,37120,16854,16301,33155,13690,14356,28046,9770,7881,17651,6258,4594,10852,5027,5026,10053,14390,15675,30065,9504,10104,19608,10854,12158,23012,7315,7590,14905,7683,8303,15986,4356,4550,8906,3763,4422,8185,1823,464,2287,1213,455,1668,418,177,595,222,107,329,800.8,7.3,72.3,27.2
15,Milano,948320,483167,465153,16724,16338,33062,49494,49769,99263,51297,51273,102570,48427,48910,97337,49296,50753,100049,41028,43201,84229,38736,38715,77451,35418,32414,67832,32370,30193,62563,27745,24566,52311,25590,23368,48958,22369,18562,40931,18020,15751,33771,11850,9642,21492,7390,6016,13406,4244,3242,7486,2093,1621,3714,815,590,1405,261,229,490,601.9,4.5,60.8,25.4
16,Bergamo,384526,288041,96485,9428,0,9428,31264,0,31264,33196,0,33196,28978,0,28978,25198,7,25205,27153,68,27221,23831,236,24067,17340,4313,21653,21617,21726,43343,15345,14639,29984,17918,18097,36015,10253,9524,19777,10480,10876,21356,4976,4887,9863,5190,5611,10801,2363,2527,4890,2287,2634,4921,791,803,1594,433,537,970,992.8,9.0,48.8,31.5
