COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,973016,480422,492594,12556,12750,25306,40474,40246,80720,50564,50866,101430,49038,49716,98754,43511,46486,89997,42645,43832,86477,34304,40947,75251,32945,36907,69852,29075,31988,61063,29889,31265,61154,26705,26357,53062,25577,24759,50336,19334,17660,36994,17914,16521,34435,11655,9891,21546,8179,7167,15346,3730,3141,6871,1686,1525,3211,641,570,1211,458.1,7.8,57.3,28.2
3,Novara,624985,303198,321787,9469,9430,18899,28526,28404,56930,36341,36038,72379,32004,32798,64802,26197,30092,56289,25608,28613,54221,21533,26069,47602,20651,23220,43871,18782,20991,39773,18577,19674,38251,16687,16599,33286,14666,15519,30185,10447,10619,21066,9800,10091,19891,6519,6295,12814,4204,4116,8320,1966,1924,3890,915,978,1893,306,317,623,510.1,7.2,62.6,27.0
4,Cuneo,617860,315552,302308,9263,8964,18227,27775,27157,54932,34020,33349,67369,32438,31525,63963,27855,29525,57380,25751,26614,52365,23010,24082,47092,21248,21767,43015,18806,18567,37373,19080,18699,37779,17372,15468,32840,16657,14687,31344,12913,10131,23044,11687,9510,21197,7745,5509,13254,5669,3967,9636,2696,1695,4391,1167,798,1965,400,294,694,525.4,7.8,61.1,27.6
6,Alessandria,683360,349979,333381,10056,9651,19707,30973,30205,61178,39230,38578,77808,36567,35692,72259,31721,33605,65326,29148,28887,58035,25463,26194,51657,23122,23152,46274,20432,20143,40575,21024,20051,41075,18795,16294,35089,18141,16063,34204,13858,10930,24788,13007,10729,23736,8422,5962,14384,5842,4276,10118,2580,1670,4250,1238,949,2187,360,350,710,532.0,7.5,62.4,27.3
8,PortoMaurizio,127053,63043,64010,1681,1582,3263,4887,5115,10002,6332,6224,12556,5680,5963,11643,5013,5470,10483,5068,5690,10758,4776,4954,9730,4281,4507,8788,3834,3861,7695,3805,4069,7874,3470,3475,6945,3599,3539,7138,2698,2471,5169,2763,2741,5504,2031,1889,3920,1674,1411,3085,791,569,1360,474,333,807,186,147,333,464.6,11.9,58.6,30.3
10,Genova,715378,356415,358963,9776,9468,19244,32499,32063,64562,40750,40206,80956,36498,36575,73073,31392,36216,67608,32782,31909,64691,26049,27000,53049,23642,24993,48635,19849,20992,40841,21013,21990,43003,17563,16875,34438,17808,18019,35827,12005,10100,22105,12477,12637,25114,8557,7512,16069,7183,6599,13782,3583,3035,6618,2079,1891,3970,910,883,1793,513.8,9.7,64.3,27.8
13,Como,477646,236112,241534,7578,7357,14935,22170,21805,43975,27019,26290,53309,25161,25014,50175,22763,25161,47924,18864,22917,41781,16962,20143,37105,16039,17592,33631,13835,14922,28757,13680,13562,27242,11879,11681,23560,11191,10565,21756,9035,7996,17031,8450,7466,15916,5554,4517,10071,3272,2724,5996,1699,1166,2865,708,515,1223,253,141,394,515.4,7.0,62.1,26.7
14,Sondrio,110374,53699,56675,1710,1701,3411,5362,5420,10782,6103,6094,12197,5242,5352,10594,4884,5149,10033,3395,5128,8523,3618,4658,8276,3508,4143,7651,3280,3701,6981,3424,3540,6964,3026,2995,6021,2669,2558,5227,2226,1937,4163,2067,1896,3963,1518,1193,2711,944,740,1684,447,313,760,215,119,334,61,38,99,539.3,8.2,62.8,27.7
15,Milano,1008835,514636,494199,14863,13981,28844,45989,44837,90826,53128,52483,105611,50814,49753,100567,48207,49161,97368,47241,47062,94303,43281,43368,86649,37930,37678,75608,34511,32719,67230,31435,28547,59982,26338,23699,50037,24467,21844,46311,18196,16179,34375,17023,15727,32750,11014,8952,19966,6152,5044,11196,2637,1972,4609,1065,904,1969,345,289,634,501.7,6.0,56.5,26.9
16,Bergamo,367760,186722,181038,6085,5885,11970,17257,16791,34048,19828,19839,39667,18549,18094,36643,16825,17240,34065,15022,16429,31451,15072,15768,30840,13709,13967,27676,11935,11612,23547,11800,10871,22671,10133,8929,19062,9021,8195,17216,6810,5930,12740,6497,5548,12045,4239,3029,7268,2327,1837,4164,1078,709,1787,409,286,695,126,79,205,535.8,6.1,59.0,26.9
