COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1831422,888426,938973,12892,12355,25247,47442,44664,92106,53227,50678,103905,56036,53686,109722,59374,55087,114461,75897,72365,148262,78435,74013,152448,79663,77653,157316,72024,73805,145829,50412,53423,103835,63056,66036,129092,62976,68710,131686,53763,60377,114140,46442,57439,103881,31599,43560,75159,20193,35145,59361,14908,22803,37711,7146,11685,18831,2941,5489,8430,288.8,15.3,40.8,36.5
2,Vercelli,394864,191706,208405,2343,2253,4596,8820,8311,17131,11065,10555,21620,12582,12170,24752,11221,11125,22346,14634,13957,28591,14553,13915,28468,15257,15315,30572,14825,15531,30356,10003,10689,20692,13623,15040,28663,14677,16300,30977,13438,15417,28855,10821,14405,25226,8428,11794,20222,7159,9832,16991,4646,5770,11703,2515,4085,66,1096,1941,3037,269.8,18.9,43.7,38.4
3,Novara,455773,218783,237287,3142,2978,6120,11430,11061,22491,13898,13456,27354,15326,14890,30216,14008,13463,27471,17679,17446,35125,16372,15973,32345,17812,17770,35582,16814,17240,34054,11726,12330,24056,15952,17117,33069,16543,17966,34509,14570,16425,30995,11642,14586,26228,8828,12053,20881,7264,10113,17377,4564,6827,8916,242,3698,6118,971,1895,2866,303.7,17.9,45.4,37.2
4,Cuneo,540684,267111,269829,3275,3356,6631,13557,12378,25935,16957,16531,33488,19303,18950,38253,20933,19058,39991,20759,19232,39991,19322,18060,37382,20597,18882,39479,18894,19246,38140,13304,14751,28055,19271,19264,38535,20021,19095,39116,17519,17861,35380,14511,16360,30871,13294,13720,27014,7634,11276,20593,6403,6339,11896,323,3779,7009,1234,1691,2925,298.1,18.9,47.3,37.0
5,Asti,213951,105177,108774,1198,1239,2437,4867,4524,9391,6009,5665,11674,6879,6803,13682,6055,5833,11888,7286,6719,14005,6940,6386,13326,7506,7453,14959,7479,7736,15215,5449,5579,11028,7663,7806,15469,8383,8383,16766,6966,7942,14908,6966,7854,14820,5358,6270,11628,4664,5527,10191,3224,4001,7225,1600,2073,3673,685,981,1666,297.9,24.1,50.3,39.9
6,Alessandria,438961,224324,221171,254,239,493,7641,7130,18992,12242,9473,23803,14155,11118,27856,13656,13042,26698,13518,13238,32516,16351,15771,32122,17596,14287,22334,17614,18141,35755,22840,13501,29987,14386,18231,28837,11798,19457,31660,17213,17820,28724,13981,13193,30243,11233,11816,25812,7913,10113,18026,6644,7309,15285,3783,4901,8684,1506,2391,1134,221.5,23.1,46.9,39.7
7,Valled'Aosta,101152,50786,50162,733,670,1403,2685,2606,5291,3443,3350,6793,3883,3635,7518,3506,3364,6870,4029,3988,8017,4000,3684,7704,4336,4086,8383,4097,3940,8037,3003,2998,6041,3811,3508,7322,3727,3413,7140,2925,2900,5818,2173,2460,4838,1562,2045,3607,1289,1628,2899,841,1105,1946,505,510,1015,238,272,510,303.4,14.2,44.2,35.1
8,Imperia,202219,96729,104338,1411,1283,2694,5267,5042,10309,5868,5712,11580,6365,6375,12740,6066,5967,12033,7317,7359,14676,7789,7592,15381,7852,7920,15772,7223,7819,15042,5385,5938,11323,6765,7235,14000,7163,7592,14755,6254,7082,13336,5223,6131,11354,4280,5500,9780,3330,4275,7605,2435,3002,5437,128,1679,2959,608,835,1443,305.3,19.8,46.9,37.7
9,Savona,262847,128460,134387,1546,1492,3038,5886,5623,11509,7140,6718,13858,7850,7750,15600,8117,8006,16123,9708,9555,19263,9655,9549,19204,10408,10162,20570,10209,10449,20658,7678,8325,16003,9790,10282,20072,9828,10233,20061,8422,8901,17323,6748,7900,14648,5401,6941,12342,4374,5524,9898,3033,3615,6648,1696,2168,3864,971,1194,2165,259.6,19.0,42.9,38.3
10,Genova,1030835,485175,530243,6165,5901,12066,23355,22015,45370,26481,25556,52037,30810,29353,60163,30570,30096,60666,36361,36623,72984,36274,36703,72977,40132,41356,81488,39864,42721,82585,31639,34618,66257,37914,42319,80233,38490,42095,80585,33536,37795,71331,27008,33599,60607,19880,23273,48157,13084,21910,38081,10619,12177,25064,562,7895,13515,2431,4238,6669,258.6,18.0,41.3,38.4
11,LaSpezia,239246,116076,123170,1626,1432,3058,5747,5455,11202,6713,6473,13186,8022,7547,15569,8032,7482,15514,9005,8724,17729,8081,8245,16326,9080,9402,18482,9560,10301,19861,7483,8125,15608,8966,9155,18121,8553,8794,17347,7040,7804,14844,5894,7363,13257,4698,6283,10981,3646,4743,8389,2188,3098,5286,1144,1703,2847,598,1041,1639,272.8,17.4,43.2,37.3
12,Varese,532766,246230,273387,439,43,869,16489,15761,17940,19198,15434,37935,17330,20068,41286,13385,19707,40103,15437,19772,38638,23131,18865,46199,23043,19064,46220,21805,22969,44774,15096,16521,27396,12072,17497,40945,20040,22051,34432,13583,15655,35619,12424,15672,23344,8750,12608,21358,6709,10029,16738,4399,6722,11121,2098,3414,5512,802,1535,2337,160.9,15.1,41.1,36.1
13,Como,622433,301437,320996,4745,4545,9290,17595,17082,34677,21689,21054,42743,24122,23400,47522,22139,21325,43464,25879,24985,50864,24545,24188,48733,24495,24495,48990,22869,24288,47157,15509,17039,32548,20793,22478,43271,20951,22768,43719,17375,19727,37102,13331,17120,30451,9817,13545,23362,7551,11034,18585,4893,7146,12039,2319,3453,5772,820,1324,2144,322.5,14.5,46.0,34.7
14,Sondrio,161137,79469,81668,1574,1505,3079,5783,5807,11590,6907,6832,13739,7179,7095,14274,6265,6151,12416,7171,6282,13453,6641,6004,12645,6211,5696,11907,5607,5664,11271,3689,4131,7820,4733,5038,9771,4815,5022,9837,3771,4168,7939,2834,3582,6416,2168,2897,5065,1717,2565,4282,1279,1745,3024,784,1017,1801,341,467,808,432.4,14.5,55.7,32.2
15,Milano,3156805,1520043,1636762,24701,22980,47681,88818,83532,172350,98229,95723,193952,105820,102193,208013,109094,108385,217479,130272,136252,266524,130777,135314,266091,134858,136456,271314,125168,132347,257515,87493,97385,184878,110146,122388,232534,109197,121129,230326,88630,99492,188122,65905,81631,147536,46065,63975,110040,33389,47382,80771,19691,29824,49515,8718,14352,23070,3072,6022,9094,294.9,12.0,39.5,34.7
16,Bergamo,743262,363419,379843,7184,6792,13976,27474,25880,53354,32103,31400,63503,34258,33524,67782,29542,30362,59904,33851,33009,66860,30245,29071,59316,29595,28545,58140,26952,27739,54691,17886,19147,37033,22089,23965,46054,20671,22636,43307,16218,19271,35489,12380,16004,28384,9146,12940,22086,7036,9933,16969,4211,5913,10124,1932,2663,4595,646,1049,1695,401.1,11.3,51.9,31.1
17,Brescia,866162,376160,448305,7802,7677,15479,29723,28293,58016,29242,34368,69955,32213,38169,77636,35920,34726,70646,40252,38327,78579,22206,33329,68387,29025,34437,69591,27371,34296,67589,13420,24012,46342,17791,28725,44869,25575,27139,52714,20768,22992,43760,16426,20222,30339,10238,16527,29006,9252,12381,21633,5565,7563,13128,2466,3628,6094,905,1494,2399,369.1,12.6,51.2,31.7
18,Pavia,518193,254759,263434,2966,2824,5790,11482,10798,22280,14044,13243,27287,16145,15271,31416,14703,13953,28656,19105,18031,37136,19441,18774,38215,20268,19824,40092,19619,20326,39945,13338,14104,27442,18980,19845,38825,20391,20881,41272,18284,18824,37108,14929,16995,31924,11433,13984,25417,9007,11366,20373,6151,7913,14064,3154,4357,7511,1319,2121,3440,267.3,19.6,43.7,38.8
19,Cremona,351160,172751,178409,2423,2356,4779,9260,9136,18396,11656,11457,23113,13918,13099,27017,11714,11308,23022,14809,13667,28476,13366,12391,25757,13730,13171,26901,13696,13976,27672,9137,9395,18532,11679,12298,23977,12158,12416,24574,10555,11381,21936,8564,10034,18598,6370,8717,15087,4916,6564,11480,2988,4356,7344,1334,1949,3283,478,738,1216,313.6,16.0,46.7,35.6
20,Mantova,387255,191918,195337,2847,2689,5536,10463,9919,20382,12919,12426,25345,15004,14297,29301,13119,12586,25705,15028,14161,29189,14274,13425,27699,14424,14146,28570,15035,15213,30248,10781,11133,21914,13739,14018,27757,13515,13532,27047,12113,11960,24073,9604,10836,20440,7260,9243,16503,5691,7231,12922,3664,4898,8562,1746,2421,4167,692,1203,1895,321.3,16.8,47.4,35.9
21,Bolzano-Bozen,373861,186003,187858,3961,3823,7784,14344,13828,28172,15654,15111,30765,15710,15136,30846,16966,16176,33142,17691,15498,33189,14722,13529,28251,14508,13788,28296,13461,14303,27764,8778,10059,18837,10649,11583,22232,11450,11593,23043,9493,9850,19343,7202,7788,14990,4639,5935,10574,3205,4616,7821,2088,3024,5112,1049,1616,2665,433,602,1035,431.4,10.9,50.1,31.3
22,Trento,412101,201897,210204,3512,3399,6911,13502,13075,26577,16575,15779,32354,17371,16855,34226,15885,15459,31344,16103,15343,31446,14251,13613,27864,15187,14826,30013,16166,16241,32407,9816,10525,20341,12270,13054,25324,13518,14373,27891,11039,12492,23531,8804,10829,19633,6738,8714,15452,5145,7155,12300,3334,4924,8258,1851,2437,4288,830,1111,1941,389.4,15.7,52.7,33.9
23,Verona,611195,312450,330983,5598,5402,11,15998,20179,31893,21438,24978,51159,27402,22237,54310,25824,25381,51205,22895,26736,43052,24790,24076,48866,25078,25229,50307,25619,21821,52156,17507,18215,35722,21267,22728,35391,20839,21837,42676,16937,19275,30200,13856,16524,24557,10503,13547,19973,7969,10650,18619,5182,6886,12068,2643,3543,6186,1105,1739,2844,225.5,14.4,47.6,34.0
24,Vicenza,536469,280561,272315,5605,5303,10908,20981,20094,41075,24651,19039,30847,26580,21388,52702,16981,21152,42165,26585,21485,52813,22873,18565,37046,22525,14132,36873,22001,23256,45257,10960,14431,19505,15443,12438,38933,18677,19661,25270,14548,16541,25743,9517,14612,26046,8979,11969,20948,5671,9459,13267,4614,4038,8949,2308,3194,5502,1062,1558,2620,459.9,14.7,53.4,32.6
25,Belluno,234884,114350,120534,1724,1653,3377,6485,6281,12766,8895,8516,17411,9576,9200,18776,8861,8697,17558,9364,8973,18337,8359,7998,16357,8875,8536,17411,9165,9134,18299,6621,6684,13305,7601,7928,15529,7641,8249,15890,6195,7422,13617,4812,6385,11197,3640,5199,8839,2856,4294,7150,2052,2982,5034,1141,1576,2717,487,827,1314,322.7,15.9,49.1,34.8
26,Treviso,607663,298664,308937,5253,5175,10428,20502,19497,39999,25041,24118,49159,26752,25556,52308,25560,24809,50358,26087,24678,50893,21601,20615,42196,21961,21801,43720,22584,23646,46080,14331,15130,29641,19414,19674,39076,18834,19711,38545,15133,17516,32649,12007,14561,26564,8991,11885,20869,6739,9368,16107,4241,6151,10392,2419,3115,5534,1214,1931,3145,385.9,14.0,52.0,32.9
27,Venezia,749173,368407,380766,7138,6608,13746,25584,24723,50307,29620,28167,57787,31988,30648,62636,31674,30358,62032,33412,31849,65261,29377,28510,57887,29327,28839,58166,28660,30008,58668,19873,20923,40796,23950,24376,48326,21995,23045,45040,17543,19453,36996,13661,16494,30155,9969,13710,23679,7133,10314,17447,4308,7052,11360,2114,3674,5788,1081,2015,3096,375.7,12.2,48.8,32.2
28,Padova,696017,342913,353104,6707,6355,13062,24683,23352,48035,28148,27347,55495,29650,28555,58205,28443,27642,56085,29866,28841,58707,28977,25877,54854,26703,26323,53026,25276,26346,51622,17459,18429,35888,21527,22543,44070,19742,21038,40780,16719,18574,35293,13506,16354,29860,9770,12937,22707,7291,10342,17633,4909,6885,11794,2388,3487,5875,1149,1877,3026,398.1,13.3,51.2,32.4
29,Rovigo,277794,136383,141411,2306,2206,4512,9021,8404,17425,11879,11450,23329,12668,12089,24757,10070,10058,20128,10639,10281,20920,10128,10103,20231,10638,10847,21485,10698,11030,21728,6989,7384,14373,8484,9153,17637,8156,8426,16582,7177,7509,14686,5854,6891,12745,4321,5615,9936,3365,4514,7879,2207,2962,5169,1193,1577,2770,590,912,1502,367.4,15.1,53.9,33.3
30,Udine,767932,376730,391202,5304,5056,10360,21006,19682,40688,25748,24829,50577,30132,29048,59180,30980,29306,60286,33476,30208,63684,27695,25325,53020,27604,26418,54022,28876,29688,58564,20943,21888,42831,26928,27020,53948,27029,27801,54830,20635,24580,45215,16037,20508,36545,12325,17583,29908,9905,14787,24692,6737,9784,16521,3585,5052,8637,1785,2639,4424,313.5,16.1,46.8,35.3
31,Gorizia,137745,66233,71512,973,907,1880,3404,3255,6659,4055,3920,7975,4745,4657,9402,4813,4652,9465,6235,5527,11762,5092,4881,9973,5229,5172,10401,5508,6113,11621,4102,4487,8589,4423,4901,9324,5166,5652,10818,3935,4713,8648,3097,3741,6838,2238,3147,5385,1641,2667,4308,996,1751,2747,390,926,1316,191,443,634,277.0,14.8,41.4,36.0
32,Trieste,298596,139174,159422,1556,1369,2925,5686,5382,11068,6805,6308,13113,8279,7655,15934,8537,8650,17187,11330,10622,21952,9627,9411,19038,9713,10069,19782,10781,12656,23437,9113,10638,19751,11070,12877,23947,12874,14827,27701,10836,12969,23805,8711,11004,19715,5906,8654,14560,4126,7090,11216,2542,5038,7580,1170,2788,3958,512,1415,1927,225.5,18.1,38.0,40.0
