COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1029189,506165,523024,12734,12431,25165,47152,46759,93911,52837,53277,106114,49452,49389,98841,46043,48836,94879,45644,45419,91063,34784,39358,74142,32245,37288,69533,30886,34867,65753,29860,33095,62955,25885,27660,53545,25965,27033,52998,22219,21571,43790,19883,19309,39192,13642,12070,25712,9701,8557,18258,4789,3974,8763,1842,1561,3403,602,570,1172,498.5,8.8,58.9,28.6
3,Novara,675812,326972,348840,9282,8721,18003,34411,34246,68657,37182,36900,74082,32862,33744,66606,30776,34320,65096,26813,30265,57078,22203,25746,47949,21490,24735,46225,19479,22413,41892,18869,20931,39800,16689,18015,34704,16053,17394,33447,13724,13592,27316,11212,11932,23144,7075,7028,14103,4975,5074,10049,2624,2448,5072,945,1011,1956,308,325,633,547.1,7.6,62.2,27.4
4,Cuneo,635270,321356,313914,9258,8873,18131,32073,31955,64028,35906,35661,71567,33098,32592,65690,27429,29560,56989,25752,25813,51565,21149,22799,43948,20174,21483,41657,19220,19433,38653,18574,19068,37642,16260,15204,31464,16286,15168,31454,14286,12040,26326,12602,10572,23174,8830,6617,15447,6035,4322,10357,2921,1806,4727,1174,714,1888,329,234,563,594.7,8.6,65.9,27.5
6,Alessandria,729701,374057,355644,11040,10841,21881,36578,35677,72255,40791,39527,80318,36306,34706,71012,34491,35028,69519,31990,30706,62696,27560,26954,54514,23799,23947,47746,22687,22586,45273,21177,21057,42234,18209,16728,34937,18482,17133,35615,15856,13129,28985,14130,12328,26458,9750,7247,16997,6562,4833,11395,3222,2039,5261,1124,878,2002,303,300,603,587.3,8.1,62.9,27.4
8,PortoMaurizio,132251,65630,66621,1668,1596,3264,5559,5388,10947,6271,6177,12448,5734,5876,11610,5562,5987,11549,4856,5563,10419,4715,4853,9568,4784,4884,9668,4271,4414,8685,3913,4266,8179,3394,3432,6826,3426,3575,7001,2941,2874,5815,3116,2945,6061,2043,1956,3999,1669,1442,3111,1056,811,1867,506,443,949,146,139,285,474.2,12.2,57.9,30.6
10,Genova,760001,376336,383665,9831,9652,19483,34919,33981,68900,40264,39057,79321,37819,37499,75318,35422,38463,73885,33194,33882,67076,27453,29582,57035,25094,26881,51975,22522,23382,45904,21059,22626,43685,17281,17913,35194,18085,19559,37644,14953,14470,29423,14276,14534,28810,9367,8489,17856,7511,7296,14807,4353,3601,7954,2043,1933,3976,890,865,1755,505.6,9.8,61.5,28.3
13,Como,515046,256444,258572,7768,7529,15297,27477,26442,53919,28835,28736,57571,24821,24961,49812,23327,23988,47315,20157,21823,41980,18828,20447,39275,16699,18707,35406,15623,17268,32891,15013,15449,30462,12673,12739,25412,12262,11489,23751,9965,9524,19489,8840,8033,16873,6322,5278,11600,4554,3733,8287,2293,1681,3974,747,582,1329,240,163,403,588.2,8.2,64.6,27.1
14,Sondrio,1114857,567302,547555,16925,16698,33623,57410,56306,113716,58091,57290,115381,51328,49779,101107,51476,50084,101560,50026,47926,97952,44911,44871,89782,40703,41994,82697,39436,38413,77849,35524,33611,69135,30759,28329,59088,26783,24673,51456,21240,19036,40276,17905,16768,34673,11640,10426,22066,7976,6889,14865,3791,3194,6985,1104,998,2102,274,270,544,573.5,6.6,58.3,27.1
15,Milano,390768,196889,193861,6186,5936,12122,20634,19977,40611,21565,21246,42811,19245,18703,37948,17513,17962,35475,15449,16603,32052,14203,15376,29579,13436,13905,27341,13530,13478,27008,12359,11974,24333,10293,9743,20036,9494,8796,18290,7838,7039,14877,6262,5940,12202,4210,3523,7733,2838,2279,5137,1305,1024,2329,419,294,713,110,63,171,590.5,6.7,62.0,26.9
16,Bergamo,471544,240660,230884,6430,6060,12490,20994,20592,41586,23870,23256,47126,22607,21634,44241,21468,21376,42844,20346,19408,39754,17806,18187,35993,16909,16809,33718,16776,16103,32879,16234,14973,31207,13398,12592,25990,12882,11704,24586,10693,9718,20411,8523,8021,16544,5320,4867,10187,3729,3306,7035,1945,1630,3575,584,492,1076,146,156,302,506.1,7.3,55.2,28.5
