COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1123495,546094,577401,12937,12492,25429,46662,45796,92458,56111,55121,111232,57597,58751,116348,52667,53916,106583,50870,48586,99456,36379,43303,79682,33470,39181,72651,31857,36763,68620,30299,34701,65000,28583,31640,60223,25996,29448,55444,24597,26585,51182,20255,22715,42970,16074,16845,32919,11695,11923,23618,6773,6350,13123,2523,2521,5044,749,764,1513,459.7,10.9,60.1,29.3
3,Novara,742687,355800,386887,10081,9682,19763,34089,33277,67366,39614,39777,79391,39516,40019,79535,32807,36858,69665,29170,33649,62819,24265,28264,52529,22308,25998,48306,21241,24307,45548,19238,21661,40899,17215,19643,36858,16164,19143,35307,14670,16346,31016,12377,14131,26508,10269,10632,20901,6997,7377,14374,3898,4065,7963,1428,1580,3008,453,478,931,510.3,10.5,65.2,28.2
4,Cuneo,637407,322317,315090,9312,8892,18204,31699,31104,62803,35880,35648,71528,34250,34225,68475,29358,29284,58642,27482,25069,52551,20084,21445,41529,18767,20075,38842,17557,18085,35642,17050,17109,34159,16245,16018,32263,15360,15437,30797,14444,13329,27773,12510,11698,24208,9600,8213,17813,7080,5460,12540,3930,2760,6690,1338,956,2294,371,283,654,618.1,10.6,69.3,28.0
6,Alessandria,810954,411369,399585,12388,11837,24225,40867,40032,80899,45840,45624,91464,44271,44093,88364,40299,38254,78553,34104,32367,66471,26546,26329,52875,24490,24514,49004,23634,23324,46958,22797,22060,44857,20929,19965,40894,18120,18425,36545,17378,16561,33939,14318,13641,27959,11182,10163,21345,7771,6793,14564,4501,3739,8240,1557,1445,3002,377,419,796,630.1,10.0,69.6,27.4
8,PortoMaurizio,142709,71494,71215,1678,1644,3322,5676,5327,11003,6603,6745,13348,6369,6527,12896,6063,6394,12457,6554,5753,12307,4930,5075,10005,4860,5062,9922,4678,4531,9209,4084,4190,8274,3935,4009,7944,3811,3892,7703,3416,3494,6910,2910,3057,5967,2347,2312,4659,1707,1625,3332,1177,957,2134,527,462,989,169,159,328,462.0,12.6,57.3,30.8
10,Genova,933855,468068,465787,11909,11567,23476,41909,40708,82617,48138,47407,95545,46471,46607,93078,43406,43888,87294,45763,41173,86936,35458,35839,71297,33753,33702,67455,31109,29549,60658,26308,26406,52714,23117,23236,46353,20120,21131,41251,17611,18215,35826,14051,15505,29556,11317,12296,23613,8683,9223,17906,5563,5641,11204,2527,2618,5145,855,1076,1931,503.9,10.3,61.2,28.3
13,Como,579817,282990,296827,8732,8527,17259,28513,27820,56333,32642,31885,64527,31312,32761,64073,27679,30334,58013,22938,26313,49251,19541,20881,40422,16935,18359,35294,15184,16443,31627,14454,15612,30066,14005,14967,28972,12521,14311,26832,11829,12563,24392,10145,10397,20542,7359,7146,14505,5172,4799,9971,2716,2550,5266,1031,919,1950,282,240,522,575.2,9.3,67.9,27.3
14,Sondrio,125458,60936,64522,1718,1657,3375,5844,5706,11550,6580,6443,13023,6232,6163,12395,5804,5655,11459,5442,5622,11064,4094,4767,8861,3722,4568,8290,3191,4003,7194,2907,3576,6483,3103,3476,6579,2827,3373,6200,2688,3066,5754,2330,2538,4868,1827,1797,3624,1429,1201,2630,797,616,1413,291,234,525,110,61,171,529.4,10.9,63.5,28.8
15,Milano,1441157,725056,716101,20862,19931,40793,70313,69304,139617,79219,77852,157071,76684,74777,151461,72406,70766,143172,66443,65906,132349,53001,52241,105242,47501,47707,95208,43914,42721,86635,40410,40011,80421,37078,35999,73077,32133,34240,66373,29586,29053,58639,23029,23244,46273,15990,15624,31614,9858,9805,19663,4656,4607,9263,1570,1819,3389,403,494,897,564.9,7.3,62.4,26.9
16,Bergamo,459119,228228,230891,8110,7672,15782,24413,24113,48526,26982,26240,53222,25744,25349,51093,21577,22670,44247,18357,20193,38550,15221,16465,31686,14031,14721,28752,12490,12946,25436,11882,12251,24133,11136,11122,22258,10381,10330,20711,9621,9349,18970,7777,7600,15377,5108,4852,9960,3288,2979,6267,1472,1405,2877,524,508,1032,114,126,240,648.0,7.5,70.0,26.2
