COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
50,Pisa,335178,166542,168636,3103,2881,5984,11882,11443,23325,16503,16136,32639,11922,11301,23223,15550,15029,30579,15910,15595,31505,13709,13488,27197,11587,12653,24240,10173,11795,21968,9546,10611,20157,9014,9897,18911,8440,8676,17116,7702,7738,15440,6916,6842,13758,6218,5901,12119,4127,4203,8330,2495,2542,5037,1314,1436,2750,431,469,900,370.2,13.2,51.8,31.5
51,Arezzo,301112,151527,149585,3780,3584,7364,13238,12926,26164,18033,17676,35709,12400,12104,24504,15444,14324,29768,12125,12799,24924,11187,11006,22193,9706,10434,20140,8582,9273,17855,8590,9177,17767,7775,8107,15882,6853,6788,13641,6359,5780,12139,5803,5217,11020,5026,4449,9475,3508,3082,6590,2013,1813,3826,870,810,1680,235,236,471,500.3,11.9,62.5,29.0
52,Siena,260580,131493,129087,2600,2390,4990,9650,9056,18706,13805,13332,27137,9380,9243,18623,12654,12520,25174,11434,11771,23205,10330,10124,20454,9132,9336,18468,7894,8719,16613,8056,8544,16600,7692,7946,15638,6771,6357,13128,6063,5360,11423,5444,4813,10257,4662,4259,8921,3210,2741,5951,1833,1637,3470,694,743,1437,189,196,385,388.4,11.8,52.4,30.7
53,Grosseto,176975,91567,85410,1928,1921,3849,7322,7082,14404,9903,9617,19520,6944,6652,13596,9348,8429,17777,7737,7867,15604,7618,6716,14334,6697,6181,12878,5761,5770,11531,5761,5560,11321,5258,4713,9971,4178,3554,7732,3741,3094,6835,3306,2835,6141,2752,2383,5135,1824,1608,3432,948,894,1842,444,381,825,97,153,248,450.4,10.1,55.1,29.1
54,Perugia,514830,258417,256413,6503,6316,12819,23618,22711,46329,31631,30596,62227,22619,21346,43965,26235,25185,51420,23094,22684,45778,17903,18193,36096,15729,16873,32602,13909,15934,29843,13524,15026,28550,12843,13431,26274,10611,10734,21345,10227,9542,19769,9840,9351,19191,8206,7685,15891,6161,5700,11861,3620,3149,6769,1659,1459,3118,485,498,983,519.3,12.4,65.6,28.6
55,Terni,178957,90546,88411,2001,2045,4046,7681,7475,15156,10083,9973,20056,7324,6940,14264,9112,8299,17411,7111,7565,14676,6671,6355,13026,6083,6017,12100,5401,5824,11225,5275,5468,10743,4912,4986,9898,4095,4009,8104,3847,3473,7320,3390,3190,6580,3053,2813,5866,2288,1961,4249,1327,1237,2564,693,562,1255,199,219,418,485.8,12.9,61.1,29.7
56,Viterbo,230000,116674,113326,2626,2564,5190,10240,9881,20121,13601,13308,26909,9408,9060,18468,11396,10535,21931,10478,9599,20077,8008,7722,15730,7307,7325,14632,6284,7165,13449,6451,7107,13558,6427,6643,13070,5241,4904,10145,4873,4390,9263,4696,4257,8953,3971,3644,7615,3135,2793,5928,1660,1547,3207,677,677,1354,195,205,400,511.8,13.1,63.3,29.5
57,Rieti,163921,81635,82286,2126,2024,4150,7655,7385,15040,10315,9788,20103,7215,6903,14118,7981,7831,15812,5534,6488,12022,5307,5413,10720,4654,5209,9863,4045,5077,9122,4110,4859,8969,4290,4610,8900,3727,3734,7461,3744,3498,7242,3487,3093,6580,2968,2593,5561,2213,1918,4131,1421,1156,2577,667,536,1203,176,171,347,550.2,14.3,69.5,29.4
58,Roma,1575277,795089,772900,18810,18365,37175,65723,63979,129702,80649,70073,158722,56656,55827,112483,76005,74342,150347,100356,74840,175196,72130,66443,138573,62586,63091,125677,52000,56312,108312,46711,50534,97245,39603,42229,81832,32012,33766,65776,27113,28909,56022,22632,25288,47920,18941,20910,39051,12716,14516,27232,6759,8247,15006,2813,3880,6693,874,1349,2313,432.8,8.6,50.5,28.6
60,Frosinone,413600,195890,217710,6861,6676,13537,23463,22415,45878,28344,27127,55471,19056,17947,37003,20372,20864,41236,13992,18495,32487,12555,14611,27166,10387,13951,24338,7980,12748,20728,8005,11995,20000,8196,10905,19101,7118,8181,15299,7549,8186,15735,6787,7490,14277,6020,6291,12311,4445,4793,9238,2843,3019,5862,1416,1492,2908,501,524,1025,641.2,13.6,79.5,27.2
62,Benevento,330885,158577,172308,5165,4968,10133,17953,17356,35309,20937,20488,41425,13710,13146,26856,16908,16418,33326,13230,15183,28413,11190,12272,23462,9605,11629,21234,6569,9615,16184,6505,8936,15441,6567,8452,15019,6005,7155,13160,6179,6925,13104,5297,5937,11234,4726,5276,10002,3804,4221,8025,2530,2660,5190,1327,1263,2590,370,408,778,613.6,13.9,73.6,27.9
63,Napoli,2073825,1009275,1064550,30957,29952,60909,104577,99875,204452,122491,118569,241060,90912,87897,178809,101109,100698,201807,90492,91508,182000,74171,79992,154163,65278,75628,140906,55817,67790,123607,53246,64272,117518,45310,54299,99609,41105,47738,88843,37421,42704,80125,31283,26282,57565,27473,30840,58313,19737,23636,43373,11314,13331,24645,4952,6906,11858,1630,2633,4263,553.0,11.4,66.4,27.8
64,Avellino,420529,202307,218222,7124,6907,14031,24128,23042,47170,27647,26862,54509,18020,17393,35413,20839,20758,41597,15780,19035,34815,14206,14975,29181,12064,14105,26169,7970,11534,19504,7613,10905,18518,7837,10052,17889,7533,8616,16149,7392,8364,15756,6429,7460,13889,6382,6905,13287,5323,5519,10842,3604,3534,7138,1884,1694,3578,532,562,1094,670.2,15.4,80.1,27.5
65,Salerno,657735,318768,338967,10940,10487,21427,37140,35498,72638,43389,41381,84770,28162,26444,54606,33163,32241,65404,25249,30120,55369,23239,24619,47858,19284,22110,41394,15422,19837,35259,14118,17736,31854,12398,14917,27315,11884,13589,25473,11035,12349,23384,9332,10600,19932,8800,9758,18558,7020,8023,15043,4751,5380,10131,2494,2810,5304,948,1068,2016,641.4,13.7,76.2,27.3
66,Aquila,344413,163090,181323,4990,4710,9700,17984,16860,34844,21908,21132,43040,15067,14712,29779,14967,16270,31237,12436,14994,27430,10321,12500,22821,8820,11814,20634,7144,10609,17753,6821,10259,17080,6961,9137,16098,6833,8144,14977,6808,7680,14488,6440,6855,13295,6078,6200,12278,4778,4763,9541,3028,2981,6009,1312,1263,2575,394,440,834,582.7,16.0,75.9,29.0
67,Teramo,226401,107839,118562,3558,3342,6900,11939,11252,23191,13960,13591,27551,9626,9170,18796,10449,10976,21425,8088,10119,18207,7683,8806,16489,6301,8066,14367,4563,6917,11480,4529,6443,10972,4757,6157,10914,4451,5355,9806,4198,4423,8621,3994,4220,8214,3582,3672,7254,2981,2988,5969,1906,1808,3714,961,943,1904,313,314,627,586.3,14.9,73.5,28.6
68,Pescara,193464,93123,100341,2957,2858,5815,10044,9565,19609,12017,11711,23728,7983,7862,15845,9226,9388,18614,7458,9009,16467,6797,7232,14029,5754,6829,12583,4036,5729,9765,3924,5577,9501,4146,5081,9227,3919,4390,8309,3421,3806,7227,3112,3162,6274,2900,3003,5903,2526,2410,4936,1732,1682,3414,876,774,1650,295,273,568,580.9,14.7,72.7,28.4
69,Chieti,367900,167889,200011,5516,5263,10779,18390,17541,35931,22222,21093,43315,15786,23912,39698,17188,17501,34689,13612,16464,30076,10791,13360,24151,8878,12517,21395,6603,11274,17877,6813,10728,17541,7115,10034,17149,6867,8877,15744,6376,7420,13796,6246,7216,13462,5494,6187,11681,4841,5286,10127,3122,3197,6319,1545,1542,3087,484,599,1083,570.7,15.7,78.7,28.4
70,Capobasso,377381,176090,201291,5866,5681,11547,19024,18542,37566,22472,22438,44910,14853,14398,29251,17907,18090,35997,13559,17449,31008,12579,14573,27152,9997,13443,23440,7344,11590,18934,6779,10570,17349,7832,10503,18335,7448,9244,16692,7821,8542,16363,6574,8351,14925,5887,6619,12506,5007,5587,10594,3317,3560,6877,1409,1658,3067,415,453,868,573.0,15.4,71.4,29.2
71,Foggia,505440,248409,257031,8433,8094,16527,27316,26143,53459,31418,30299,61717,21706,20717,42423,25985,24756,50741,20353,22566,42919,18656,18339,36995,16317,17002,33319,12467,15118,27585,11757,14182,25939,11585,12964,24549,10435,11141,21576,9378,10145,19523,7453,7894,15347,6397,7090,13487,4837,5478,10315,2676,3327,6003,973,1341,2314,267,435,702,625.1,11.0,69.3,27.2
72,Bari,948710,458322,490388,14907,14581,29488,48439,46873,95312,55968,54525,110493,41649,41092,82741,47648,47815,95463,38294,43035,81329,30269,34665,64934,26772,32677,59449,21755,29114,50869,21492,27468,48960,21130,25170,46300,19387,20796,40183,18047,18732,36779,16498,16468,32966,14108,14178,28286,11559,11756,23315,6705,7034,13739,2691,3141,5832,1004,1268,2272,581.1,13.2,70.3,28.2
73,Taranto,302773,153022,149751,4901,4718,9619,15658,15303,30961,18580,18060,36640,13246,12864,26110,14803,14305,29108,18003,12963,30966,10077,10263,20340,9376,10139,19515,8126,9214,17340,7480,8657,16137,6834,7239,14073,6001,6020,12021,5458,5551,11009,4562,4483,9045,3949,3769,7718,2912,2912,5824,1881,1883,3764,851,994,1845,324,414,738,619.2,11.1,68.6,27.2
74,Brindisi,242114,119574,122540,3684,3456,7140,12300,11908,24208,15027,14457,29484,10846,10479,21325,11912,11980,23892,10888,10996,21884,7213,7844,15057,7074,8022,15096,6358,7493,13851,6078,7100,13178,5783,6166,11949,5322,5395,10717,4573,4521,9094,4064,4092,8156,3565,3490,7055,2461,2472,4933,1541,1678,3219,687,711,1398,198,280,478,586.7,12.0,69.5,27.9
75,Lecce,487029,239931,247098,7845,7639,15484,26788,26100,52888,29981,28649,58630,21441,20517,41958,24569,23987,48556,18417,21851,40268,15886,16734,32620,14882,16190,31072,12938,15119,28057,12172,13751,25923,11079,12054,23133,10249,10213,20462,9130,8826,17956,7382,7577,14959,6859,6647,13506,5009,5122,10131,3345,3712,7057,1458,1694,3152,501,716,1217,635.2,12.4,72.1,27.5
76,Potenza,350618,168392,182226,6068,5779,11847,19612,19000,38612,22727,21786,44513,14830,14234,29064,17627,17296,34923,13556,16094,29650,11798,12719,24517,10272,12270,22542,7636,10439,18075,6685,8872,15557,6647,8405,15052,6595,7697,14292,6112,6690,12802,5613,6152,11765,4609,5375,9984,3883,4687,8570,2529,2917,5446,1217,1369,2586,376,445,821,649.5,13.8,76.0,27.4
77,Matera,153984,76877,77107,2806,2692,5498,8609,8393,17002,9737,9047,18784,6435,6213,12648,7942,7494,15436,6542,7455,13997,5721,5532,11253,4902,5279,10181,3732,1430,5162,3130,3902,7032,3415,4001,7416,3326,3721,7047,3201,3387,6588,2494,2783,5277,1954,2343,4297,1488,1745,3233,953,1082,2035,382,476,858,108,132,240,723.7,11.9,72.3,27.3
78,Cosenza,545520,255108,290412,9130,8514,17644,31052,29367,60419,36711,35135,71846,25430,24091,49521,27861,27545,55406,20870,25597,46467,17430,21345,38775,13881,19513,33394,10547,17393,27940,9214,14956,24170,8707,12538,21245,9004,11578,20582,8568,10473,19041,7794,9700,17494,6826,8231,15057,5796,7092,12888,3750,4484,8234,1899,2108,4007,638,752,1390,617.8,13.7,79.1,26.8
79,Catanzaro,572355,270682,301673,9514,9056,18570,31143,29790,60933,36716,35082,71798,26541,25022,51563,28765,28272,57037,23448,26063,49511,18900,21851,40751,16026,20922,36948,11767,18664,30431,9828,15686,25514,9578,13824,23402,9991,13040,23031,9422,11730,21152,8876,10258,19134,7738,8701,16439,6214,7077,13291,3950,4134,8084,1688,1896,3584,577,605,1182,604.8,13.0,75.1,27.2
80,ReggioCalabria,549465,261224,288241,8532,7957,16489,29499,27503,57002,35737,33842,69579,26051,24948,50999,29319,29312,58631,22213,25530,47743,16690,19918,36608,13803,18348,32151,10866,17179,28045,9907,15306,25213,9428,13211,22639,9561,11849,21410,9145,11392,20537,8532,9492,18024,7813,8462,16275,6522,6772,13294,4491,4252,8743,2282,2097,4379,833,871,1704,585.2,14.3,76.7,27.5
81,Trapani,374402,181618,192784,4759,4643,9402,16550,16080,32630,20189,19169,39358,15524,14963,30487,18762,18445,37207,14634,16226,30860,13430,14447,27877,11702,13678,25380,9639,12268,21907,9171,11497,20668,9146,10617,19763,8628,9644,18272,8234,8172,16406,6290,6582,12872,5869,6243,12112,4537,4942,9479,2944,3120,6064,1224,1477,2701,386,571,957,485.6,13.5,61.9,29.8
82,Palermo,841702,415473,426229,11917,11205,23122,39030,37502,76532,47844,44893,92737,34649,33201,67850,43394,41556,84950,39343,35708,75051,31744,32379,64123,26391,29123,55514,21469,26092,47561,19877,24729,44606,19044,22919,41963,17804,20212,38016,16358,17469,33827,13953,14971,28924,12720,13028,25748,9585,10036,19621,6325,6501,12826,3015,3413,6428,1011,1292,2303,525.6,13.0,63.6,29.0
83,Messina,600780,289243,311537,8354,7878,16232,28129,27053,55182,35389,34312,69701,26067,25308,51375,29826,30450,60276,24642,26805,51447,19167,21700,40867,17180,21098,38278,14620,19293,33913,13519,17816,31335,12205,15313,27518,11504,14804,26308,12378,12425,24803,10394,10838,21232,9984,10189,20173,7497,7707,15204,4905,4905,9810,2525,2591,5116,958,1052,2010,520.7,14.7,68.8,29.1
84,Agrigento,398801,198762,200039,6326,6002,12328,20415,19605,40020,23991,22197,46188,16862,15515,32377,20498,19461,39959,16749,17614,34363,15531,15375,30906,12402,12758,25160,9657,11681,21338,8877,10618,19495,9047,10368,19415,8577,9054,17631,8198,8216,16414,6557,6664,13221,5961,5976,11937,4535,4499,9034,2976,2803,5779,1213,1246,2459,390,387,777,598.2,12.6,67.6,28.2
85,Caltanissetta,245476,123423,122053,4306,4055,8361,13207,12404,25611,14893,13955,28848,11254,10439,21693,12538,12050,24588,9978,10723,20701,9456,9040,18496,7599,7904,15503,5932,6649,12581,5538,6332,11870,5681,6175,11856,5564,5521,11085,5082,4824,9906,3812,3784,7596,3494,3339,6833,2719,2655,5374,1517,1359,2876,677,657,1334,176,188,364,644.7,11.6,70.3,27.5
86,Enna,225871,113995,111876,3576,3362,6938,11319,10457,21776,13266,12417,25683,9970,9412,19382,11580,10902,22482,9029,9680,18709,8511,8265,16776,7122,7508,14630,5677,6359,12036,5180,6094,11274,5300,5961,11261,5409,5333,10742,5111,4804,9915,3716,3632,7348,3789,3224,7013,2817,2415,5232,1743,1325,3068,714,570,1284,166,156,322,588.3,12.5,67.1,28.5
87,Catania,685369,337239,348130,9682,9319,19001,32552,31030,63582,39916,38175,78091,30329,27938,58267,35011,33131,68142,26149,30297,56446,24442,25565,50007,21177,23643,44820,19478,21031,40509,17155,20720,37875,16350,18800,35150,15264,16113,31377,14094,14336,28430,10647,11428,22075,10084,10349,20433,7731,8008,15739,4553,4932,9485,2033,2428,4461,592,887,1479,534.9,12.4,65.2,28.7
88,Ragusa,237825,116922,120903,3375,3346,6721,11274,10225,21499,14069,13057,27126,10907,9835,20742,12099,11836,23935,9035,10264,19299,8024,8201,16225,6765,7610,14375,6029,7420,13449,6012,7931,13943,5849,6961,12810,5576,6147,11723,4948,4993,9941,3906,4008,7914,3657,3659,7316,2753,2751,5504,1674,1649,3323,744,772,1516,226,238,464,529.8,12.6,65.6,28.9
89,Siracusa,284193,143959,140234,4007,3825,7832,13439,12367,25806,17249,16033,33282,13400,12417,25817,14824,13951,28775,12448,12086,24534,10623,10042,20665,8959,8926,17885,7962,8447,16409,7693,8643,16336,7051,7559,14610,6390,6403,12793,5707,5366,11073,4515,4499,9014,4229,3913,8142,2889,3020,5909,1683,1685,3368,705,809,1514,186,243,429,541.7,11.3,65.1,28.1
90,Sassari,289540,146489,143051,4288,3766,8054,13914,13098,27012,16601,16204,32805,12666,11827,24493,13848,13472,27320,16004,12957,28961,10450,10721,21171,8661,9408,18069,7358,8803,16161,7163,8259,15422,7384,7450,14834,6600,6371,12971,5979,5633,11612,5044,4879,9923,4377,4284,8661,3181,2955,6136,1832,1824,3656,774,790,1564,365,350,715,551.2,11.7,64.1,28.4
91,Nuoro,207249,101727,105522,3199,3017,6216,10937,10283,21220,12670,11740,24410,9019,8599,17618,8995,9124,18119,6920,8989,15909,6822,8184,15006,6078,7070,13148,5322,6568,11890,5409,6226,11635,5033,5429,10462,4982,4790,9772,4323,4243,8566,3948,3914,7862,3293,3160,6453,2449,2164,4613,1483,1199,2682,615,578,1193,230,245,475,594.4,12.6,69.4,28.6
92,Cagliari,475990,238463,237527,7238,6954,14192,24419,23074,47493,27119,26021,53140,20762,19763,40525,22909,21715,44624,22518,21268,43786,17907,17700,35607,14488,15428,29916,12797,14560,27357,12079,13109,25188,12222,12189,24411,11601,11358,22959,9821,9841,19662,7715,7986,15701,6234,6883,13117,4461,4890,9351,2659,2905,5564,1126,1367,2493,388,516,904,594.4,10.9,64.6,28.1
