COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1168351,559477,608874,7829,7578,15407,29427,28647,58074,40897,39757,80654,42680,41582,84262,33496,33612,67108,48074,52917,100991,52805,57006,109811,50812,53155,103967,46266,51630,97896,40826,46908,87734,38724,44105,82829,33506,37852,71358,28085,31892,59977,22806,26914,49720,17688,21416,39104,12881,16460,29341,7964,10519,18483,3558,5006,8564,1153,1918,3071,248.9,11.9,40.5,34.2
2,Vercelli,366132,172696,193436,2476,2373,4849,9401,8973,18374,12845,12638,25483,13495,13321,26816,9162,9710,18872,14391,15867,30258,15821,17011,32832,14906,16044,30950,12995,14730,27725,11299,13938,25237,11086,13551,24637,9683,12103,21786,9469,11667,21136,8207,9658,17865,6698,8282,14980,5510,6590,12100,3272,4130,7402,1452,2014,3466,528,836,1364,266.0,15.6,45.7,35.4
3,Novara,395721,190435,205286,3005,2959,5964,11117,10976,22093,15001,14655,29656,15432,15293,30725,11081,10978,22059,17262,17587,34849,17803,18193,35996,16284,16856,33140,14099,15805,29904,12134,14114,26248,11654,13681,25335,10248,12184,22432,9930,11397,21327,8447,9650,18097,6860,8041,14901,5087,6207,11294,3053,3973,7026,1409,1839,3248,529,898,1427,300.0,14.1,46.9,34.0
4,Cuneo,608873,306124,302749,5388,5405,10793,20981,20580,41561,28448,28165,56613,29294,28850,58144,21953,20371,42324,29093,25941,55034,26256,24352,50608,22578,22012,44590,19545,20966,40511,16910,18684,35594,16445,17878,34323,15457,16303,31760,14473,14557,29030,13163,13024,26187,10457,10377,20834,7993,7584,15577,4847,4688,9535,2192,2268,4460,651,744,1395,395.6,13.3,56.1,31.5
5,Asti,241704,121914,119789,1749,1745,3494,8491,8338,16829,9949,10055,20004,10726,10518,21244,7944,7306,15250,11703,10465,22168,8814,7874,16688,9662,9060,18722,8613,8809,17422,5660,6039,11699,7314,7603,14917,6903,7305,14209,6292,6366,12658,5947,5703,11650,4770,4791,9561,3682,3699,7381,2334,2494,4828,1068,1205,2273,293,414,707,410.1,15.9,55.6,33.3
6,Alessandria,494688,248985,245703,3205,3066,6271,12702,12197,24899,17965,17829,35794,21855,19848,41703,15629,14800,30429,22786,21583,44369,22471,21513,43984,19634,19471,39105,17138,18613,35751,15245,17332,32577,14887,16538,31425,14074,15402,29476,13026,13319,26345,11288,11070,22358,9179,9387,18566,10361,4896,15257,4661,5120,9781,2208,2660,4868,671,1059,1730,275.1,14.9,47.3,34.3
7,Valled'Aosta,227490,109664,117826,1700,1600,3300,6714,6508,13222,9273,9343,18616,9654,9646,19300,6943,6855,13798,9941,9447,19388,9751,9597,19348,8889,9028,17917,7363,8339,15702,6435,7715,14150,6248,7670,13918,5777,6898,12675,5623,6428,12051,5033,5871,10904,3964,4943,8907,3216,3836,7052,1897,2428,4325,920,1186,2106,323,488,811,324.1,15.5,51.8,33.8
8,Imperia,158562,78145,80417,1139,1045,2184,4207,4262,8469,5785,5731,11516,6158,6097,12255,4479,4624,9103,6138,6581,12719,7221,6806,14027,6570,6551,13121,5648,6096,11744,5275,5802,11077,4823,5269,10092,4560,4841,9401,4228,4346,8574,3724,3857,7581,3137,3249,6386,2478,2489,4967,1524,1588,3112,747,802,1549,304,381,685,292.2,15.5,47.6,34.8
9,Savona,219101,108827,110274,1666,1640,3306,6449,6207,12656,8845,8472,17317,9513,9022,18535,7364,7177,14541,9832,9942,19774,10220,9884,20104,8959,8879,17838,7964,8451,16415,6900,7839,14739,6524,7123,13647,5933,6105,12038,5213,5299,10512,4384,4511,8895,3622,3699,7321,2616,2727,5343,1654,1824,3478,870,1017,1887,299,456,755,305.9,12.6,47.5,32.8
10,Genova,866256,420813,446193,5739,5370,11109,22016,20998,43014,30888,30242,61130,33252,32610,65862,26959,27978,54937,36356,40219,76575,39027,41645,80672,37327,38984,76311,34385,37688,72073,30795,34572,64767,28506,31328,59834,25418,26212,51630,21385,22507,43832,17066,18264,35330,13091,14646,27737,9689,11137,20826,5382,6815,12197,2593,3491,6084,939,1487,2336,244.8,11.2,40.6,33.6
11,LaSpezia,222042,109279,112763,1899,1784,3683,7064,6818,13882,9815,9715,19530,10865,10703,21568,8328,8389,16717,10423,10216,20639,9959,9712,19671,8720,8835,17555,7735,8682,16417,7297,7952,15249,6257,6575,12832,4944,5540,10484,4117,4650,8767,3653,4103,7756,3302,3561,6863,2529,2650,5179,1367,1611,2978,718,830,1548,287,437,724,326.6,11.8,52.0,31.0
12,Varese,395882,190048,205834,3301,3101,6402,11686,11523,23209,15905,15778,31683,16647,16676,33323,12365,12527,24892,18629,19272,37901,19189,20095,39284,16898,18008,34906,14041,15775,29816,11479,13872,25351,10861,13184,24045,10228,11974,22202,9357,10297,19654,7268,8083,15351,5277,6182,11459,3641,4625,8266,2099,2903,5002,896,1364,2260,281,595,876,297.5,10.2,44.8,32.0
13,Como,501741,245048,256693,4763,4595,9358,20016,20283,40299,22287,22102,44389,22844,22673,45517,15712,15825,31537,24158,23411,47569,23570,23343,46913,20356,21153,41509,17080,19056,36136,11413,13526,24939,13615,15839,29454,12447,14386,26833,11726,12438,24164,9221,9949,19170,6802,7546,14348,4776,5352,10128,2681,3142,5823,1235,1543,2778,346,531,877,426.9,10.3,52.9,30.5
14,Sondrio,142914,70690,72224,1693,1763,3456,6170,6070,12240,7597,7552,15149,7258,7291,14549,5124,4813,9937,6987,5902,12889,6227,5728,11955,5004,5032,10036,3912,4391,8303,3277,3938,7215,3115,3815,6930,3210,3625,6835,3374,3580,6954,2659,2914,5573,2213,2416,4629,1485,1698,3183,844,981,1825,391,508,899,150,207,357,526.6,12.6,65.0,29.6
15,Milano,2175722,1058108,1117614,18755,18251,37006,67734,66926,134660,86592,85803,172395,89838,89490,179328,69589,73480,143069,101263,112052,213315,107889,113216,221105,99500,100742,200242,86377,91304,177681,73157,79765,152922,65794,71522,137316,56827,60677,117504,47741,49979,97720,34033,37407,71440,23895,28511,52406,16337,20030,36367,8592,11570,20162,3388,5125,8513,807,1764,2571,300.9,7.8,42.0,31.0
16,Bergamo,605655,293207,311681,8328,8323,16651,27848,27237,55085,34108,34947,69955,34138,34092,68230,22085,21878,43873,29287,28373,57660,24797,26324,51121,20365,22617,42931,16831,19950,36781,14418,17950,32369,13635,16893,30528,12457,14788,27245,11643,12499,24148,9018,9712,18730,6618,7176,13794,4395,4872,9268,2194,2598,4792,815,1132,1947,227,320,547,523.3,8.3,65.8,27.2
17,Brescia,744555,369052,375503,9453,9352,18805,32894,31860,64754,41470,40727,82197,40873,39959,80832,27739,26947,54686,34990,34097,69087,31718,31284,63002,26925,27105,54030,22999,24980,47979,20227,22417,42644,18390,20005,38395,16104,17257,33361,14049,14723,28772,11768,12257,24025,8683,9552,18235,6085,6929,13014,3102,3842,6944,1260,1661,2921,323,549,872,500.9,9.2,63.3,28.0
18,Pavia,492086,244564,247522,3509,3343,6852,13816,13507,27323,18713,18589,37302,20398,19796,40194,13937,13723,27660,22629,21811,44440,22974,21944,44918,20901,20141,41042,18070,19009,37079,15392,16792,32184,14393,15747,30140,13869,14664,28533,12829,13180,26009,10706,10954,21660,8755,9151,17906,6929,7263,14192,4156,4631,8787,1985,2411,4396,603,866,1469,301.3,14.0,47.5,33.8
19,Cremona,369466,182999,186471,3686,3547,7233,13775,13380,27155,17693,17443,35136,18822,18731,37553,11869,11419,23288,16897,16136,33033,16500,15746,32246,14326,14240,28566,12734,13185,25919,10724,12010,22734,9912,10909,20821,8910,9890,18800,7711,8097,15808,6798,7232,14030,5649,6178,11827,3901,4546,8447,2039,2345,4384,804,1085,1889,249,352,597,415.6,11.5,57.1,30.5
20,Mantova,407954,205431,202523,4079,3842,7921,15231,14767,29998,19518,19307,38825,21072,20454,41526,14826,13933,28759,20185,18523,38708,18395,16955,35350,16248,15078,31326,13622,14049,27671,11563,12582,24145,10623,11220,21843,9702,10094,19796,8555,8615,17170,7273,7164,14437,6218,6422,12640,4582,4904,9486,2376,2788,5164,1004,1308,2312,359,518,877,416.1,11.8,57.4,30.2
21,Bolzano-Bozen,277715,139679,138036,3007,2946,5953,11277,10851,22128,13969,13736,27705,14070,13752,27822,10018,9071,19089,12500,11783,24283,14059,12310,26369,12498,11440,23938,10351,9800,20151,7714,8153,15867,6714,7414,14128,5870,6628,12498,5376,6056,11432,4276,4857,9133,3434,3808,7242,2357,2687,5044,1319,1648,2967,658,768,1426,212,328,540,448.9,9.7,57.0,29.2
22,Trento,390394,191791,198603,3630,3561,7191,17369,16670,34039,18940,18726,37666,25076,24631,49707,8742,7229,15971,17532,15509,33041,13290,12993,26283,16341,17163,33504,9849,11040,20889,10401,12087,22488,9613,11911,21524,10397,13024,23421,7029,8141,15170,7594,8560,16154,6322,6999,13321,4777,5073,9850,3023,3156,6179,1389,1567,2956,477,563,1040,542.4,14.6,70.9,30.6
