COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1433001,684829,748172,7604,7284,14888,33292,31635,64927,37937,36820,74757,47512,46472,93984,47060,47206,94266,54450,55985,110435,59160,61375,120535,41107,44620,85727,55934,61025,116959,60820,63904,124724,55053,59195,114248,47435,54950,102385,39569,48668,88237,34678,43300,77978,24065,32563,56628,19050,24985,44035,12220,16410,28630,5624,8160,13784,2259,3615,5874,238.9,14.4,38.4,36.8
2,Vercelli,379778,179924,199854,1990,2004,3994,9030,8493,17523,9667,9293,18960,12453,12001,24454,12805,12721,25526,13962,14447,28409,14062,14997,29059,9828,10630,20458,13385,14904,28289,14995,16460,31455,14384,15825,30209,12265,14231,26496,10300,13336,23636,9760,12246,22006,7785,10277,18062,6287,8396,14683,4183,5424,9607,1896,2840,4736,887,1329,2216,255.7,18.6,43.0,38.0
3,Novara,422908,202373,220535,2566,2398,4964,10950,10654,21604,12188,11881,24069,15076,15059,30135,14681,14733,29414,15849,16155,32004,15726,16504,32230,11479,12128,23607,15817,16912,32729,17120,18015,35135,15695,16802,32497,13288,15450,28738,11025,13545,24570,10109,12549,22658,7950,10355,18305,6403,7965,14368,3889,5404,9293,1825,2737,4562,737,1289,2026,281.3,16.5,44.1,36.6
4,Cuneo,580478,289196,291282,3941,3850,7791,17047,16497,33544,19517,18821,38338,23534,23066,46600,23334,22711,46045,25091,23472,48563,22955,22398,45353,15199,16532,31731,21389,21361,42750,22599,21191,43790,20059,19799,39858,17208,18504,35712,14337,16432,30769,13409,15015,28424,11363,12502,23865,8882,9253,18135,5750,5978,11728,2602,2807,5409,980,1093,2073,323.8,15.6,47.7,34.6
5,Asti,224200,111068,113132,1204,1200,2404,5443,5405,10848,5862,5671,11533,7286,7231,14517,7915,7529,15444,9063,8755,17818,8341,8450,16791,5940,6035,11975,8074,8278,16352,9077,8688,17765,8483,8302,16785,7748,8184,15932,6293,7107,13400,6211,6849,13060,5466,6023,11489,4205,4433,8638,2718,2926,5644,1286,1430,2716,453,636,1089,277.6,19.0,44.3,37.7
6,Alessandria,477823,233936,243887,2289,2212,4501,10322,9988,20310,12684,12040,24724,15612,14884,30496,15882,15294,31176,17832,17408,35240,18212,18348,36560,13238,13911,27149,18011,18612,36623,19767,20009,39776,18431,18558,36989,15762,17496,33258,13649,16321,29970,12865,15023,27888,10899,12837,23736,8888,9687,18575,5658,6254,11912,2731,3288,6019,1204,1717,2921,239.5,18.9,42.8,38.3
7,Valled'Aosta,94069,47314,46755,694,689,1383,3066,2819,5885,3405,3345,6750,3881,3946,7827,3656,3570,7226,3984,3812,7796,3944,3850,7794,2996,2997,5993,3929,3533,7462,3933,3467,7400,3293,3037,6330,2544,2728,5272,2053,2388,4441,1818,2120,3938,1476,1707,3183,1235,1273,2508,794,861,1655,414,427,841,199,186,385,342.4,13.5,47.8,33.3
8,Imperia,166978,80825,86153,837,873,1710,4134,3966,8100,4822,4611,9433,5423,5422,10845,5508,5511,11019,6221,6188,12409,6216,6672,12888,4746,5220,9966,6079,6508,12587,6771,6919,13690,6120,6590,12710,5267,5950,11217,4694,5570,10264,4183,4948,9131,3590,4152,7742,2880,3200,6080,1933,2197,4130,998,1096,2094,403,560,963,265.0,18.1,44.1,37.4
9,Savona,237829,116120,121709,1222,1137,2359,5593,5452,11045,7313,7163,14476,8564,8396,16960,8159,8164,16323,9143,9007,18150,9338,9501,18839,7247,7902,15149,9422,9927,19349,9945,10026,19971,8673,8842,17515,7297,8056,15353,6285,7494,13779,5565,6580,12145,4645,5199,9844,3561,4030,7591,2402,2716,5118,1169,1420,2589,577,697,1274,245.8,15.9,42.8,36.3
10,Genova,928890,444348,484542,4636,4476,9112,21787,21045,42832,25926,24925,50851,30488,30028,60516,28553,29007,57560,33820,34764,68584,36449,38855,75304,28380,31431,59811,36620,41053,77673,38014,41390,79404,35973,38515,74488,30825,35640,66465,26390,31836,58226,22726,27381,50107,16430,20216,36646,12515,15130,27645,8455,10630,19085,4410,5470,9880,1951,2750,4701,239.9,14.7,39.1,37.0
11,LaSpezia,233284,114002,119282,1384,1281,2665,6451,6056,12507,7986,7381,15367,9188,8729,17917,8462,8266,16728,9445,9370,18815,10010,10359,20369,7912,8340,16252,9311,9433,18744,9039,9135,18174,7835,8212,16047,6826,7875,14701,5897,7084,12981,4959,5793,10752,3573,4539,8112,2556,3165,5721,1743,2391,4134,1003,1241,2244,422,632,1054,276.3,13.0,42.6,34.5
12,Varese,477055,226892,250163,3356,3220,6576,14289,13707,27996,15255,14634,29889,18409,18336,36745,16738,17675,34413,18363,19226,37589,19191,20876,40067,12930,14615,27545,18445,20355,38800,19138,20659,39797,17145,18440,35585,14190,16529,30719,10855,13920,24775,9577,12501,22078,7757,10460,18217,5900,7544,13444,3390,4560,7950,1450,2060,3510,514,846,1360,304.9,13.4,44.0,34.5
13,Como,562504,270990,291514,4262,4151,8413,18405,17846,36251,20061,19212,39273,22496,21932,44428,21302,22120,43422,22862,23322,46184,22089,23525,45614,15244,17062,32306,20807,22349,43156,21950,23115,45065,19442,20630,40072,15888,18397,34285,12534,15796,28330,11226,14225,25451,9299,11686,20985,7134,8328,15462,3934,4897,8831,1529,2109,3638,526,812,1338,339.7,13.1,46.5,33.6
14,Sondrio,153487,75134,78353,1553,1502,3055,6057,5929,11986,6739,6647,13386,7380,7179,14559,6935,6651,13586,6837,6345,13182,5784,6162,11946,4134,4489,8623,5083,5412,10495,5375,5354,10729,4402,4528,8930,3405,3980,7385,2738,3430,6168,2472,3248,5720,2182,2795,4977,2038,2337,4375,1229,1392,2621,574,686,1260,217,287,504,437.1,14.2,58.6,31.1
15,Milano,2505153,1201485,1303668,16234,15650,31884,69562,66984,136546,78462,76294,154756,96185,95140,191325,89724,96108,185832,98000,106069,204069,106310,115192,221502,71383,80450,151833,101895,112079,213974,105605,113905,219510,93791,97702,191493,77860,87650,165510,61813,72824,134637,51569,60868,112437,34198,44080,78278,25705,31520,57225,14725,19070,33795,6255,8568,14823,2209,3515,5724,270.0,10.5,39.1,34.0
16,Bergamo,695624,339858,355766,6934,6891,13825,29117,28398,57515,32073,31160,63233,35329,34514,69843,31427,31259,62686,32045,31337,63382,29216,29763,58979,19410,20583,39993,24106,25262,49368,22970,24173,47143,19055,20963,40018,15253,18197,33450,12319,15626,27945,11032,13740,24772,8589,10701,19290,6244,7170,13414,3216,3928,7144,1163,1532,2695,360,569,929,439.3,9.7,55.4,29.4
17,Brescia,858243,423521,434722,8294,8016,16310,35316,34120,69436,38013,36692,74705,43584,42396,85980,38142,37238,75380,39130,37714,76844,36225,36937,73162,24403,25855,50258,28595,29875,58470,29668,30321,59989,24674,25324,49998,20415,22695,43110,17110,19960,37070,14529,16783,31312,10375,12648,23023,7890,9120,17010,4535,5515,10050,1935,2490,4425,688,1023,1711,433.2,10.1,54.5,29.9
18,Pavia,506513,248840,257673,2686,2571,5257,12037,11380,23417,13538,12735,26273,17339,16723,34062,18085,17750,35835,19758,19813,39571,19791,20321,40112,13385,14345,27730,19463,20052,39515,21265,21490,42755,19999,19639,39638,17101,18280,35381,14128,16069,30197,12638,14391,27029,10714,12182,22896,8353,9421,17774,5171,6116,11287,2428,3018,5446,961,1377,2338,252.0,16.7,41.6,37.1
19,Cremona,381816,189160,192656,2956,2672,5628,12685,12153,24838,13405,12829,26234,17013,16306,33319,15966,15181,31147,16556,15771,32327,16337,16313,32650,10626,10774,21400,13433,13944,27377,14440,14189,28629,12902,13039,25941,11069,11768,22837,8989,10662,19651,7952,9166,17118,6223,7494,13717,4379,5098,9477,2623,3223,5846,1216,1490,2706,390,584,974,353.5,12.6,47.4,33.0
20,Mantova,424773,211936,212837,3155,2941,6096,14413,13577,27990,15346,14771,30117,17439,16929,34368,17345,16538,33883,18039,17220,35259,18168,17974,36142,12774,13006,25780,16139,16171,32310,16035,15596,31631,14620,13812,28432,12114,12713,24827,9906,11261,21167,8693,9743,18436,7022,8032,15054,5227,5702,10929,3217,3833,7050,1619,2053,3672,665,965,1630,353.2,13.3,47.6,33.3
