COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,2287016,1120095,1166921,18709,18441,37150,72660,68079,140739,87939,83810,171749,75613,71972,147585,71750,67327,139077,87688,86496,174184,86184,83143,169327,97938,94526,192464,89273,86776,176049,86199,85400,171599,76058,79655,155713,51914,55967,107881,60133,66434,126567,56208,66226,122434,43005,54969,97974,28505,42936,71441,20767,29158,49925,5159,17333,22492,4393,8273,12666,353.2,16.6,49.0,35.1
2,Vercelli,406252,193956,212296,2570,2541,5111,9841,9330,19171,13429,12592,26021,11964,11519,23483,11842,11507,23349,13607,13248,26855,11765,11590,23355,14121,14247,28368,13966,14102,28068,14906,15189,30095,14202,15248,29450,9450,10569,20019,12346,14378,26724,12607,15343,27950,10665,13822,24487,7548,11067,18615,5986,8658,14644,1891,4979,6870,1250,2367,3617,304.0,25.8,53.7,39.4
3,Novara,496811,240096,256715,3693,3619,7312,13991,13168,27159,18580,17516,36096,16095,15335,31430,15295,14687,29982,17795,17001,34796,15641,15216,30857,18555,18322,36877,17500,17373,34873,17730,18049,35779,16162,17413,33575,11247,12290,23537,14525,16391,30916,14438,17292,31730,11723,15081,26804,8148,12011,20159,5609,8790,14399,2225,4880,7105,1144,2281,3425,342.5,22.3,53.8,37.3
4,Cuneo,540504,269102,271402,3786,3663,7449,14034,13343,27377,18391,18018,36409,17217,16154,33371,16755,16361,33116,19624,18628,38252,16692,15395,32087,19797,17915,37712,18944,17674,36618,19815,18517,38332,19162,19023,38185,12508,14050,26558,17453,18208,35661,18161,18387,36548,14433,15933,30366,10409,13199,23608,7317,9366,16683,3080,5119,8199,1524,2449,3973,333.3,23.5,53.1,38.3
5,Asti,218547,107105,111442,1401,1367,2768,5255,4985,10240,7064,6837,13901,6665,6283,12948,6473,6046,12519,7376,7144,14520,6044,5831,11875,6890,6736,13626,6861,6689,13550,7448,7631,15079,7347,7762,15109,5217,5526,10743,7211,7802,15013,7826,8222,16048,6709,7452,14161,5210,6382,11592,3966,4803,8769,1330,2676,4006,812,1268,2080,324.6,29.4,58.3,40.2
6,Alessandria,483183,234630,248553,2867,2795,5662,10877,10153,21030,14799,14005,28804,13555,12822,26377,13106,12198,25304,15072,14764,29836,13874,13725,27599,16288,16151,32439,15904,15902,31806,17038,17250,34288,16812,17748,34560,12234,13353,25587,16334,17580,33914,17386,18869,36255,14567,16631,31198,10466,13943,24409,8578,11640,20218,3173,6158,9331,1700,2866,4566,296.6,28.8,55.1,40.9
7,Valled'Aosta,109150,54684,54466,846,783,1629,3100,3045,6145,4102,3899,8001,3583,3463,7046,3553,3447,7000,4384,3913,8297,4038,3499,7537,4423,4069,8492,4014,3759,7773,4203,3997,8200,3888,3899,7787,2736,2904,5640,3315,3278,6593,3161,3225,6386,2222,2647,4869,1471,2032,3503,873,1527,2400,525,704,1229,247,376,623,342.7,17.1,48.1,35.9
8,Imperia,225127,108409,116718,1549,1395,2944,5780,5482,11262,7846,7742,15588,7274,6859,14133,6449,6196,12645,7192,7141,14333,6620,6668,13288,7808,8054,15862,7869,7929,15798,8007,8207,16214,7348,8268,15616,5438,6208,11646,6593,7606,14199,7181,8011,15192,5978,7252,13230,4264,5717,9981,4003,4345,8348,210,2430,2640,1000,1208,2208,321.4,25.1,55.5,38.7
9,Savona,296043,143721,152322,1988,1893,3881,7569,7132,14701,10171,9483,19654,8552,8245,16797,7934,7624,15558,9055,8990,18045,8973,9194,18167,10727,10847,21574,10352,10581,20933,10840,10840,21680,10494,11001,21495,7787,8689,16476,9645,10744,20389,9681,10736,20417,7727,8953,16680,5303,7077,12380,3684,5333,9017,2060,3198,5258,1179,1762,2941,320.0,23.8,52.0,39.2
10,Genova,1087973,518405,569568,7153,6612,13765,26381,25337,51718,36357,34424,70781,31872,30292,62164,28950,27935,56885,34870,33830,68700,33297,33486,66783,37956,39563,77519,36437,38145,74582,39733,42001,81734,39093,42934,82027,30015,34161,64176,34774,40385,75159,33894,40237,74131,26728,34263,60991,18679,27893,46572,13286,20172,33458,5152,11524,16676,3778,6374,10152,304.6,23.3,50.8,39.2
11,LaSpezia,244435,118002,126433,1717,1526,3243,6070,5813,11883,8583,8128,16711,7448,7018,14466,6680,6529,13209,8184,7615,15799,7452,7314,14766,8359,8454,16813,7825,8036,15861,8695,9222,17917,9065,9892,18957,7145,7913,15058,8224,8652,16876,7583,8259,15842,5677,7173,12850,4203,6220,10423,2835,4597,7432,1482,2527,4009,775,1545,2320,320.7,23.0,51.7,38.9
12,Varese,725823,351142,374681,6342,5976,12318,24040,22782,46822,30934,29657,60591,25707,24691,50398,23918,23677,47595,27422,27522,54944,26111,25937,52048,29514,29607,59121,26286,26292,52578,25167,25581,50748,23058,24778,47836,15587,17593,33180,18860,21573,40433,17914,21769,39683,13350,17802,31152,8466,13194,21660,5063,9519,14582,2469,4727,7196,934,2004,2938,372.9,16.2,51.8,34.3
13,Como,720463,348836,371627,6215,5828,12043,23047,21906,44953,30017,28870,58887,25631,24845,50476,24111,23577,47688,28667,28253,56920,24937,24084,49021,28496,28085,56581,26074,26334,52408,25108,25428,50536,23318,25129,48447,14915,17192,32107,18730,21933,40663,18409,22250,40659,13465,18129,31594,8821,13772,22593,5407,9597,15004,2562,4637,7199,906,1778,2684,365.9,16.6,51.7,34.6
14,Sondrio,169149,83777,85372,1597,1454,3051,5868,5609,11477,8027,7610,15637,7182,7110,14292,6557,6466,13023,7126,6491,13617,5911,5185,11096,6323,5688,12011,5858,5499,11357,5765,5221,10986,4993,5252,10245,3241,3855,7096,4089,4706,8795,4075,4686,8761,2885,3830,6715,1961,2971,4932,1234,2020,3254,756,1178,1934,329,541,870,420.5,16.5,58.1,33.0
15,Milano,3903685,1889382,2014303,34995,32770,67765,125831,119118,244949,160005,151823,311828,132767,127147,259914,119646,117502,237148,143767,148938,292705,145686,148476,294162,169279,169386,338665,150586,151898,302484,144288,146882,291170,128304,137782,266086,87558,99517,187075,101079,115665,216744,94417,114611,209028,69478,92136,161614,42563,66315,108878,24477,44166,68643,10837,21253,32090,3819,8918,12737,354.1,14.6,48.1,34.3
16,Bergamo,829019,407115,421904,7706,7349,15055,29471,28003,57474,39821,38139,77960,34938,33286,68224,32038,30944,62982,34243,33525,67768,30098,28752,58850,33262,31515,64777,29450,28235,57685,28528,28253,56781,25295,26732,52027,16446,18443,34889,19243,22438,41681,17623,21489,39112,12690,17608,30298,8160,12781,20941,5026,8854,13880,2306,3987,6293,771,1571,2342,400.2,13.7,54.5,32.1
17,Brescia,957686,469937,487749,8645,8193,16838,32761,31231,63992,43219,41323,84542,37666,36369,74035,35362,34340,69702,39223,37561,76784,35104,33038,68142,38926,36328,75254,33814,32284,66098,33514,33652,67166,31147,33269,64416,20427,23103,43530,23078,27069,50147,20828,25456,46284,15357,20383,35740,10217,15714,25931,6367,10799,17166,3106,5363,8469,1176,2274,3450,390.1,14.5,52.6,33.0
18,Pavia,526389,255963,270426,3290,3172,6462,12736,12127,24863,17634,16527,34161,15466,14804,30270,14781,14041,28822,17132,16686,33818,15175,14664,29839,19125,18467,37592,19004,18859,37863,19816,19711,39527,18854,19881,38735,12442,13790,26232,17185,18880,36065,17411,19777,37188,14402,17094,31496,10139,13861,24000,6583,9944,16527,3376,5475,8851,1412,2666,4078,305.8,24.6,52.3,39.3
