COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1211633,589589,622044,11722,11373,23095,44066,44110,88176,54966,54806,109772,59341,58829,118170,56291,58200,114491,62014,57723,119737,44890,50057,94947,39807,44671,84478,35558,40362,75920,32774,36767,69541,30966,34941,65907,28927,32341,61268,25747,28154,53901,21767,24787,46554,17829,19481,37310,12234,13640,25874,6808,7369,14177,2951,3341,6292,931,1092,2023,386.7,10.9,54.0,30.0
3,Novara,755861,349184,406677,7957,7957,15914,31053,30537,61590,38559,38710,77269,38240,39788,78028,31852,41900,73752,30016,36631,66647,22863,30213,53076,21899,28428,50327,20220,25456,45676,19034,23350,42384,18394,22563,40957,16697,19859,36556,14614,17349,31963,12944,15543,28487,10573,12279,22852,7472,8559,16031,4322,4807,9129,1890,2051,3941,585,697,1282,416.7,11.3,60.9,29.3
4,Cuneo,646232,326895,319337,8003,7856,15859,30810,30353,61163,35698,35533,71231,35943,35240,71183,28746,29416,58162,29401,25844,55245,20784,22307,43091,19718,20460,40178,18582,19018,37600,17525,17271,34796,16268,15878,32146,15355,14996,30351,14292,13412,27704,12691,11924,24615,10211,9125,19336,7240,6108,13348,3729,3018,6747,1500,1193,2693,399,385,784,573.4,11.2,68.3,28.3
6,Alessandria,797174,400170,397004,9620,9217,18837,36662,35963,72625,44437,43641,88078,44870,43586,88456,36579,37240,73819,33843,33085,66928,26661,28517,55178,23978,25546,49524,22637,22552,45189,21015,21244,42259,20506,20045,40551,19814,19302,39116,17933,17082,35015,14650,14393,29043,12312,11509,23821,8094,7639,15733,4315,4120,8435,1722,1720,3442,522,603,1125,543.8,11.0,67.3,28.4
8,PortoMaurizio,146253,73332,72921,1465,1455,2920,5515,5284,10799,6566,6683,13249,6760,6751,13511,6076,6401,12477,6819,5775,12594,5069,5394,10463,4926,5168,10094,4645,4710,9355,4378,4503,8881,4254,4104,8358,3784,3757,7541,3436,3385,6821,3212,3253,6465,2698,2618,5316,1917,1862,3779,1104,1057,2161,511,534,1045,197,227,424,429.4,13.7,57.2,31.4
10,Genova,1098226,525454,577752,11986,11613,23599,43430,42363,85793,51551,50285,101836,51366,50728,102094,49111,50898,100029,54548,49027,103575,41541,42487,84028,37903,38260,76163,33724,33890,67614,31151,80718,61869,28840,27505,56345,23963,23920,47883,20239,20398,40637,16109,17429,83538,12748,18385,26133,8585,9552,18137,5081,5942,11023,2553,2979,5532,1025,1373,2398,370.5,8.8,52.2,30.2
13,Como,603334,289915,325989,8643,8422,17065,30500,30150,60650,35368,34922,57720,32573,34311,66884,24696,31219,55915,22079,29201,51280,20244,25664,45908,19331,22884,42215,16522,19174,35696,14395,16698,31093,13250,15088,28338,12287,14095,26382,11833,13257,25090,9952,11572,21524,8245,8959,17204,5682,5858,11540,2855,2979,5834,1166,1133,2299,294,403,697,536.6,10.3,66.0,27.9
14,Sondrio,129741,61478,68263,1961,1866,3827,6557,6530,13087,7555,7491,15046,6689,6653,13342,4899,5477,10376,4173,5121,9294,3493,4865,8358,3931,4833,8764,3522,4167,7689,3384,4048,7432,2886,3541,6427,2601,3179,5780,2717,2989,5706,2339,2696,5035,2021,2224,4245,1448,1411,2859,792,735,1527,400,350,750,110,87,197,593.2,12.8,73.3,28.6
15,Milano,1725947,862100,863847,23953,23341,47294,81594,80520,162114,91829,90758,182587,88965,87535,176500,85000,84445,169445,82403,83073,165476,74621,74475,149096,65926,64497,130423,52221,51805,104026,44792,45018,89810,40568,40280,80848,35862,36441,72303,31263,32251,63514,24436,27297,51733,19101,20250,39351,11666,12671,24337,5596,6227,11823,1844,2289,4133,460,674,1134,519.2,7.5,60.3,26.8
16,Bergamo,511237,245286,265956,9478,9283,18761,29559,29354,58913,32150,31529,63679,28495,28607,57102,21413,25326,46739,17586,23656,41237,15991,20221,36212,15343,18020,33363,13190,15070,28260,11991,13098,25089,10908,11582,22490,10004,10748,20752,9082,9512,18594,7775,7802,15577,6220,6075,12295,3629,3611,7240,1678,1658,3336,562,545,1107,232,259,491,673.1,8.5,77.3,25.5
