year,age_group,age_lo,age_hi,count,unit,source,notes
1933,40-44,40,44,65312,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1933,45-49,45,49,6822,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1933,50-w,50,,200,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1934,-15,,14,53,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,15-20,15,20,51410,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,21-24,21,24,189816,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,25-29,25,29,280475,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,30-34,30,34,218664,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,35-39,35,39,149428,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,40-44,40,44,64604,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,45-49,45,49,6667,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1934,50-w,50,,190,effettive,"ED 1936 - Mov. stato civile - Anno 1934, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=961307 = totale stampato 961307 (scarto 0)"
1935,-15,,14,80,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,15-20,15,20,49432,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,21-24,21,24,191367,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
1935,25-29,25,29,289370,effettive,"ED 1936 - Mov. stato civile - Anno 1935, Prospetto 33","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=966850 = totale stampato 966850 (scarto 0)"
