province,year,births,COD_PROV,DEN_PROV,source,validated
Reggio Emilia,1868,8591,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1868,8296,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1868,17463,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1868,9103,90,Sassari,TAVOLA_VI_1881,OK
Siena,1868,7275,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1868,8793,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1868,4089,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1868,7180,67,Teramo,TAVOLA_VI_1881,OK
Torino,1868,31951,1,Torino,TAVOLA_VI_1881,OK
Trapani,1868,8046,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1868,13192,26,Treviso,TAVOLA_VI_1881,OK
Udine,1868,15846,30,Udine,TAVOLA_VI_1881,OK
Venezia,1868,11614,27,Venezia,TAVOLA_VI_1881,OK
Verona,1868,11860,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1868,13043,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1869,11327,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1869,24034,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1869,9851,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1869,8900,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1869,6631,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1869,13233,64,Avellino,TAVOLA_VI_1881,OK
Bari,1869,25631,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1869,6666,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1869,8552,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1869,13891,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1869,14600,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1869,15890,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1869,13988,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1869,8777,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1869,15117,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1869,25722,61,Caserta,TAVOLA_VI_1881,OK
Catania,1869,17492,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1869,14791,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1869,12866,69,Chieti,TAVOLA_VI_1881,OK
Como,1869,16475,13,Como,TAVOLA_VI_1881,OK
Cosenza,1869,16562,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1869,10661,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1869,22252,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1869,8496,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1869,31438,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1869,12228,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1869,8787,40,Forlì,TAVOLA_VI_1881,OK
Genova,1869,25436,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1869,3917,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1869,4086,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1869,11770,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1869,19140,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1869,3961,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1869,9764,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1869,8253,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1869,10809,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1869,6259,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1869,13906,83,Messina,TAVOLA_VI_1881,OK
Milano,1869,38071,15,Milano,TAVOLA_VI_1881,OK
Modena,1869,10017,36,Modena,TAVOLA_VI_1881,OK
Napoli,1869,33407,63,Napoli,TAVOLA_VI_1881,OK
Novara,1869,22498,3,Novara,TAVOLA_VI_1881,OK
Padova,1869,14540,28,Padova,TAVOLA_VI_1881,OK
Palermo,1869,23418,82,Palermo,TAVOLA_VI_1881,OK
Parma,1869,9061,34,Parma,TAVOLA_VI_1881,OK
Pavia,1869,16770,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1869,19003,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1869,7603,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1869,7601,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1869,9749,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1869,20266,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1869,7177,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1869,12357,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1869,9074,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1869,8373,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1869,19467,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1869,9776,90,Sassari,TAVOLA_VI_1881,OK
Siena,1869,7874,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1869,11063,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1869,3667,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1869,8215,67,Teramo,TAVOLA_VI_1881,OK
Torino,1869,32544,1,Torino,TAVOLA_VI_1881,OK
Trapani,1869,8706,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1869,14072,26,Treviso,TAVOLA_VI_1881,OK
Udine,1869,17106,30,Udine,TAVOLA_VI_1881,OK
Venezia,1869,11888,27,Venezia,TAVOLA_VI_1881,OK
Verona,1869,12741,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1869,13871,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1870,11886,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1870,24017,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1870,9266,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1870,8744,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1870,6385,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1870,14017,64,Avellino,TAVOLA_VI_1881,OK
Bari,1870,26119,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1870,6764,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1870,8331,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1870,14100,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1870,14919,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1870,15468,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1870,14428,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1870,9322,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1870,13844,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1870,24489,61,Caserta,TAVOLA_VI_1881,OK
Catania,1870,18437,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1870,16249,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1870,12953,69,Chieti,TAVOLA_VI_1881,OK
Como,1870,16305,13,Como,TAVOLA_VI_1881,OK
Cosenza,1870,17421,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1870,11500,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1870,22128,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1870,8575,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1870,30511,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1870,12916,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1870,8525,40,Forlì,TAVOLA_VI_1881,OK
Genova,1870,24794,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1870,4104,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1870,4112,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1870,12047,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1870,18392,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1870,3791,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1870,10068,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1870,7352,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1870,10620,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1870,6479,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1870,14229,83,Messina,TAVOLA_VI_1881,OK
Milano,1870,38337,15,Milano,TAVOLA_VI_1881,OK
Modena,1870,10091,36,Modena,TAVOLA_VI_1881,OK
Napoli,1870,34083,63,Napoli,TAVOLA_VI_1881,OK
Novara,1870,21183,3,Novara,TAVOLA_VI_1881,OK
Padova,1870,13685,28,Padova,TAVOLA_VI_1881,OK
Palermo,1870,23433,82,Palermo,TAVOLA_VI_1881,OK
Parma,1870,9414,34,Parma,TAVOLA_VI_1881,OK
Pavia,1870,17292,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1870,18048,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1870,7243,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1870,7945,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1870,9561,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1870,20123,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1870,7169,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1870,13333,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1870,8921,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1870,8273,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1870,19000,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1870,9717,90,Sassari,TAVOLA_VI_1881,OK
Siena,1870,7416,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1870,12234,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1870,4213,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1870,7956,67,Teramo,TAVOLA_VI_1881,OK
Torino,1870,33130,1,Torino,TAVOLA_VI_1881,OK
Trapani,1870,9236,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1870,13054,26,Treviso,TAVOLA_VI_1881,OK
Udine,1870,16039,30,Udine,TAVOLA_VI_1881,OK
Venezia,1870,11613,27,Venezia,TAVOLA_VI_1881,OK
Verona,1870,12336,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1870,13820,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1871,12063,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1871,24944,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1871,9316,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1871,8782,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1871,6190,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1871,13493,64,Avellino,TAVOLA_VI_1881,OK
Bari,1871,24654,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1871,7194,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1871,8032,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1871,14780,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1871,14461,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1871,16437,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1871,14076,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1871,9959,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1871,14100,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1871,24297,61,Caserta,TAVOLA_VI_1881,OK
Catania,1871,18760,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1871,14495,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1871,12316,69,Chieti,TAVOLA_VI_1881,OK
Como,1871,17650,13,Como,TAVOLA_VI_1881,OK
Cosenza,1871,17365,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1871,10965,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1871,23301,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1871,8803,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1871,32153,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1871,11766,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1871,8426,40,Forlì,TAVOLA_VI_1881,OK
Genova,1871,25093,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1871,3870,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1871,4354,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1871,12787,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1871,17863,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1871,3811,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1871,10716,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1871,8481,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1871,10393,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1871,6778,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1871,13551,83,Messina,TAVOLA_VI_1881,OK
Milano,1871,39690,15,Milano,TAVOLA_VI_1881,OK
Modena,1871,9468,36,Modena,TAVOLA_VI_1881,OK
Napoli,1871,34015,63,Napoli,TAVOLA_VI_1881,OK
Novara,1871,23673,3,Novara,TAVOLA_VI_1881,OK
Padova,1871,14716,28,Padova,TAVOLA_VI_1881,OK
Palermo,1871,23510,82,Palermo,TAVOLA_VI_1881,OK
Parma,1871,9135,34,Parma,TAVOLA_VI_1881,OK
Pavia,1871,16885,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1871,18299,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1871,7539,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1871,7535,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1871,9991,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1871,18951,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1871,6829,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1871,12426,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1871,9095,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1871,8653,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1871,18946,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1871,9124,90,Sassari,TAVOLA_VI_1881,OK
Siena,1871,7497,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1871,11969,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1871,4193,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1871,7671,67,Teramo,TAVOLA_VI_1881,OK
Torino,1871,33788,1,Torino,TAVOLA_VI_1881,OK
Trapani,1871,9019,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1871,14665,26,Treviso,TAVOLA_VI_1881,OK
Udine,1871,16969,30,Udine,TAVOLA_VI_1881,OK
Venezia,1871,12228,27,Venezia,TAVOLA_VI_1881,OK
Verona,1871,12680,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1871,14456,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1872,13587,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1872,24699,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1872,9397,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1872,8467,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1872,6331,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1872,14979,64,Avellino,TAVOLA_VI_1881,OK
Bari,1872,27600,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1872,7155,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1872,9661,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1872,14509,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1872,14457,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1872,15961,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1872,15162,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1872,10638,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1872,15351,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1872,26777,61,Caserta,TAVOLA_VI_1881,OK
Catania,1872,20550,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1872,16579,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1872,12419,69,Chieti,TAVOLA_VI_1881,OK
Como,1872,17521,13,Como,TAVOLA_VI_1881,OK
Cosenza,1872,18217,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1872,11236,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1872,22177,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1872,8996,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1872,30918,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1872,13850,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1872,8535,40,Forlì,TAVOLA_VI_1881,OK
Genova,1872,24807,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1872,3982,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1872,4199,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1872,12218,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1872,20304,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1872,3732,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1872,10005,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1872,6912,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1872,10364,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1872,6497,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1872,14814,83,Messina,TAVOLA_VI_1881,OK
Milano,1872,39824,15,Milano,TAVOLA_VI_1881,OK
Modena,1872,9623,36,Modena,TAVOLA_VI_1881,OK
Napoli,1872,35475,63,Napoli,TAVOLA_VI_1881,OK
Novara,1872,24225,3,Novara,TAVOLA_VI_1881,OK
Padova,1872,14977,28,Padova,TAVOLA_VI_1881,OK
Palermo,1872,25969,82,Palermo,TAVOLA_VI_1881,OK
Parma,1872,9233,34,Parma,TAVOLA_VI_1881,OK
Pavia,1872,17332,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1872,19057,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1872,7678,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1872,7713,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1872,9853,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1872,22037,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1872,7016,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1872,13411,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1872,8422,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Roma,1872,29611,58,Roma,TAVOLA_VI_1881,OK
Rovigo,1872,9087,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1872,20720,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1872,9671,90,Sassari,TAVOLA_VI_1881,OK
Siena,1872,7699,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1872,12755,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1872,4378,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1872,7818,67,Teramo,TAVOLA_VI_1881,OK
Torino,1872,33242,1,Torino,TAVOLA_VI_1881,OK
Trapani,1872,10295,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1872,13428,26,Treviso,TAVOLA_VI_1881,OK
Udine,1872,17270,30,Udine,TAVOLA_VI_1881,OK
Venezia,1872,12076,27,Venezia,TAVOLA_VI_1881,OK
Verona,1872,12624,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1872,14600,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1873,12998,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1873,23422,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1873,9196,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1873,8524,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1873,6333,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1873,14035,64,Avellino,TAVOLA_VI_1881,OK
Bari,1873,25532,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1873,6693,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1873,8622,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1873,13890,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1873,14226,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1873,14987,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1873,15090,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1873,10637,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1873,15242,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1873,24817,61,Caserta,TAVOLA_VI_1881,OK
Catania,1873,19725,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1873,16960,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1873,13728,69,Chieti,TAVOLA_VI_1881,OK
Como,1873,17320,13,Como,TAVOLA_VI_1881,OK
Cosenza,1873,16649,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1873,10321,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1873,21668,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1873,8516,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1873,29873,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1873,13040,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1873,8902,40,Forlì,TAVOLA_VI_1881,OK
Genova,1873,24199,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1873,3792,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1873,3891,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1873,12570,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1873,19212,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1873,3670,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1873,9599,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1873,7926,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1873,9964,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1873,5812,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1873,15084,83,Messina,TAVOLA_VI_1881,OK
Milano,1873,40205,15,Milano,TAVOLA_VI_1881,OK
Modena,1873,9354,36,Modena,TAVOLA_VI_1881,OK
Napoli,1873,33367,63,Napoli,TAVOLA_VI_1881,OK
Novara,1873,22406,3,Novara,TAVOLA_VI_1881,OK
Padova,1873,14739,28,Padova,TAVOLA_VI_1881,OK
Palermo,1873,24409,82,Palermo,TAVOLA_VI_1881,OK
Parma,1873,8849,34,Parma,TAVOLA_VI_1881,OK
Pavia,1873,17306,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1873,17984,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1873,7621,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1873,7381,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1873,9845,50,Pisa,TAVOLA_VI_1881,OK
Potenza,1873,20868,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1873,6902,39,Ravenna,TAVOLA_VI_1881,OK
Reggio Calabria,1873,13497,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio Emilia,1873,8809,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Roma,1873,28342,58,Roma,TAVOLA_VI_1881,OK
Rovigo,1873,8936,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1873,19298,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1873,9517,90,Sassari,TAVOLA_VI_1881,OK
Siena,1873,7054,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1873,12325,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1873,4024,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1873,8329,67,Teramo,TAVOLA_VI_1881,OK
Torino,1873,31065,1,Torino,TAVOLA_VI_1881,OK
Trapani,1873,10450,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1873,13034,26,Treviso,TAVOLA_VI_1881,OK
Udine,1873,16188,30,Udine,TAVOLA_VI_1881,OK
Venezia,1873,11612,27,Venezia,TAVOLA_VI_1881,OK
Verona,1873,12565,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1873,13441,24,Vicenza,TAVOLA_VI_1881,OK
Agrigento,1874,12900,84,Girgenti,TAVOLA_VI_1881,OK
Alessandria,1874,22775,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1874,8654,42,Ancona,TAVOLA_VI_1881,OK
Arezzo,1874,8112,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1874,5933,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Avellino,1874,13511,64,Avellino,TAVOLA_VI_1881,OK
Bari,1874,24144,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1874,6860,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1874,7986,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1874,13338,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1874,13878,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1874,14305,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1874,14787,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1874,10551,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1874,14348,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1874,24168,61,Caserta,TAVOLA_VI_1881,OK
Catania,1874,19350,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1874,15437,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1874,11686,69,Chieti,TAVOLA_VI_1881,OK
Como,1874,17604,13,Como,TAVOLA_VI_1881,OK
Cosenza,1874,17174,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1874,10072,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1874,21009,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1874,8138,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1874,29134,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1874,12565,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1874,7971,40,Forlì,TAVOLA_VI_1881,OK
Genova,1874,24426,10,Genova,TAVOLA_VI_1881,OK
Grosseto,1874,4063,53,Grosseto,TAVOLA_VI_1881,OK
Imperia,1874,3998,8,Porto Maurizio,TAVOLA_VI_1881,OK
L'Aquila,1874,12620,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Lecce,1874,17209,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1874,3457,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1874,9735,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1874,6946,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1874,9367,20,Mantova,TAVOLA_VI_1881,OK
Massa-Carrara,1874,6394,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1874,14032,83,Messina,TAVOLA_VI_1881,OK
Milano,1874,39265,15,Milano,TAVOLA_VI_1881,OK
Modena,1874,9071,36,Modena,TAVOLA_VI_1881,OK
