COD_PROV,DEN_PROV,year,births,cbr
61,Caserta,1865,25128,37.63
62,Benevento,1865,8084,35.91
63,Napoli,1865,34869,39.46
64,Avellino,1865,14316,42.6
65,Salerno,1865,20202,37.88
66,Aquila degli Abruzzi,1865,11819,37.05
67,Teramo,1865,7570,32.02
69,Chieti,1865,12429,37.4
70,Campobasso,1865,14826,42.38
71,Foggia,1865,12873,40.63
72,Bari delle Puglie,1865,25063,43.53
75,Lecce,1865,18635,40.05
76,Potenza,1865,21308,42.62
78,Cosenza,1865,17348,39.79
79,Catanzaro,1865,15586,39.38
80,Reggio di Calabria,1865,12777,37.55
81,Trapani,1865,9567,42.81
82,Palermo,1865,23211,48.58
83,Messina,1865,15494,38.76
84,Girgenti,1865,11945,35.0
85,Caltanissetta,1865,10252,49.74
87,Catania,1865,19168,40.95
89,Siracusa,1865,12117,44.31
90,Sassari,1865,9182,40.46
92,Cagliari,1865,14026,36.86
1,Torino,1866,35178,36.76
3,Novara,1866,24614,40.89
4,Cuneo,1866,22723,37.39
6,Alessandria,1866,25192,37.94
8,Porto Maurizio,1866,4472,36.0
10,Genova,1866,26695,39.1
13,Como,1866,17561,37.56
14,Sondrio,1866,4103,37.92
15,Milano,1866,40251,41.13
16,Bergamo,1866,14477,40.49
17,Brescia,1866,18471,39.22
18,Pavia,1866,17865,41.16
19,Cremona,1866,13830,43.1
20,Mantova,1866,6148,21.35
23,Verona,1866,12287,33.45
24,Vicenza,1866,13008,35.86
25,Belluno,1866,6878,39.25
26,Treviso,1866,13848,39.32
27,Venezia,1866,11749,34.82
28,Padova,1866,14307,39.26
29,Rovigo,1866,8391,41.82
30,Udine,1866,16667,34.64
33,Piacenza,1866,7886,35.5
34,Parma,1866,9487,36.46
35,Reggio nell'Emilia,1866,9268,39.36
36,Modena,1866,10433,39.05
37,Bologna,1866,15272,36.08
38,Ferrara,1866,8939,43.06
39,Ravenna,1866,7689,35.78
40,Forlì,1866,8918,38.78
41,Pesaro e Urbino,1866,8078,38.88
42,Ancona,1866,10109,39.07
43,Macerata,1866,8159,35.15
44,Ascoli Piceno,1866,7288,36.53
45,Massa e Carrara,1866,6183,40.94
46,Lucca,1866,10011,37.29
48,Firenze,1866,31123,42.55
49,Livorno,1866,4411,37.51
50,Pisa,1866,9517,37.4
51,Arezzo,1866,8717,38.38
52,Siena,1866,7866,39.3
53,Grosseto,1866,4147,40.0
54,Umbria,1866,19478,36.7
61,Caserta,1866,24738,36.77
62,Benevento,1866,8321,36.78
63,Napoli,1866,34059,38.38
64,Avellino,1866,14326,41.78
65,Salerno,1866,20115,37.62
66,Aquila degli Abruzzi,1866,11844,36.85
67,Teramo,1866,7991,33.58
69,Chieti,1866,12743,38.19
70,Campobasso,1866,14048,40.04
71,Foggia,1866,12995,40.89
72,Bari delle Puglie,1866,26632,45.84
75,Lecce,1866,19505,41.54
76,Potenza,1866,22033,43.91
78,Cosenza,1866,18339,41.94
79,Catanzaro,1866,15676,39.33
80,Reggio di Calabria,1866,13089,38.22
81,Trapani,1866,9780,43.35
82,Palermo,1866,22410,44.72
83,Messina,1866,14524,36.23
84,Girgenti,1866,11876,35.73
85,Caltanissetta,1866,9640,45.88
87,Catania,1866,18198,38.5
89,Siracusa,1866,11760,42.47
90,Sassari,1866,9460,41.19
92,Cagliari,1866,14404,37.64
1,Torino,1867,32532,33.88
3,Novara,1867,22243,36.67
4,Cuneo,1867,19853,32.56
6,Alessandria,1867,23630,35.38
8,Porto Maurizio,1867,4162,33.35
10,Genova,1867,25183,36.54
13,Como,1867,16367,34.86
14,Sondrio,1867,4175,38.43
15,Milano,1867,38612,39.21
16,Bergamo,1867,12808,35.62
17,Brescia,1867,16030,34.26
18,Pavia,1867,16600,37.99
19,Cremona,1867,12196,38.49
20,Mantova,1867,5897,20.48
23,Verona,1867,11464,31.21
24,Vicenza,1867,12294,33.89
25,Belluno,1867,6664,38.03
26,Treviso,1867,12092,34.34
27,Venezia,1867,11001,32.6
28,Padova,1867,13159,36.11
29,Rovigo,1867,7963,39.69
30,Udine,1867,15845,32.93
33,Piacenza,1867,7666,34.39
34,Parma,1867,8804,33.73
35,Reggio nell'Emilia,1867,8473,35.83
36,Modena,1867,9837,36.64
37,Bologna,1867,14264,33.45
38,Ferrara,1867,8114,38.79
39,Ravenna,1867,6947,32.15
40,Forlì,1867,7985,34.57
41,Pesaro e Urbino,1867,7549,36.15
42,Ancona,1867,9485,36.55
43,Macerata,1867,7991,34.28
44,Ascoli Piceno,1867,6616,33.05
45,Massa e Carrara,1867,6300,41.12
46,Lucca,1867,10484,38.7
48,Firenze,1867,31519,42.69
49,Livorno,1867,4139,35.16
50,Pisa,1867,9839,38.32
51,Arezzo,1867,9130,39.94
52,Siena,1867,8119,40.31
53,Grosseto,1867,4054,38.87
54,Umbria,1867,19005,35.55
61,Caserta,1867,24499,36.15
62,Benevento,1867,8626,37.93
63,Napoli,1867,33621,37.72
64,Avellino,1867,13913,39.78
65,Salerno,1867,19433,36.25
66,Aquila degli Abruzzi,1867,11867,36.65
67,Teramo,1867,7859,32.81
69,Chieti,1867,13343,39.84
70,Campobasso,1867,15172,43.12
71,Foggia,1867,12152,38.12
72,Bari delle Puglie,1867,24131,41.16
75,Lecce,1867,17780,37.52
76,Potenza,1867,22013,43.72
78,Cosenza,1867,16828,38.36
79,Catanzaro,1867,15164,37.79
80,Reggio di Calabria,1867,11504,33.37
81,Trapani,1867,8346,36.64
82,Palermo,1867,20596,39.28
83,Messina,1867,13715,34.12
84,Girgenti,1867,10256,31.71
85,Caltanissetta,1867,8653,40.42
87,Catania,1867,16636,34.86
89,Siracusa,1867,10716,38.23
90,Sassari,1867,9722,41.83
92,Cagliari,1867,13871,36.05
1,Torino,1868,31951,33.16
3,Novara,1868,22432,36.7
4,Cuneo,1868,21147,34.57
6,Alessandria,1868,23358,34.77
8,Porto Maurizio,1868,3857,30.77
10,Genova,1868,25112,36.09
13,Como,1868,16095,34.13
14,Sondrio,1868,4089,37.49
15,Milano,1868,38045,38.4
16,Bergamo,1868,13737,37.99
17,Brescia,1868,17438,37.52
18,Pavia,1868,16886,38.4
19,Cremona,1868,13453,43.01
20,Mantova,1868,6279,21.8
23,Verona,1868,11860,32.28
24,Vicenza,1868,13043,35.95
25,Belluno,1868,6657,37.99
26,Treviso,1868,13192,37.46
27,Venezia,1868,11614,34.42
28,Padova,1868,13954,38.29
29,Rovigo,1868,8296,41.34
30,Udine,1868,15846,32.93
33,Piacenza,1868,7627,34.11
34,Parma,1868,9166,35.0
35,Reggio nell'Emilia,1868,8591,36.17
36,Modena,1868,9791,36.3
37,Bologna,1868,14153,32.94
38,Ferrara,1868,8515,40.41
39,Ravenna,1868,7186,33.06
40,Forlì,1868,8207,35.37
41,Pesaro e Urbino,1868,7211,34.35
42,Ancona,1868,9284,35.67
43,Macerata,1868,7843,33.51
44,Ascoli Piceno,1868,6104,30.38
45,Massa e Carrara,1868,6237,40.14
46,Lucca,1868,9757,35.7
48,Firenze,1868,30135,40.43
49,Livorno,1868,3935,33.39
50,Pisa,1868,8832,34.09
51,Arezzo,1868,8259,35.89
52,Siena,1868,7275,35.9
53,Grosseto,1868,4008,38.19
54,Umbria,1868,17418,32.36
61,Caserta,1868,22178,32.49
62,Benevento,1868,7282,31.86
63,Napoli,1868,30767,34.37
64,Avellino,1868,13159,36.9
65,Salerno,1868,17463,32.5
66,Aquila degli Abruzzi,1868,11012,33.76
67,Teramo,1868,7180,29.78
69,Chieti,1868,11587,34.47
70,Campobasso,1868,13310,37.72
71,Foggia,1868,12326,38.54
72,Bari delle Puglie,1868,24720,41.79
75,Lecce,1868,17332,36.25
