"age_class","code","province","total","male","female"
"0","001","Torino",17141,8689,8452
"1-4","001","Torino",62318,31922,30396
"5-9","001","Torino",79891,40720,39171
"10-14","001","Torino",61150,31268,29882
"15-19","001","Torino",98120,49181,48939
"20-24","001","Torino",123499,68162,55337
"25-29","001","Torino",104576,51098,53478
"30-34","001","Torino",99803,47101,52702
"35-39","001","Torino",89427,41680,47747
"40-44","001","Torino",85001,39839,45162
"45-49","001","Torino",74077,34908,39169
"50-54","001","Torino",63850,30158,33692
"55-59","001","Torino",55004,25599,29405
"60-64","001","Torino",45290,20827,24463
"65-69","001","Torino",36939,16631,20308
"70-74","001","Torino",26799,11933,14866
"75-79","001","Torino",16274,7166,9108
"80-84","001","Torino",7151,3048,4103
"85+","001","Torino",2377,912,1465
"0","002","Vercelli",5241,2685,2556
"1-4","002","Vercelli",20078,10101,9977
"5-9","002","Vercelli",26351,13488,12863
"10-14","002","Vercelli",18012,9002,9010
"15-19","002","Vercelli",30335,14287,16048
"20-24","002","Vercelli",32772,15384,17388
"25-29","002","Vercelli",31226,14810,16416
"30-34","002","Vercelli",27975,12996,14979
"35-39","002","Vercelli",25543,11295,14248
"40-44","002","Vercelli",25120,11204,13916
"45-49","002","Vercelli",22543,10015,12528
"50-54","002","Vercelli",22108,9922,12186
"55-59","002","Vercelli",19234,8832,10402
"60-64","002","Vercelli",17031,7653,9378
"65-69","002","Vercelli",14872,8861,6011
"70-74","002","Vercelli",10529,4784,5745
"75-79","002","Vercelli",6303,2771,3532
"80-84","002","Vercelli",3123,1344,1779
"85+","002","Vercelli",1109,440,669
"0","003","Novara",6441,3215,3226
"1-4","003","Novara",23794,12166,11628
"5-9","003","Novara",30650,15491,15159
"10-14","003","Novara",22445,11508,10937
"15-19","003","Novara",35385,17371,18014
"20-24","003","Novara",37550,18714,18836
"25-29","003","Novara",33601,16123,17478
"30-34","003","Novara",30298,13984,16314
"35-39","003","Novara",26580,12082,14498
"40-44","003","Novara",26023,11827,14196
"45-49","003","Novara",23075,10364,12711
"50-54","003","Novara",22412,10340,12072
"55-59","003","Novara",19556,9133,10423
"60-64","003","Novara",17035,7840,9195
"65-69","003","Novara",14068,6468,7600
"70-74","003","Novara",10221,4603,5618
"75-79","003","Novara",6157,2736,3421
"80-84","003","Novara",3003,1212,1791
"85+","003","Novara",1018,371,647
"0","004","Cuneo",12733,6436,6267
"1-4","004","Cuneo",47452,23881,23601
"5-9","004","Cuneo",60330,30396,29934
"10-14","004","Cuneo",46170,23605,22565
"15-19","004","Cuneo",59684,30510,29174
"20-24","004","Cuneo",64050,37362,26688
"25-29","004","Cuneo",47006,23726,23280
"30-34","004","Cuneo",42291,20328,21963
"35-39","004","Cuneo",37143,17569,19574
"40-44","004","Cuneo",36016,17181,18835
"45-49","004","Cuneo",33240,16215,17025
"50-54","004","Cuneo",31137,15545,15592
"55-59","004","Cuneo",28741,14483,14258
"60-64","004","Cuneo",24668,12322,12346
"65-69","004","Cuneo",20258,10481,9777
"70-74","004","Cuneo",14750,7642,7108
"75-79","004","Cuneo",8902,4561,4341
"80-84","004","Cuneo",3853,1928,1924
"85+","004","Cuneo",1284,633,650
"0","006","Alessandria",12057,6108,5949
"1-4","006","Alessandria",46549,23307,23242
"5-9","006","Alessandria",63264,32142,31122
"10-14","006","Alessandria",47706,24239,23467
"15-19","006","Alessandria",70927,36222,34705
"20-24","006","Alessandria",74655,40526,34129
"25-29","006","Alessandria",61663,31304,30359
"30-34","006","Alessandria",55607,26849,28758
"35-39","006","Alessandria",49321,23345,25976
"40-44","006","Alessandria",48119,23124,24995
"45-49","006","Alessandria",45472,21829,23643
"50-54","006","Alessandria",41304,20402,20902
"55-59","006","Alessandria",36775,18779,17996
"60-64","006","Alessandria",32341,16177,16164
"65-69","006","Alessandria",28149,13976,14173
"70-74","006","Alessandria",21416,10641,10775
"75-79","006","Alessandria",13228,6566,6662
"80-84","006","Alessandria",5418,2441,2977
"85+","006","Alessandria",1997,819,1178
"0","007","Valle d'Aosta",4078,2052,2026
"1-4","007","Valle d'Aosta",15120,7575,7545
"5-9","007","Valle d'Aosta",19590,9936,9654
"10-14","007","Valle d'Aosta",14074,7055,7019
"15-19","007","Valle d'Aosta",19760,9731,10029
"20-24","007","Valle d'Aosta",20459,10374,10085
"25-29","007","Valle d'Aosta",18061,8675,9386
"30-34","007","Valle d'Aosta",15817,7283,8534
"35-39","007","Valle d'Aosta",14491,6505,7986
"40-44","007","Valle d'Aosta",14206,6294,7912
"45-49","007","Valle d'Aosta",13022,5881,7141
"50-54","007","Valle d'Aosta",12641,5835,6806
"55-59","007","Valle d'Aosta",11968,5502,6466
"60-64","007","Valle d'Aosta",10341,4634,5707
"65-69","007","Valle d'Aosta",9141,4169,4972
"70-74","007","Valle d'Aosta",6584,2956,3628
"75-79","007","Valle d'Aosta",4086,1840,2246
"80-84","007","Valle d'Aosta",1884,851,1033
"85+","007","Valle d'Aosta",751,326,425
"0","008","Imperia",2498,1244,1254
