severity,dataset,where,check,detail
INFO,migration,Ravenna 1913->1914,yoy_jump,emig_rate 9.35 -> 4.74 (WWI disruption)
INFO,migration,Ravenna 1914->1915,yoy_jump,emig_rate 4.74 -> 1.15 (WWI disruption)
INFO,migration,Reggio di Calabria 1913->1914,yoy_jump,emig_rate 38.23 -> 15.55 (WWI disruption)
INFO,migration,Reggio di Calabria 1914->1915,yoy_jump,emig_rate 15.55 -> 3.49 (WWI disruption)
INFO,migration,Reggio di Calabria 1919->1920,yoy_jump,emig_rate 6.07 -> 28.86 (WWI disruption)
INFO,migration,Reggio nell'Emilia 1913->1914,yoy_jump,emig_rate 13.93 -> 6.21 (WWI disruption)
INFO,migration,Reggio nell'Emilia 1914->1915,yoy_jump,emig_rate 6.21 -> 1.65 (WWI disruption)
INFO,migration,Roma 1913->1914,yoy_jump,emig_rate 19.27 -> 7.05 (WWI disruption)
INFO,migration,Roma 1914->1915,yoy_jump,emig_rate 7.05 -> 2.71 (WWI disruption)
INFO,migration,Roma 1919->1920,yoy_jump,emig_rate 1.92 -> 7.5 (WWI disruption)
INFO,migration,Rovigo 1913->1914,yoy_jump,emig_rate 12.65 -> 6.61 (WWI disruption)
INFO,migration,Rovigo 1914->1915,yoy_jump,emig_rate 6.61 -> 0.59 (WWI disruption)
INFO,migration,Rovigo 1919->1920,yoy_jump,emig_rate 1.46 -> 2.5 (WWI disruption)
INFO,migration,Salerno 1913->1914,yoy_jump,emig_rate 28.82 -> 13.85 (WWI disruption)
INFO,migration,Salerno 1914->1915,yoy_jump,emig_rate 13.85 -> 4.82 (WWI disruption)
INFO,migration,Salerno 1915->1916,yoy_jump,emig_rate 4.82 -> 2.86 (WWI disruption)
INFO,migration,Salerno 1919->1920,yoy_jump,emig_rate 7.59 -> 21.91 (WWI disruption)
INFO,migration,Sassari 1913->1914,yoy_jump,emig_rate 20.74 -> 8.43 (WWI disruption)
INFO,migration,Sassari 1914->1915,yoy_jump,emig_rate 8.43 -> 1.45 (WWI disruption)
INFO,migration,Sassari 1915->1916,yoy_jump,emig_rate 1.45 -> 2.0 (WWI disruption)
INFO,migration,Sassari 1919->1920,yoy_jump,emig_rate 6.52 -> 10.02 (WWI disruption)
INFO,migration,Siena 1914->1915,yoy_jump,emig_rate 4.11 -> 0.51 (WWI disruption)
INFO,migration,Siena 1919->1920,yoy_jump,emig_rate 0.67 -> 1.25 (WWI disruption)
INFO,migration,Siracusa 1913->1914,yoy_jump,emig_rate 43.27 -> 12.39 (WWI disruption)
INFO,migration,Siracusa 1914->1915,yoy_jump,emig_rate 12.39 -> 3.64 (WWI disruption)
INFO,migration,Siracusa 1915->1916,yoy_jump,emig_rate 3.64 -> 6.84 (WWI disruption)
INFO,migration,Siracusa 1919->1920,yoy_jump,emig_rate 10.61 -> 29.32 (WWI disruption)
INFO,migration,Sondrio 1913->1914,yoy_jump,emig_rate 51.25 -> 31.89 (WWI disruption)
INFO,migration,Sondrio 1915->1916,yoy_jump,emig_rate 23.4 -> 5.49 (WWI disruption)
INFO,migration,Sondrio 1919->1920,yoy_jump,emig_rate 14.79 -> 25.66 (WWI disruption)
INFO,migration,Teramo 1913->1914,yoy_jump,emig_rate 45.72 -> 14.18 (WWI disruption)
INFO,migration,Teramo 1914->1915,yoy_jump,emig_rate 14.18 -> 6.06 (WWI disruption)
INFO,migration,Teramo 1915->1916,yoy_jump,emig_rate 6.06 -> 9.29 (WWI disruption)
INFO,migration,Teramo 1919->1920,yoy_jump,emig_rate 4.17 -> 31.36 (WWI disruption)
INFO,migration,Torino 1914->1915,yoy_jump,emig_rate 15.23 -> 7.05 (WWI disruption)
INFO,migration,Torino 1919->1920,yoy_jump,emig_rate 9.35 -> 14.46 (WWI disruption)
INFO,migration,Trapani 1913->1914,yoy_jump,emig_rate 70.8 -> 17.94 (WWI disruption)
INFO,migration,Trapani 1914->1915,yoy_jump,emig_rate 17.94 -> 8.51 (WWI disruption)
INFO,migration,Trapani 1919->1920,yoy_jump,emig_rate 16.66 -> 30.55 (WWI disruption)
INFO,migration,Treviso 1914->1915,yoy_jump,emig_rate 20.68 -> 2.11 (WWI disruption)
INFO,migration,Treviso 1915->1916,yoy_jump,emig_rate 2.11 -> 0.98 (WWI disruption)
INFO,migration,Treviso 1919->1920,yoy_jump,emig_rate 4.11 -> 11.74 (WWI disruption)
INFO,migration,Udine 1914->1915,yoy_jump,emig_rate 79.63 -> 3.36 (WWI disruption)
INFO,migration,Udine 1915->1916,yoy_jump,emig_rate 3.36 -> 0.77 (WWI disruption)
INFO,migration,Udine 1919->1920,yoy_jump,emig_rate 6.48 -> 37.52 (WWI disruption)
INFO,migration,Umbria 1913->1914,yoy_jump,emig_rate 25.73 -> 12.64 (WWI disruption)
INFO,migration,Umbria 1914->1915,yoy_jump,emig_rate 12.64 -> 2.21 (WWI disruption)
INFO,migration,Umbria 1919->1920,yoy_jump,emig_rate 5.01 -> 7.46 (WWI disruption)
INFO,migration,Venezia 1914->1915,yoy_jump,emig_rate 6.5 -> 2.05 (WWI disruption)
INFO,migration,Venezia 1915->1916,yoy_jump,emig_rate 2.05 -> 0.64 (WWI disruption)
INFO,migration,Venezia 1919->1920,yoy_jump,emig_rate 0.77 -> 2.45 (WWI disruption)
INFO,migration,Verona 1913->1914,yoy_jump,emig_rate 25.27 -> 14.57 (WWI disruption)
INFO,migration,Verona 1914->1915,yoy_jump,emig_rate 14.57 -> 3.16 (WWI disruption)
INFO,migration,Verona 1915->1916,yoy_jump,emig_rate 3.16 -> 0.69 (WWI disruption)
INFO,migration,Verona 1919->1920,yoy_jump,emig_rate 3.7 -> 9.12 (WWI disruption)
INFO,migration,Vicenza 1914->1915,yoy_jump,emig_rate 29.39 -> 3.1 (WWI disruption)
INFO,migration,Vicenza 1915->1916,yoy_jump,emig_rate 3.1 -> 0.7 (WWI disruption)
INFO,migration,Vicenza 1919->1920,yoy_jump,emig_rate 4.14 -> 16.79 (WWI disruption)
INFO,mortality,Ascoli Piceno 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Ascoli Piceno 1881,missing_rate,"deaths present, cdr empty"
INFO,mortality,Ascoli Piceno 1901,missing_rate,"deaths present, cdr empty"
INFO,mortality,Ascoli Piceno 1911,missing_rate,"deaths present, cdr empty"
INFO,mortality,Ascoli Piceno 1931,missing_rate,"deaths present, cdr empty"
INFO,mortality,Avellino 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Campobasso 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Campobasso 1931,missing_rate,"deaths present, cdr empty"
INFO,mortality,Caserta 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Chieti 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Cosenza 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Foggia 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Forlì 1881,missing_rate,"deaths present, cdr empty"
INFO,mortality,Forlì 1901,missing_rate,"deaths present, cdr empty"
INFO,mortality,Forlì 1911,missing_rate,"deaths present, cdr empty"
INFO,mortality,Forlì 1931,missing_rate,"deaths present, cdr empty"
INFO,mortality,Lecce 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Pesaro e Urbino 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Pesaro e Urbino 1881,missing_rate,"deaths present, cdr empty"
INFO,mortality,Pesaro e Urbino 1901,missing_rate,"deaths present, cdr empty"
INFO,mortality,Pesaro e Urbino 1911,missing_rate,"deaths present, cdr empty"
INFO,mortality,Pesaro e Urbino 1931,missing_rate,"deaths present, cdr empty"
INFO,mortality,Potenza 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Salerno 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Sondrio 1881,missing_rate,"deaths present, cdr empty"
INFO,mortality,Teramo 1871,missing_rate,"deaths present, cdr empty"
INFO,mortality,Umbria 1881,missing_rate,"deaths present, cdr empty"
INFO,mortality,Umbria 1901,missing_rate,"deaths present, cdr empty"
INFO,mortality,Umbria 1911,missing_rate,"deaths present, cdr empty"
INFO,mortality,Umbria 1931,missing_rate,"deaths present, cdr empty"
