COD_PROV,DEN_PROV,pop_res_1951,pop_res_1961,confini,fonte
46,Lucca,366899,365540,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
47,Pistoia,219582,232999,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
48,Firenze,916310,1012703,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
49,Livorno,282244,310048,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
50,Pisa,350002,362396,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
51,Arezzo,329665,308964,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
52,Siena,277437,270062,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
53,Grosseto,212295,220467,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
54,Perugia,581323,570149,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
55,Terni,222595,224596,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
56,Viterbo,258678,263862,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
57,Rieti,179157,162405,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
58,Roma,2150670,2775380,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
59,Latina,283699,319056,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
60,Frosinone,468594,438254,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
61,Caserta,601372,649327,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
62,Benevento,333203,314253,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
63,Napoli,2081119,2421243,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
64,Avellino,493742,463671,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
65,Salerno,836828,912265,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
66,L'Aquila,365077,328989,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
67,Teramo,272103,260687,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
68,Pescara,239817,242958,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
69,Chieti,400210,373632,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
70,Campobasso,406823,358052,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
71,Foggia,617701,665286,"esatti (071 attuale + Margherita di Savoia, Trinitapoli, San Ferdinando di Puglia da BAT)","ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
72,Bari,1242505,1263245,esatti (Bari+BAT attuali meno i 3 comuni ex-Foggia),"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
73,Taranto,423368,468713,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
74,Brindisi,313006,345635,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
75,Lecce,623905,678338,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
76,Potenza,445188,444166,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
77,Matera,182398,200131,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
78,Cosenza,686351,694398,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
79,Catanzaro,718465,741509,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
80,Reggio di Calabria,639471,609140,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
81,Trapani,414881,427672,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
82,Palermo,1028431,1111397,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
83,Messina,667963,685260,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
84,Agrigento,471903,472945,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
85,Caltanissetta,298496,302513,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
86,Enna,242675,229126,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
87,Catania,800051,893542,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
88,Ragusa,243507,252769,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
89,Siracusa,318842,345777,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
90,Sassari,353582,385319,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
91,Nuoro,195449,219310,coppia con 92,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
92,Cagliari,726992,814733,coppia con 91,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
