DATAFLOW,FREQ,REF_AREA,DATA_TYPE,AGE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_AGE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y2,1,1971,460647,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y2,2,1971,435635,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y2,9,1971,896282,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y20,1,1971,426973,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y20,2,1971,406822,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y20,9,1971,833795,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y21,1,1971,405276,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y21,2,1971,391529,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y21,9,1971,796805,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y22,1,1971,444881,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y22,2,1971,432687,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y22,9,1971,877568,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y23,1,1971,420746,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y23,2,1971,409113,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y23,9,1971,829859,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y24,1,1971,422063,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y24,2,1971,414835,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y24,9,1971,836898,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y25,1,1971,330019,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y25,2,1971,326143,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y25,9,1971,656162,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y26,1,1971,339691,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y26,2,1971,338754,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y26,9,1971,678445,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y27,1,1971,346486,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y27,2,1971,347681,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y27,9,1971,694167,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y28,1,1971,346357,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y28,2,1971,350575,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y28,9,1971,696932,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y29,1,1971,355306,,,,,,,,,
