"province","code","age_class","male","female","total"
"Calabria Citeriore","078","35-39",12674,14006,26680
"Calabria Citeriore","078","40-44",13519,15894,29413
"Calabria Citeriore","078","45-49",9726,11059,20785
"Calabria Citeriore","078","50-54",10701,12565,23266
"Calabria Citeriore","078","55-59",5539,6390,11929
"Calabria Citeriore","078","60-64",6634,8220,14854
"Calabria Citeriore","078","65-69",3380,3586,6966
"Calabria Citeriore","078","70-74",2254,3148,5402
"Calabria Citeriore","078","75-79",1056,1080,2136
"Calabria Citeriore","078","80-84",839,1023,1862
"Calabria Citeriore","078","85+",327,409,736
"Calabria Ulteriore II","079","0",5427,5607,11034
"Calabria Ulteriore II","079","1-4",18067,17338,35405
"Calabria Ulteriore II","079","5-9",22115,21413,43528
"Calabria Ulteriore II","079","10-14",21386,19812,41198
"Calabria Ulteriore II","079","15-19",18330,18375,36705
"Calabria Ulteriore II","079","20-24",18013,17176,35189
"Calabria Ulteriore II","079","25-29",15335,15253,30588
"Calabria Ulteriore II","079","30-34",15996,16733,32729
"Calabria Ulteriore II","079","35-39",13775,13457,27232
"Calabria Ulteriore II","079","40-44",13460,14122,27582
"Calabria Ulteriore II","079","45-49",9795,10516,20311
"Calabria Ulteriore II","079","50-54",10654,11768,22422
"Calabria Ulteriore II","079","55-59",5922,6545,12467
"Calabria Ulteriore II","079","60-64",6622,7965,14587
"Calabria Ulteriore II","079","65-69",3595,3978,7573
"Calabria Ulteriore II","079","70-74",3031,3750,6781
"Calabria Ulteriore II","079","75-79",1408,1532,2940
"Calabria Ulteriore II","079","80-84",1118,1255,2373
"Calabria Ulteriore II","079","85+",755,837,1592
"Catanzaro","079","0",5427,5607,11034
"Catanzaro","079","1-4",18067,17338,35405
"Catanzaro","079","5-9",22115,21413,43528
"Catanzaro","079","10-14",21386,19812,41198
"Catanzaro","079","15-19",18330,18375,36705
"Catanzaro","079","20-24",18013,17176,35189
"Catanzaro","079","25-29",15335,15253,30588
"Catanzaro","079","30-34",15996,16733,32729
"Catanzaro","079","35-39",13775,13457,27232
"Catanzaro","079","40-44",13460,14122,27582
"Catanzaro","079","45-49",9795,10516,20311
"Catanzaro","079","50-54",10654,11768,22422
"Catanzaro","079","55-59",5922,6545,12467
"Catanzaro","079","60-64",6622,7965,14587
"Catanzaro","079","65-69",3595,3978,7573
"Catanzaro","079","70-74",3031,3750,6781
"Catanzaro","079","75-79",1408,1532,2940
"Catanzaro","079","80-84",1118,1255,2373
"Catanzaro","079","85+",755,837,1592
"Calabria Ulteriore I","080","0",5143,5120,10263
"Calabria Ulteriore I","080","1-4",15464,15019,30483
"Calabria Ulteriore I","080","5-9",19495,18364,37859
"Calabria Ulteriore I","080","10-14",19736,18109,37845
"Calabria Ulteriore I","080","15-19",15285,16036,31321
"Calabria Ulteriore I","080","20-24",14825,15425,30250
"Calabria Ulteriore I","080","25-29",13548,14336,27884
"Calabria Ulteriore I","080","30-34",13448,13667,27115
"Calabria Ulteriore I","080","35-39",10740,10620,21360
"Calabria Ulteriore I","080","40-44",11152,11436,22588
"Calabria Ulteriore I","080","45-49",8028,8271,16299
"Calabria Ulteriore I","080","50-54",9517,9560,19077
"Calabria Ulteriore I","080","55-59",5092,5351,10443
"Calabria Ulteriore I","080","60-64",5933,6720,12653
"Calabria Ulteriore I","080","65-69",3053,3227,6280
"Calabria Ulteriore I","080","70-74",2919,3143,6062
"Calabria Ulteriore I","080","75-79",1414,1360,2774
"Calabria Ulteriore I","080","80-84",1014,1040,2054
"Calabria Ulteriore I","080","85+",501,492,993
"Trapani","081","0",3183,3044,6227
"Trapani","081","1-4",11146,10450,21596
"Trapani","081","5-9",14634,13524,28158
"Trapani","081","10-14",13280,13245,26525
"Trapani","081","15-19",10768,12130,22898
"Trapani","081","20-24",10283,11064,21347
"Trapani","081","25-29",8726,8647,17373
"Trapani","081","30-34",8315,8284,16599
"Trapani","081","35-39",5795,5736,11531
"Trapani","081","40-44",7202,7391,14593
"Trapani","081","45-49",4609,5164,9773
"Trapani","081","50-54",6620,7189,13809
"Trapani","081","55-59",3092,3246,6338
"Trapani","081","60-64",4263,5095,9358
"Trapani","081","65-69",1509,1678,3187
"Trapani","081","70-74",1641,1954,3595
"Trapani","081","75-79",645,654,1299
"Trapani","081","80-84",649,991,1640
"Trapani","081","85+",219,293,512
"Palermo","082","0",8464,9046,17510
"Palermo","082","1-4",26899,27529,54428
"Palermo","082","5-9",33507,33072,66579
"Palermo","082","10-14",30336,30157,60493
"Palermo","082","15-19",27044,31469,58513
"Palermo","082","20-24",31235,28038,59273
"Palermo","082","25-29",26228,23670,49898
"Palermo","082","30-34",21685,20195,41880
"Palermo","082","35-39",17075,17619,34694
"Palermo","082","40-44",18625,19067,37692
"Palermo","082","45-49",14830,15578,30408
"Palermo","082","50-54",16285,16711,32996
"Palermo","082","55-59",9618,9082,18700
"Palermo","082","60-64",11310,12200,23510
"Palermo","082","65-69",5353,5090,10443
"Palermo","082","70-74",5045,5203,10248
"Palermo","082","75-79",2373,2189,4562
"Palermo","082","80-84",1992,2059,4051
"Palermo","082","85+",832,908,1740
"Messina","083","0",5297,5034,10385
"Messina","083","1-4",19031,18654,37685
"Messina","083","5-9",23462,23168,46630
"Messina","083","10-14",22195,22040,44235
"Messina","083","15-19",18901,18895,37789
"Messina","083","20-24",17587,18680,36267
"Messina","083","25-29",14476,15178,29654
"Messina","083","30-34",14316,15444,29760
"Messina","083","35-39",11423,11201,21989
"Messina","083","40-44",13721,13900,15414
"Messina","083","45-49",9598,9724,19313
"Messina","083","50-54",12338,12732,25130
"Messina","083","55-59",6265,6574,12839
"Messina","083","60-64",8512,8634,17146
"Messina","083","65-69",3487,3325,6812
"Messina","083","70-74",3983,4020,8003
"Messina","083","75-79",1544,1433,2977
"Messina","083","80-84",1511,1772,3283
"Messina","083","85+",626,667,1293
"Girgenti","084","0",4801,4949,9750
"Girgenti","084","1-4",13979,13182,27161
"Girgenti","084","5-9",16486,15509,31995
"Girgenti","084","10-14",15480,15185,30665
"Girgenti","084","15-19",13061,13717,26778
"Girgenti","084","20-24",12882,13753,26635
"Girgenti","084","25-29",11255,11296,22551
"Girgenti","084","30-34",10259,9690,19949
"Girgenti","084","35-39",7784,7048,14832
"Girgenti","084","40-44",8160,8938,17098
"Girgenti","084","45-49",5901,5776,11677
"Girgenti","084","50-54",7603,7492,15095
"Girgenti","084","55-59",4066,3976,8042
"Girgenti","084","60-64",5063,5752,10815
"Girgenti","084","65-69",2314,2393,4707
"Girgenti","084","70-74",1965,2718,4683
"Girgenti","084","75-79",872,1246,2118
"Girgenti","084","80-84",807,1505,2312
"Girgenti","084","85+",305,595,900
"Caltanissetta","085","0",3879,3741,7620
"Caltanissetta","085","1-4",11001,10657,21658
"Caltanissetta","085","5-9",13934,12925,26859
"Caltanissetta","085","10-14",13857,13123,26980
"Caltanissetta","085","15-19",10988,10787,21775
"Caltanissetta","085","20-24",10019,10234,20253
"Caltanissetta","085","25-29",8952,8153,17105
"Caltanissetta","085","30-34",9462,8641,18103
"Caltanissetta","085","35-39",6804,6085,12889
"Caltanissetta","085","40-44",7557,7342,14899
"Caltanissetta","085","45-49",4547,4276,8823
"Caltanissetta","085","50-54",6155,6252,12407
"Caltanissetta","085","55-59",2635,2379,5014
"Caltanissetta","085","60-64",3605,4308,7913
"Caltanissetta","085","65-69",1293,1158,2451
"Caltanissetta","085","70-74",1287,1601,2888
"Caltanissetta","085","75-79",416,422,838
"Caltanissetta","085","80-84",495,781,1276
"Caltanissetta","085","85+",173,172,345
"Catania","087","0",7278,7310,14588
"Catania","087","1-4",20770,20512,41282
"Catania","087","5-9",27446,26277,53723
"Catania","087","10-14",27274,26446,53720
"Catania","087","15-19",21844,23574,45418
"Catania","087","20-24",20343,22183,42526
"Catania","087","25-29",17490,17995,35485
"Catania","087","30-34",17958,18625,36583
"Catania","087","35-39",14653,14418,29071
"Catania","087","40-44",17603,18650,36253
"Catania","087","45-49",11825,12915,24740
"Catania","087","50-54",13893,14685,28578
"Catania","087","55-59",6660,7110,13770
"Catania","087","60-64",8255,9489,17744
"Catania","087","65-69",3269,3600,6869
"Catania","087","70-74",3459,4213,7672
"Catania","087","75-79",1341,1473,2814
"Catania","087","80-84",1403,1865,3268
"Catania","087","85+",635,726,1361
"Siracusa","089","0",4072,3821,7893
"Siracusa","089","1-4",14445,13757,28202
"Siracusa","089","5-9",18619,17293,35912
"Siracusa","089","10-14",17881,15985,33866
"Siracusa","089","15-19",14307,14690,28997
"Siracusa","089","20-24",12880,13974,26854
"Siracusa","089","25-29",10391,10531,20922
"Siracusa","089","30-34",10815,10839,21654
"Siracusa","089","35-39",7374,7275,14649
"Siracusa","089","40-44",9699,10133,19832
"Siracusa","089","45-49",5689,5932,11621
"Siracusa","089","50-54",7802,8355,16157
"Siracusa","089","55-59",3235,3084,6319
"Siracusa","089","60-64",4622,5959,10581
"Siracusa","089","65-69",1456,1626,3082
"Siracusa","089","70-74",1672,2234,3906
"Siracusa","089","75-79",536,534,1070
"Siracusa","089","80-84",672,1084,1756
"Siracusa","089","85+",254,368,622
"Sassari","090","0",3471,3216,6687
"Sassari","090","1-4",12476,11973,24449
"Sassari","090","5-9",14668,14273,28941
"Sassari","090","10-14",12662,11966,24628
"Sassari","090","15-19",10931,10604,21535
"Sassari","090","20-24",10745,10342,21087
"Sassari","090","25-29",10119,9559,19678
"Sassari","090","30-34",9835,8990,18825
"Sassari","090","35-39",8931,7640,16571
"Sassari","090","40-44",7825,7015,14840
"Sassari","090","45-49",5676,4813,10489
"Sassari","090","50-54",5846,5405,11251
"Sassari","090","55-59",3144,3193,6337
"Sassari","090","60-64",3598,3843,7441
"Sassari","090","65-69",1894,1885,3779
"Sassari","090","70-74",1756,1938,3694
"Sassari","090","75-79",750,781,1531
"Sassari","090","80-84",562,547,1109
"Sassari","090","85+",280,270,550
"Cagliari","092","0",5264,4924,10188
"Cagliari","092","1-4",17370,16700,34070
"Cagliari","092","5-9",21924,20782,42706
"Cagliari","092","10-14",20098,18921,39019
"Cagliari","092","15-19",17560,18188,35748
"Cagliari","092","20-24",18093,17130,35223
"Cagliari","092","25-29",17146,16313,33459
"Cagliari","092","30-34",15956,14803,30759
"Cagliari","092","35-39",14060,12924,26984
"Cagliari","092","40-44",13249,11898,25147
"Cagliari","092","45-49",9655,8557,18212
"Cagliari","092","50-54",9598,9393,18991
"Cagliari","092","55-59",6081,5436,11517
"Cagliari","092","60-64",6266,6701,12967
"Cagliari","092","65-69",3420,3015,6435
"Cagliari","092","70-74",3311,3167,6478
"Cagliari","092","75-79",1427,1099,2526
"Cagliari","092","80-84",929,910,1839
"Cagliari","092","85+",488,458,946
