"code","province","age_class","male","female","total"
"001","Torino","0",12734,12431,25165
"001","Torino","1-4",47152,46759,93911
"001","Torino","5-9",52837,53277,106114
"001","Torino","10-14",49452,49389,98841
"001","Torino","15-19",46043,48836,94879
"001","Torino","20-24",45644,45419,91063
"001","Torino","25-29",34784,39358,74142
"001","Torino","30-34",32245,37288,69533
"001","Torino","35-39",30886,34867,65753
"001","Torino","40-44",29860,33095,62955
"001","Torino","45-49",25885,27660,53545
"001","Torino","50-54",25965,27033,52998
"001","Torino","55-59",22219,21571,43790
"001","Torino","60-64",19883,19309,39192
"001","Torino","65-69",13642,12070,25712
"001","Torino","70-74",9701,8557,18258
"001","Torino","75-79",4789,3974,8763
"001","Torino","80-84",1842,1561,3403
"001","Torino","85+",602,570,1172
"003","Novara","0",9282,8721,18003
"003","Novara","1-4",34411,34246,68657
"003","Novara","5-9",37182,36900,74082
"003","Novara","10-14",32862,33744,66606
"003","Novara","15-19",30776,34320,65096
"003","Novara","20-24",26813,30265,57078
"003","Novara","25-29",22203,25746,47949
"003","Novara","30-34",21490,24735,46225
"003","Novara","35-39",19479,22413,41892
"003","Novara","40-44",18869,20931,39800
"003","Novara","45-49",16689,18015,34704
"003","Novara","50-54",16053,17394,33447
"003","Novara","55-59",13724,13592,27316
"003","Novara","60-64",11212,11932,23144
"003","Novara","65-69",7075,7028,14103
"003","Novara","70-74",4975,5074,10049
"003","Novara","75-79",2624,2448,5072
"003","Novara","80-84",945,1011,1956
"003","Novara","85+",308,325,633
"004","Cuneo","0",9258,8873,18131
"004","Cuneo","1-4",32073,31955,64028
"004","Cuneo","5-9",35906,35661,71567
"004","Cuneo","10-14",33098,32592,65690
"004","Cuneo","15-19",27429,29560,56989
"004","Cuneo","20-24",25752,25813,51565
"004","Cuneo","25-29",21149,22799,43948
"004","Cuneo","30-34",20174,21483,41657
"004","Cuneo","35-39",19220,19433,38653
"004","Cuneo","40-44",18574,19068,37642
"004","Cuneo","45-49",16260,15204,31464
"004","Cuneo","50-54",16286,15168,31454
"004","Cuneo","55-59",14286,12040,26326
"004","Cuneo","60-64",12602,10572,23174
"004","Cuneo","65-69",8830,6617,15447
"004","Cuneo","70-74",6035,4322,10357
"004","Cuneo","75-79",2921,1806,4727
"004","Cuneo","80-84",1174,714,1888
"004","Cuneo","85+",329,234,563
"006","Alessandria","0",11040,10841,21881
"006","Alessandria","1-4",36578,35677,72255
"006","Alessandria","5-9",40791,39527,80318
"006","Alessandria","10-14",36306,34706,71012
"006","Alessandria","15-19",34491,35028,69519
"006","Alessandria","20-24",31990,30706,62696
"006","Alessandria","25-29",27560,26954,54514
"006","Alessandria","30-34",23799,23947,47746
"006","Alessandria","35-39",22687,22586,45273
"006","Alessandria","40-44",21177,21057,42234
"006","Alessandria","45-49",18209,16728,34937
"006","Alessandria","50-54",18482,17133,35615
"006","Alessandria","55-59",15856,13129,28985
"006","Alessandria","60-64",14130,12328,26458
"006","Alessandria","65-69",9750,7247,16997
"006","Alessandria","70-74",6562,4833,11395
"006","Alessandria","75-79",3222,2039,5261
"006","Alessandria","80-84",1124,878,2002
"006","Alessandria","85+",303,300,603
"008","Imperia","0",1668,1596,3264
"008","Imperia","1-4",5559,5388,10947
"008","Imperia","5-9",6271,6177,12448
"008","Imperia","10-14",5734,5876,11610
"008","Imperia","15-19",5562,5987,11549
"008","Imperia","20-24",4856,5563,10419
"008","Imperia","25-29",4715,4853,9568
"008","Imperia","30-34",4784,4884,9668
"008","Imperia","35-39",4271,4414,8685
"008","Imperia","40-44",3913,4266,8179
"008","Imperia","45-49",3394,3432,6826
"008","Imperia","50-54",3426,3575,7001
"008","Imperia","55-59",2941,2874,5815
"008","Imperia","60-64",3116,2945,6061
"008","Imperia","65-69",2043,1956,3999
"008","Imperia","70-74",1669,1442,3111
"008","Imperia","75-79",1056,811,1867
"008","Imperia","80-84",506,443,949
"008","Imperia","85+",146,139,285
"010","Genova","0",9831,9652,19483
"010","Genova","1-4",34919,33981,68900
"010","Genova","5-9",40264,39057,79321
"010","Genova","10-14",37819,37499,75318
"010","Genova","15-19",35422,38463,73885
"010","Genova","20-24",33194,33882,67076
"010","Genova","25-29",27453,29582,57035
"010","Genova","30-34",25094,26881,51975
"010","Genova","35-39",22522,23382,45904
"010","Genova","40-44",21059,22626,43685
"010","Genova","45-49",17281,17913,35194
"010","Genova","50-54",18085,19559,37644
"010","Genova","55-59",14953,14470,29423
"010","Genova","60-64",14276,14534,28810
"010","Genova","65-69",9367,8489,17856
"010","Genova","70-74",7511,7296,14807
"010","Genova","75-79",4353,3601,7954
"010","Genova","80-84",2043,1933,3976
"010","Genova","85+",890,865,1755
"013","Como","0",7768,7529,15297
"013","Como","1-4",27477,26442,53919
"013","Como","5-9",28835,28736,57571
"013","Como","10-14",24821,24961,49812
"013","Como","15-19",23327,23988,47315
"013","Como","20-24",20157,21823,41980
"013","Como","25-29",18828,20447,39275
"013","Como","30-34",16699,18707,35406
"013","Como","35-39",15623,17268,32891
"013","Como","40-44",15013,15449,30462
"013","Como","45-49",12673,12739,25412
"013","Como","50-54",12262,11489,23751
"013","Como","55-59",9965,9524,19489
"013","Como","60-64",8840,8033,16873
"013","Como","65-69",6322,5278,11600
"013","Como","70-74",4554,3733,8287
"013","Como","75-79",2293,1681,3974
"013","Como","80-84",747,582,1329
"013","Como","85+",240,163,403
"014","Sondrio","0",16925,16698,33623
"014","Sondrio","1-4",57410,56306,113716
"014","Sondrio","5-9",58091,57290,115381
"014","Sondrio","10-14",51328,49779,101107
"014","Sondrio","15-19",51476,50084,101560
"014","Sondrio","20-24",50026,47926,97952
"014","Sondrio","25-29",44911,44871,89782
"014","Sondrio","30-34",40703,41994,82697
"014","Sondrio","35-39",39436,38413,77849
"014","Sondrio","40-44",35524,33611,69135
"014","Sondrio","45-49",30759,28329,59088
"014","Sondrio","50-54",26783,24673,51456
"014","Sondrio","55-59",21240,19036,40276
"014","Sondrio","60-64",17905,16768,34673
"014","Sondrio","65-69",11640,10426,22066
"014","Sondrio","70-74",7976,6889,14865
"014","Sondrio","75-79",3791,3194,6985
"014","Sondrio","80-84",1104,998,2102
"014","Sondrio","85+",274,270,544
"015","Milano","0",6186,5936,12122
"015","Milano","1-4",20634,19977,40611
"015","Milano","5-9",21565,21246,42811
"015","Milano","10-14",19245,18703,37948
"015","Milano","15-19",17513,17962,35475
"015","Milano","20-24",15449,16603,32052
"015","Milano","25-29",14203,15376,29579
"015","Milano","30-34",13436,13905,27341
"015","Milano","35-39",13530,13478,27008
"015","Milano","40-44",12359,11974,24333
"015","Milano","45-49",10293,9743,20036
"015","Milano","50-54",9494,8796,18290
"015","Milano","55-59",7838,7039,14877
"015","Milano","60-64",6262,5940,12202
"015","Milano","65-69",4210,3523,7733
"015","Milano","70-74",2838,2279,5137
"015","Milano","75-79",1305,1024,2329
"015","Milano","80-84",419,294,713
"015","Milano","85+",110,63,171
"016","Bergamo","0",6430,6060,12490
"016","Bergamo","1-4",20994,20592,41586
"016","Bergamo","5-9",23870,23256,47126
"016","Bergamo","10-14",22607,21634,44241
"016","Bergamo","15-19",21468,21376,42844
"016","Bergamo","20-24",20346,19408,39754
"016","Bergamo","25-29",17806,18187,35993
"016","Bergamo","30-34",16909,16809,33718
"016","Bergamo","35-39",16776,16103,32879
"016","Bergamo","40-44",16234,14973,31207
"016","Bergamo","45-49",13398,12592,25990
"016","Bergamo","50-54",12882,11704,24586
"016","Bergamo","55-59",10693,9718,20411
"016","Bergamo","60-64",8523,8021,16544
"016","Bergamo","65-69",5320,4867,10187
"016","Bergamo","70-74",3729,3306,7035
"016","Bergamo","75-79",1945,1630,3575
"016","Bergamo","80-84",584,492,1076
"016","Bergamo","85+",146,156,302
"017","Brescia","0",7064,6707,13771
"017","Brescia","1-4",23666,23402,47068
"017","Brescia","5-9",25849,25473,51322
"017","Brescia","10-14",22332,22480,44812
"017","Brescia","15-19",21551,23091,44642
"017","Brescia","20-24",19763,19504,39267
"017","Brescia","25-29",17786,18074,35860
"017","Brescia","30-34",15276,15628,30904
"017","Brescia","35-39",14897,15150,30047
"017","Brescia","40-44",14472,14299,28771
"017","Brescia","45-49",12385,11585,23970
"017","Brescia","50-54",11898,11274,23172
"017","Brescia","55-59",9746,8473,18219
"017","Brescia","60-64",8640,7940,16580
"017","Brescia","65-69",5364,4148,9512
"017","Brescia","70-74",3833,2892,6725
"017","Brescia","75-79",2007,1373,3380
"017","Brescia","80-84",782,644,1426
"017","Brescia","85+",216,167,383
"018","Pavia","0",4257,4064,8321
"018","Pavia","1-4",13195,12707,25902
"018","Pavia","5-9",15337,15111,30448
"018","Pavia","10-14",14976,14579,29555
"018","Pavia","15-19",13906,14197,28103
"018","Pavia","20-24",11555,12068,23623
"018","Pavia","25-29",10733,11469,22202
"018","Pavia","30-34",10172,10185,20357
"018","Pavia","35-39",10527,10598,21125
"018","Pavia","40-44",10458,10166,20624
"018","Pavia","45-49",9206,8678,17884
"018","Pavia","50-54",8386,7656,16042
"018","Pavia","55-59",6653,6366,13019
"018","Pavia","60-64",5425,5084,10509
"018","Pavia","65-69",3455,3016,6471
"018","Pavia","70-74",2495,2178,4673
"018","Pavia","75-79",1329,1088,2417
"018","Pavia","80-84",348,318,666
"018","Pavia","85+",84,61,145
"019","Cremona","0",4379,3956,8335
"019","Cremona","1-4",13917,13046,26963
"019","Cremona","5-9",15769,15060,30829
"019","Cremona","10-14",14540,13932,28472
"019","Cremona","15-19",14061,14088,28149
"019","Cremona","20-24",11718,11508,23226
"019","Cremona","25-29",9798,10045,19843
"019","Cremona","30-34",9946,9936,19882
"019","Cremona","35-39",10221,9561,19782
"019","Cremona","40-44",9901,9203,19104
"019","Cremona","45-49",8458,7758,16216
"019","Cremona","50-54",7810,7117,14927
"019","Cremona","55-59",6946,6269,13215
"019","Cremona","60-64",5259,4977,10236
"019","Cremona","65-69",3991,3537,7528
"019","Cremona","70-74",2521,2417,4938
"019","Cremona","75-79",1526,1435,2961
"019","Cremona","80-84",427,422,849
"019","Cremona","85+",110,102,212
"020","Mantova","0",5522,5045,10567
"020","Mantova","1-4",17883,17329,35212
"020","Mantova","5-9",20979,19974,40953
"020","Mantova","10-14",20001,18737,38738
"020","Mantova","15-19",18630,18412,37042
