Age_column,Male_column,Female_column,Total
0,10320,9849,20169
1,9712,9257,18969
2,6270,5836,12106
3,5211,5214,10425
4,5744,5774,11518
5,7186,7165,14351
6,9922,9753,19675
7,10401,10254,20655
8,10788,10771,21559
9,10980,10862,21842
10,11134,10852,21986
11,11159,11237,22396
12,11399,11165,22564
13,11887,11810,23097
14 - 15,11428,11593,23021
15 - 16,11577,11561,23141
16 -17,11150,11523,22673
17 - 18,11572,11605,23177
18 - 19,11188,11341,22529
19 - 20,12258,11668,23926
20 -21,18882,12893,31775
21 - 25,46157,47011,93168
25 - 30,50124,55006,105130
30 - 35,48176,54780,102950
35 - 40,48157,47498,80855
40 - 45,38902,41869,80771
45 - 50,34868,38584,73452
50 - 55,30864,33791,64655
55 - 60,28837,31242,60079
60 - 65,24739,27205,51944
65 - 70,18925,20929,39854
70 - 75,13333,15304,28637
75 - 80,7769,9235,17004
80 - 85,3401,4199,7600
85 - 90,894,1281,2175
90 - 95,176,264,440
95 - 100,14,32,46
oltre 100,1,3,4
