Age_column,Male_column,Female_column,Total
0,4547,4446,8993
1,4458,4570,9028
2,2964,2915,5879
3,2328,2216,4544
4,2289,2296,4535
5,3026,3022,6048
6,4022,3896,7958
7,3972,3989,7961
8,4021,3945,7966
9,4136,3966,8096
10,4170,4107,8277
11,4109,4012,8121
12,3855,3680,7585
13,3864,3685,7549
14 - 15,3569,3522,7091
15 - 16,3546,3513,7059
16 -17,3365,3399,6764
17 - 18,3103,3229,6332
18 - 19,2935,2824,6169
19 - 20,3144,3208,6352
20 -21,2819,2992,5811
21 - 25,10530,11981,22511
25 - 30,10881,13602,24483
30 - 35,10125,12248,22373
35 - 40,9498,10751,20249
40 - 45,8371,9084,17455
45 - 50,7491,8021,15512
50 - 55,7062,7509,14571
55 - 60,6645,7256,13901
60 - 65,5829,6491,12320
65 - 70,4485,4776,9261
70 - 75,3291,3587,6878
75 - 80,1915,2102,4017
80 - 85,688,837,1525
85 - 90,202,292,494
90 - 95,25,43,68
95 - 100,1,5,6
oltre 100,1,-,1
