"code","province","age_class","male","female","total"
"001","Torino","0",10320,9849,20169
"001","Torino","1-4",26937,26081,53018
"001","Torino","5-9",49277,48805,98082
"001","Torino","10-14",57007,56657,113664
"001","Torino","15-19",57745,57701,115446
"001","Torino","20-24",65039,59904,124943
"001","Torino","25-29",50124,55006,105130
"001","Torino","30-34",48176,54780,102956
"001","Torino","35-39",43157,47498,90655
"001","Torino","40-44",38902,41869,80771
"001","Torino","45-49",34868,38584,73452
"001","Torino","50-54",30864,33791,64655
"001","Torino","55-59",28837,31242,60079
"001","Torino","60-64",24739,27205,51944
"001","Torino","65-69",18925,20929,39854
"001","Torino","70-74",13333,15304,28637
"001","Torino","75-79",7769,9235,17004
"001","Torino","80-84",3401,4199,7600
"001","Torino","85+",1084,1577,2661
"003","Novara","0",6304,5954,12258
"003","Novara","1-4",15178,14389,29567
"003","Novara","5-9",31105,29692,60797
"003","Novara","10-14",35813,35838,71651
"003","Novara","15-19",34092,36497,70589
"003","Novara","20-24",30287,34506,64793
"003","Novara","25-29",25350,31307,56657
"003","Novara","30-34",24398,29499,53897
"003","Novara","35-39",21659,26660,48319
"003","Novara","40-44",21164,25332,46496
"003","Novara","45-49",20054,22918,42972
"003","Novara","50-54",17683,20300,37983
"003","Novara","55-59",16826,19575,36401
"003","Novara","60-64",14604,16721,31325
"003","Novara","65-69",11049,12832,23881
"003","Novara","70-74",8181,9900,18081
"003","Novara","75-79",4933,5807,10740
"003","Novara","80-84",2220,2790,5010
"003","Novara","85+",766,1084,1850
"004","Cuneo","0",6685,6479,13164
"004","Cuneo","1-4",19614,18921,38535
"004","Cuneo","5-9",33581,33008,66589
"004","Cuneo","10-14",35326,34419,69745
"004","Cuneo","15-19",31530,30977,62507
"004","Cuneo","20-24",27108,27020,54128
"004","Cuneo","25-29",20750,23132,43882
"004","Cuneo","30-34",19225,21258,40483
"004","Cuneo","35-39",18071,19360,37431
"004","Cuneo","40-44",17699,17704,35403
"004","Cuneo","45-49",16914,16703,33617
"004","Cuneo","50-54",15097,14700,29797
"004","Cuneo","55-59",13879,13409,27288
"004","Cuneo","60-64",12256,11691,23947
"004","Cuneo","65-69",10010,9323,19333
"004","Cuneo","70-74",7229,6588,13817
"004","Cuneo","75-79",4176,3671,7847
"004","Cuneo","80-84",1673,1539,3212
"004","Cuneo","85+",488,503,991
"006","Alessandria","1-4",19893,19295,39188
"006","Alessandria","5-9",37670,37104,74774
"006","Alessandria","10-14",42154,40871,83025
"006","Alessandria","15-19",40801,39124,79925
"006","Alessandria","20-24",34793,35682,70475
"006","Alessandria","25-29",27805,30131,57936
"006","Alessandria","30-34",25936,27932,53868
"006","Alessandria","35-39",23799,25889,49688
"006","Alessandria","40-44",22934,23162,46096
"006","Alessandria","45-49",21575,20759,42334
"006","Alessandria","50-54",19200,18707,37907
"006","Alessandria","55-59",17917,17581,35498
"006","Alessandria","60-64",16488,16216,32704
"006","Alessandria","65-69",13307,12535,25842
"006","Alessandria","70-74",8943,8796,17739
"006","Alessandria","75-79",5434,5399,10833
"006","Alessandria","80-84",2063,2401,4464
"006","Alessandria","85+",625,958,1583
"008","Imperia","0",1272,1303,2575
"008","Imperia","1-4",3425,3372,6797
"008","Imperia","5-9",6124,5991,12115
"008","Imperia","10-14",6749,6922,13671
"008","Imperia","15-19",6699,6913,13612
"008","Imperia","20-24",6789,6276,13065
"008","Imperia","25-29",5455,6059,11514
"008","Imperia","30-34",5275,5818,11093
"008","Imperia","35-39",4985,5360,10345
"008","Imperia","40-44",4992,4962,9954
"008","Imperia","45-49",4501,4518,9019
"008","Imperia","50-54",4205,4012,8217
"008","Imperia","55-59",4023,3791,7814
"008","Imperia","60-64",3332,3280,6612
"008","Imperia","65-69",2581,2559,5140
"008","Imperia","70-74",2084,2139,4223
"008","Imperia","75-79",1356,1297,2653
"008","Imperia","80-84",574,573,1147
"008","Imperia","85+",199,233,432
"010","Genova","0",11145,10858,22003
"010","Genova","1-4",31760,30892,62652
"010","Genova","5-9",52163,51008,103171
"010","Genova","10-14",56800,55432,112232
"010","Genova","15-19",56671,55804,112475
"010","Genova","20-24",58974,55127,114101
"010","Genova","25-29",49087,53503,102590
"010","Genova","30-34",46670,49118,95788
"010","Genova","35-39",41265,41970,83235
"010","Genova","40-44",37160,37612,74772
"010","Genova","45-49",33061,32445,65506
"010","Genova","50-54",28525,28360,56885
"010","Genova","55-59",25785,25202,50987
"010","Genova","60-64",20045,20937,40982
"010","Genova","65-69",15066,16127,31193
"010","Genova","70-74",10147,11489,21636
"010","Genova","75-79",6151,6957,13108
"010","Genova","80-84",2630,3302,5932
"010","Genova","85+",1041,1538,2579
"013","Como","0",6902,6505,13407
"013","Como","1-4",17226,17260,34486
"013","Como","5-9",32685,32211,64896
"013","Como","10-14",36115,36154,72269
"013","Como","15-19",31405,33230,64635
"013","Como","20-24",24668,29949,54617
"013","Como","25-29",21238,25675,46913
"013","Como","30-34",20441,24269,44710
"013","Como","35-39",19239,22317,41556
"013","Como","40-44",18586,20091,38677
"013","Como","45-49",16056,17928,33984
"013","Como","50-54",13667,14843,28510
"013","Como","55-59",12142,13449,25591
"013","Como","60-64",10491,11579,22070
"013","Como","65-69",8774,9580,18354
"013","Como","70-74",5844,6717,12561
"013","Como","75-79",3565,3824,7389
"013","Como","80-84",1483,1720,3203
"013","Como","85+",485,666,1151
"014","Sondrio","0",1698,1795,3493
"014","Sondrio","1-4",4696,4648,9344
"014","Sondrio","5-9",7527,7186,14713
"014","Sondrio","10-14",7589,7234,14823
"014","Sondrio","15-19",6494,6244,12738
"014","Sondrio","20-24",5269,5203,10472
"014","Sondrio","25-29",3873,4625,8498
"014","Sondrio","30-34",3535,4320,7855
"014","Sondrio","35-39",3625,4107,7732
"014","Sondrio","40-44",3830,4141,7971
"014","Sondrio","45-49",3450,3715,7165
"014","Sondrio","50-54",3065,3299,6364
"014","Sondrio","55-59",2686,2997,5683
"014","Sondrio","60-64",2118,2395,4513
"014","Sondrio","65-69",1864,1936,3800
"014","Sondrio","70-74",1392,1555,2947
