Age_column,Male_column,Female_column,Total
0,4433,4202,8635
1,4328,4339,8667
2,2580,2576,5156
3,2012,1923,3935
4,2418,2348,4766
5,3344,3274,6618
6,4553,4470,9023
7,4681,4629,9310
8,5184,4918,10097
9,5195,5010,10205
10,5387,5082,10469
11,5254,5093,10347
12,5512,5243,10755
13,5304,4981,10285
14 - 15,5269,5043,10312
15 - 16,5312,5030,10342
16 -17,5352,5138,10490
17 - 18,5283,5231,10464
18 - 19,4833,4936,9768
19 - 20,5021,4962,9983
20 -21,3650,4898,8548
21 - 25,1703,18723,35755
25 - 30,17827,19704,37531
30 - 35,16086,17545,33631
35 - 40,15439,16375,31814
40 - 45,15121,15557,30678
45 - 50,13947,13672,27619
50 - 55,12226,12346,24572
55 - 60,11725,11112,22837
60 - 65,9839,10058,19897
65 - 70,8254,8138,16392
70 - 75,5630,5620,11250
75 - 80,3483,3463,6946
80 - 85,1403,1528,2231
85 - 90,432,435,867
90 - 95,47,94,141
95 - 100,10,21,31
oltre 100,-,1,1
