"age_class","code","province","total","male","female"
"75-79","039","Ravenna",5389,2586,2803
"80-84","039","Ravenna",2435,1113,1322
"85+","039","Ravenna",1131,477,654
"0","040","Forli'",9574,4875,4699
"1-4","040","Forli'",35418,17962,17456
"5-9","040","Forli'",46267,23497,22770
"10-14","040","Forli'",49386,24838,24548
"15-19","040","Forli'",33899,16971,16928
"20-24","040","Forli'",43147,21691,21456
"25-29","040","Forli'",37756,19084,18672
"30-34","040","Forli'",30150,15128,15022
"35-39","040","Forli'",26467,12881,13586
"40-44","040","Forli'",24234,11395,12839
"45-49","040","Forli'",22852,10789,12063
"50-54","040","Forli'",21295,10335,10960
"55-59","040","Forli'",17418,8711,8707
"60-64","040","Forli'",14391,7222,7169
"65-69","040","Forli'",12290,6035,6255
"70-74","040","Forli'",10085,5098,4987
"75-79","040","Forli'",6220,3019,3201
"80-84","040","Forli'",2652,1288,1364
"85+","040","Forli'",1027,445,582
"0","041","Pesaro Urbino",7259,3679,3580
"1-4","041","Pesaro Urbino",26326,13498,12828
"5-9","041","Pesaro Urbino",33470,17017,16453
"10-14","041","Pesaro Urbino",35054,17803,17251
"15-19","041","Pesaro Urbino",23504,12119,11385
"20-24","041","Pesaro Urbino",30133,15580,14553
"25-29","041","Pesaro Urbino",25034,12740,12294
"30-34","041","Pesaro Urbino",20682,10231,10451
"35-39","041","Pesaro Urbino",18413,8903,9510
"40-44","041","Pesaro Urbino",16261,7434,8827
"45-49","041","Pesaro Urbino",15232,7127,8105
"50-54","041","Pesaro Urbino",14382,6822,7560
"55-59","041","Pesaro Urbino",12243,5931,6312
"60-64","041","Pesaro Urbino",10504,5194,5310
"65-69","041","Pesaro Urbino",9070,4529,4541
"70-74","041","Pesaro Urbino",7305,3612,3693
"75-79","041","Pesaro Urbino",4513,2195,2318
"80-84","041","Pesaro Urbino",1796,837,959
"85+","041","Pesaro Urbino",679,285,394
"0","042","Ancona",7805,3975,3830
"1-4","042","Ancona",28818,14655,14163
"5-9","042","Ancona",38251,19271,18980
"10-14","042","Ancona",44548,22366,22182
"15-19","042","Ancona",31912,15476,16436
"20-24","042","Ancona",35859,17685,18174
"25-29","042","Ancona",31624,15608,16016
"30-34","042","Ancona",26247,12808,13439
"35-39","042","Ancona",23714,10969,12745
"40-44","042","Ancona",17071,7726,9345
"45-49","042","Ancona",15658,7140,8518
"50-54","042","Ancona",17492,8096,9396
"55-59","042","Ancona",14313,6754,7564
"60-64","042","Ancona",11922,5603,6319
"65-69","042","Ancona",10837,5121,5716
"70-74","042","Ancona",8103,3776,4327
"75-79","042","Ancona",5184,2352,2832
"80-84","042","Ancona",2109,931,1178
"85+","042","Ancona",759,309,450
"0","043","Macerata",6368,3217,3151
"1-4","043","Macerata",26352,13077,13275
"5-9","043","Macerata",30778,15718,15060
"10-14","043","Macerata",31580,15851,15729
"15-19","043","Macerata",21658,10938,10720
"20-24","043","Macerata",27906,14178,13728
"25-29","043","Macerata",24547,12136,12411
"30-34","043","Macerata",19579,9552,10027
"35-39","043","Macerata",17092,7946,9146
"40-44","043","Macerata",15214,6557,8657
"45-49","043","Macerata",11431,4994,6437
"50-54","043","Macerata",13284,5972,7312
"55-59","043","Macerata",11157,5229,5928
"60-64","043","Macerata",9392,4425,4967
"65-69","043","Macerata",8689,4119,4570
"70-74","043","Macerata",7283,3495,3788
"75-79","043","Macerata",4831,2375,2456
"80-84","043","Macerata",2083,979,1104
"85+","043","Macerata",829,395,434
"0","044","Ascoli Piceno",7103,3631,3472
"1-4","044","Ascoli Piceno",25984,13277,12707
"5-9","044","Ascoli Piceno",33810,17212,16598
"10-14","044","Ascoli Piceno",34404,17481,16923
"15-19","044","Ascoli Piceno",22902,11563,11339
"20-24","044","Ascoli Piceno",27569,13793,13776
"25-29","044","Ascoli Piceno",24997,12195,12802
"30-34","044","Ascoli Piceno",19802,9524,10278
"35-39","044","Ascoli Piceno",17929,8059,9870
"40-44","044","Ascoli Piceno",15961,6773,9188
"45-49","044","Ascoli Piceno",14329,6044,8285
"50-54","044","Ascoli Piceno",13926,6171,7755
"55-59","044","Ascoli Piceno",11799,5532,6267
"60-64","044","Ascoli Piceno",9514,4536,4978
"65-69","044","Ascoli Piceno",8762,4221,4541
"70-74","044","Ascoli Piceno",7490,3587,3903
"75-79","044","Ascoli Piceno",4618,2272,2346
"80-84","044","Ascoli Piceno",2077,971,1106
"85+","044","Ascoli Piceno",878,400,478
"0","045","Massa e Carrara",4238,2149,2089
"1-4","045","Massa e Carrara",15082,7723,7359
"5-9","045","Massa e Carrara",21234,10683,10551
"10-14","045","Massa e Carrara",22465,11157,11308
"15-19","045","Massa e Carrara",15216,7604,7612
"20-24","045","Massa e Carrara",18907,9736,9171
"25-29","045","Massa e Carrara",16682,8356,8326
"30-34","045","Massa e Carrara",14047,6997,7050
"35-39","045","Massa e Carrara",12236,5712,6524
"40-44","045","Massa e Carrara",10946,4947,5999
"45-49","045","Massa e Carrara",9644,4477,5167
"50-54","045","Massa e Carrara",8257,3973,4284
"55-59","045","Massa e Carrara",7139,3462,3677
"60-64","045","Massa e Carrara",6396,3100,3296
"65-69","045","Massa e Carrara",5516,2690,2826
"70-74","045","Massa e Carrara",4467,2253,2214
"75-79","045","Massa e Carrara",2554,1254,1300
"80-84","045","Massa e Carrara",1154,546,608
"85+","045","Massa e Carrara",523,248,275
"0","046","Lucca",6459,3331,3128
"1-4","046","Lucca",23169,11712,11457
"5-9","046","Lucca",32303,16384,15919
"10-14","046","Lucca",35364,17900,17464
"15-19","046","Lucca",24183,12189,11994
"20-24","046","Lucca",31188,15775,15413
"25-29","046","Lucca",30651,15054,15597
"30-34","046","Lucca",26106,12424,13682
"35-39","046","Lucca",23644,10711,12933
"40-44","046","Lucca",20450,8820,11630
"45-49","046","Lucca",18599,7960,10639
"50-54","046","Lucca",17063,7553,9510
"55-59","046","Lucca",15513,7049,8464
"60-64","046","Lucca",13636,6363,7273
"65-69","046","Lucca",12140,5562,6578
"70-74","046","Lucca",10478,4763,5715
"75-79","046","Lucca",6374,2856,3518
"80-84","046","Lucca",3311,1426,1885
"85+","046","Lucca",1553,645,908
"0","047","Pistoia",3566,1836,1730
"1-4","047","Pistoia",13091,6701,6390
"5-9","047","Pistoia",17846,9154,8692
"10-14","047","Pistoia",20537,10397,10140
"15-19","047","Pistoia",15199,7561,7638
"20-24","047","Pistoia",19747,9780,9967
"25-29","047","Pistoia",18446,9069,9377
"30-34","047","Pistoia",15807,7781,8026
"35-39","047","Pistoia",14283,6802,7481
"40-44","047","Pistoia",12987,5997,6990
"45-49","047","Pistoia",12210,5712,6498
"50-54","047","Pistoia",10704,5136,5568
"55-59","047","Pistoia",9242,4519,4723
"60-64","047","Pistoia",8473,4244,4229
"65-69","047","Pistoia",6820,3365,3455
"70-74","047","Pistoia",6136,3107,3029
"75-79","047","Pistoia",3503,1726,1777
"80-84","047","Pistoia",1629,793,836
"85+","047","Pistoia",719,317,402
"0","048","Firenze",3868,1973,1895
"1-4","048","Firenze",14757,7556,7201
"5-9","048","Firenze",20345,10168,10177
"10-14","048","Firenze",23984,12235,11749
"15-19","048","Firenze",19821,9461,10360
"20-24","048","Firenze",27762,12315,15447
"25-29","048","Firenze",29573,13500,16073
"30-34","048","Firenze",26828,12392,14436
"35-39","048","Firenze",26372,11954,14418
"40-44","048","Firenze",24630,10971,13659
"45-49","048","Firenze",23223,10382,12841
"50-54","048","Firenze",20419,9284,11135
"55-59","048","Firenze",17060,7644,9416
"60-64","048","Firenze",14685,6512,8173
"65-69","048","Firenze",11465,4958,6507
"70-74","048","Firenze",8965,3902,5063
"75-79","048","Firenze",5309,2131,3178
"80-84","048","Firenze",2420,885,1535
"85+","048","Firenze",1040,320,720
"0","049","Livorno",4098,2098,2000
"1-4","049","Livorno",14877,7702,7175
"5-9","049","Livorno",20937,10675,10262
"10-14","049","Livorno",23131,11705,11426
"15-19","049","Livorno",18311,9201,9110
"20-24","049","Livorno",22358,11260,11098
"25-29","049","Livorno",22824,11475,11349
"30-34","049","Livorno",19947,10048,9899
"35-39","049","Livorno",17881,8689,9192
"40-44","049","Livorno",16312,7738,8574
"45-49","049","Livorno",14837,7223,7614
"50-54","049","Livorno",13167,6500,6667
"55-59","049","Livorno",11352,5615,5737
"60-64","049","Livorno",9237,4475,4762
"65-69","049","Livorno",7749,3692,4057
"70-74","049","Livorno",6299,2838,3461
"75-79","049","Livorno",3718,1625,2093
"80-84","049","Livorno",1666,692,974
"85+","049","Livorno",757,271,486
"0","050","Pisa",5462,2851,2611
"1-4","050","Pisa",20374,10371,10003
"5-9","050","Pisa",28616,14542,14074
"10-14","050","Pisa",32322,16360,15962
"15-19","050","Pisa",22799,11741,11058
"20-24","050","Pisa",29794,15115,14679
"25-29","050","Pisa",30482,15437,15045
"30-34","050","Pisa",26344,13312,13032
"35-39","050","Pisa",23646,11365,12281
"40-44","050","Pisa",21546,10119,11427
"45-49","050","Pisa",19665,9362,10303
"50-54","050","Pisa",18234,8695,9539
"55-59","050","Pisa",16237,8013,8224
"60-64","050","Pisa",14239,7026,7213
"65-69","050","Pisa",12066,6053,6013
"70-74","050","Pisa",9792,4978,4814
"75-79","050","Pisa",5907,2886,3021
"80-84","050","Pisa",2744,1261,1483
"85+","050","Pisa",1152,500,652
"0","051","Arezzo",6634,3425,3209
"1-4","051","Arezzo",23418,11934,11484
"5-9","051","Arezzo",32637,16604,16033
"10-14","051","Arezzo",35322,17854,17468
"15-19","051","Arezzo",23503,12062,11441
"20-24","051","Arezzo",29228,15357,13871
"25-29","051","Arezzo",25935,13549,12386
"30-34","051","Arezzo",21900,11169,10731
"35-39","051","Arezzo",19959,9754,10205
"40-44","051","Arezzo",17765,8690,9075
"45-49","051","Arezzo",17338,8490,8848
"50-54","051","Arezzo",15257,7469,7788
"55-59","051","Arezzo",12970,6550,6420
"60-64","051","Arezzo",11126,5807,5319
"65-69","051","Arezzo",9366,4950,4416
"70-74","051","Arezzo",7356,3860,3496
"75-79","051","Arezzo",4240,2219,2021
"80-84","051","Arezzo",1783,876,907
"85+","051","Arezzo",633,297,336
"0","052","Siena",4532,2247,2285
"1-4","052","Siena",16928,8658,8270
"5-9","052","Siena",23525,11919,11606
"10-14","052","Siena",27036,13688,13348
"15-19","052","Siena",18428,9336,9092
"20-24","052","Siena",24796,12489,12307
"25-29","052","Siena",23535,12070,11465
"30-34","052","Siena",19925,10104,9821
"35-39","052","Siena",17963,8908,9055
"40-44","052","Siena",16140,7668,8472
"45-49","052","Siena",16107,7907,8200
"50-54","052","Siena",15069,7405,7664
"55-59","052","Siena",12380,6381,5999
"60-64","052","Siena",10339,5444,4895
"65-69","052","Siena",8830,4648,4182
"70-74","052","Siena",6956,3561,3395
"75-79","052","Siena",3759,1942,1817
"80-84","052","Siena",1644,805,839
"85+","052","Siena",559,251,308
"0","053","Grosseto",3490,1850,1640
"1-4","053","Grosseto",12964,6637,6327
"5-9","053","Grosseto",17961,9104,8857
"10-14","053","Grosseto",19627,9970,9657
"15-19","053","Grosseto",13551,7004,6547
"20-24","053","Grosseto",17556,9239,8317
"25-29","053","Grosseto",16446,8625,7821
"30-34","053","Grosseto",13797,7297,6500
"35-39","053","Grosseto",12469,6412,6057
"40-44","053","Grosseto",11141,5506,5635
"45-49","053","Grosseto",10805,5466,5339
"50-54","053","Grosseto",9545,4994,4551
"55-59","053","Grosseto",7205,3871,3333
"60-64","053","Grosseto",6303,3409,2894
"65-69","053","Grosseto",5256,2775,2481
"70-74","053","Grosseto",3976,2114,1862
"75-79","053","Grosseto",2348,1205,1143
"80-84","053","Grosseto",1043,526,517
"85+","053","Grosseto",316,141,175
"0","054","Perugia",11700,5926,5774
"1-4","054","Perugia",42851,21828,21023
"5-9","054","Perugia",57356,29122,28234
"10-14","054","Perugia",61591,31219,30372
"15-19","054","Perugia",41574,21112,20462
"20-24","054","Perugia",49221,25286,23935
"25-29","054","Perugia",42817,21701,21116
"30-34","054","Perugia",34514,17232,17282
"35-39","054","Perugia",31501,15293,16208
"40-44","054","Perugia",28848,13501,15347
"45-49","054","Perugia",27275,13015,14260
"50-54","054","Perugia",25213,12351,12862
"55-59","054","Perugia",19858,9986,9872
"60-64","054","Perugia",18200,9354,8846
"65-69","054","Perugia",16473,8421,8052
"70-74","054","Perugia",12549,6445,6104
"75-79","054","Perugia",7855,4026,3829
"80-84","054","Perugia",3655,1908,1747
"85+","054","Perugia",1269,627,642
"0","055","Terni",3742,1927,1815
"1-4","055","Terni",14120,7268,6852
"5-9","055","Terni",19166,9639,9527
"10-14","055","Terni",20364,10247,10117
"15-19","055","Terni",14385,7411,6974
"20-24","055","Terni",17641,9154,8487
"25-29","055","Terni",15933,8340,7593
"30-34","055","Terni",13024,6708,6816
"35-39","055","Terni",12139,6001,6138
"40-44","055","Terni",11116,5341,5775
"45-49","055","Terni",10597,5172,5425
"50-54","055","Terni",9623,4766,4857
"55-59","055","Terni",7611,3851,3760
"60-64","055","Terni",6803,3515,3288
"65-69","055","Terni",5782,2983,2799
"70-74","055","Terni",4718,2419,2299
"75-79","055","Terni",2865,1524,1341
"80-84","055","Terni",1375,726,649
"85+","055","Terni",543,268,275
"0","056","Viterbo",4852,2499,2353
"1-4","056","Viterbo",17831,9155,8676
"5-9","056","Viterbo",24400,12343,12057
"10-14","056","Viterbo",26460,13345,13115
"15-19","056","Viterbo",17923,9169,8754
"20-24","056","Viterbo",21100,10962,10138
"25-29","056","Viterbo",18603,9569,9034
"30-34","056","Viterbo",15064,7676,7388
"35-39","056","Viterbo",14141,7047,7094
"40-44","056","Viterbo",13017,6057,6960
"45-49","056","Viterbo",13056,6177,6879
"50-54","056","Viterbo",12500,6135,6365
"55-59","056","Viterbo",9586,4930,4656
"60-64","056","Viterbo",8452,4455,3997
"65-69","056","Viterbo",7738,4034,3704
"70-74","056","Viterbo",5934,3107,2827
"75-79","056","Viterbo",3907,2023,1884
"80-84","056","Viterbo",1597,804,793
"85+","056","Viterbo",548,247,301
"0","057","Rieti",3871,2006,1865
"1-4","057","Rieti",14234,7287,6947
"5-9","057","Rieti",18584,9482,9102
"10-14","057","Rieti",19829,10230,9599
"15-19","057","Rieti",13326,6967,6359
"20-24","057","Rieti",15534,8352,7182
"25-29","057","Rieti",13052,6820,6232
"30-34","057","Rieti",10768,5499,5269
"35-39","057","Rieti",9869,4794,5075
"40-44","057","Rieti",9032,4131,4901
"45-49","057","Rieti",8935,4178,4757
"50-54","057","Rieti",8848,4388,4460
"55-59","057","Rieti",7260,3684,3576
"60-64","057","Rieti",6796,3571,3225
"65-69","057","Rieti",5888,3131,2757
"70-74","057","Rieti",4497,2355,2142
"75-79","057","Rieti",2827,1530,1297
"80-84","057","Rieti",1294,715,579
"85+","057","Rieti",488,259,229
"0","058","Roma",33570,17127,16443
"1-4","058","Roma",116213,58916,57297
"5-9","058","Roma",147211,74241,72970
"10-14","058","Roma",147850,74561,73289
"15-19","058","Roma",114253,55224,59029
"20-24","058","Roma",150788,71957,78831
"25-29","058","Roma",152439,76683,75756
"30-34","058","Roma",130175,66209,63966
"35-39","058","Roma",117270,57568,59702
"40-44","058","Roma",99981,47752,52229
"45-49","058","Roma",87665,41900,45765
"50-54","058","Roma",72990,35034,37956
"55-59","058","Roma",56230,27052,29178
"60-64","058","Roma",45871,21704,24167
"65-69","058","Roma",36291,16609,19682
"70-74","058","Roma",27534,12784,14750
"75-79","058","Roma",16355,7298,9057
"80-84","058","Roma",7039,3004,4035
"85+","058","Roma",2689,938,1751
"0","059","Latina",7076,3673,3403
"1-4","059","Latina",25433,12765,12668
"5-9","059","Latina",28013,14164,13849
"10-14","059","Latina",27024,13823,13201
"15-19","059","Latina",18320,9389,8931
"20-24","059","Latina",21591,11425,10166
"25-29","059","Latina",19478,10619,8859
"30-34","059","Latina",15001,7886,7115
"35-39","059","Latina",12901,6433,6468
"40-44","059","Latina",8336,3938,4398
"45-49","059","Latina",9786,4415,5371
"50-54","059","Latina",8858,4229,4629
"55-59","059","Latina",7081,3509,3572
"60-64","059","Latina",5874,2843,3022
"65-69","059","Latina",4787,2274,2513
"70-74","059","Latina",3645,1683,1962
"75-79","059","Latina",2321,1029,1292
"80-84","059","Latina",1151,512,639
"85+","059","Latina",482,193,289
"0","060","Frosinone",12096,6229,5867
"1-4","060","Frosinone",44549,22747,21802
"5-9","060","Frosinone",54943,27958,26985
"10-14","060","Frosinone",53978,27479,26499
"15-19","060","Frosinone",35022,17905,17117
"20-24","060","Frosinone",39705,20019,19686
"25-29","060","Frosinone",34547,17147,17400
"30-34","060","Frosinone",26475,12595,13880
"35-39","060","Frosinone",23728,10514,13214
"40-44","060","Frosinone",20309,8045,12264
"45-49","060","Frosinone",19446,7962,11484
"50-54","060","Frosinone",18624,8085,10539
"55-59","060","Frosinone",14452,6788,7664
"60-64","060","Frosinone",14657,7118,7539
"65-69","060","Frosinone",12550,5933,6617
"70-74","060","Frosinone",9806,4771,5035
"75-79","060","Frosinone",6198,2963,3235
"80-84","060","Frosinone",3175,1468,1707
"85+","060","Frosinone",1264,585,679
"0","062","Benevento",9949,5127,4822
"1-4","062","Benevento",34383,17494,16889
"5-9","062","Benevento",42567,21607,20960
"10-14","062","Benevento",40211,20216,19995
"15-19","062","Benevento",25586,13038,12548
"20-24","062","Benevento",31559,15989,15570
"25-29","062","Benevento",28184,13917,14267
"30-34","062","Benevento",22320,10814,11506
"35-39","062","Benevento",20031,9177,10854
"40-44","062","Benevento",15497,6356,9141
"45-49","062","Benevento",14495,6168,8327
"50-54","062","Benevento",14297,6206,8091
"55-59","062","Benevento",12141,5545,6596
"60-64","062","Benevento",11899,5593,6306
"65-69","062","Benevento",9650,4485,5165
"70-74","062","Benevento",7911,3779,4132
"75-79","062","Benevento",5288,2475,2808
"80-84","062","Benevento",2656,1284,1372
"85+","062","Benevento",1071,499,571
"0","063","Napoli",58494,29928,28566
"1-4","063","Napoli",199896,101733,98163
"5-9","063","Napoli",250026,127181,122845
"10-14","063","Napoli",239538,120654,118884
"15-19","063","Napoli",174982,87244,87738
"20-24","063","Napoli",195318,96407,98911
"25-29","063","Napoli",171185,83280,87905
"30-34","063","Napoli",147400,70828,76532
"35-39","063","Napoli",134906,62347,72559
"40-44","063","Napoli",117950,53343,64607
"45-49","063","Napoli",110495,49610,60885
"50-54","063","Napoli",93193,42057,51136
"55-59","063","Napoli",80711,37204,43507
"60-64","063","Napoli",71511,32808,38703
"65-69","063","Napoli",55973,25797,30176
"70-74","063","Napoli",44324,20561,69128
"75-79","063","Napoli",27888,12345,15493
"80-84","063","Napoli",12881,5416,7465
"85+","063","Napoli",5150,1295,3255
"0","064","Avellino",13571,6930,6641
"1-4","064","Avellino",47230,24001,23229
"5-9","064","Avellino",57619,29331,28288
"10-14","064","Avellino",53189,26966,26223
"15-19","064","Avellino",34056,17339,16717
"20-24","064","Avellino",39912,20086,19826
"25-29","064","Avellino",36100,18204,17896
"30-34","064","Avellino",27511,13451,14060
"35-39","064","Avellino",24580,11453,13127
"40-44","064","Avellino",18741,7604,11137
"45-49","064","Avellino",17414,7155,10259
"50-54","064","Avellino",16959,7419,9540
"55-59","064","Avellino",14966,7013,7953
"60-64","064","Avellino",14495,6773,7722
"65-69","064","Avellino",12009,5596,6413
"70-74","064","Avellino",10556,5071,5485
"75-79","064","Avellino",7310,3537,3773
"80-84","064","Avellino",3782,1889,1893
"85+","064","Avellino",1446,718,728
"0","065","Salerno",20321,10453,9868
"1-4","065","Salerno",71304,36416,34888
"5-9","065","Salerno",88847,45247,43600
"10-14","065","Salerno",83387,42401,40986
"15-19","065","Salerno",52574,26798,25776
"20-24","065","Salerno",62457,31326,31131
"25-29","065","Salerno",56594,27904,28690
"30-34","065","Salerno",45441,22184,23257
"35-39","065","Salerno",39424,18339,21085
"40-44","065","Salerno",33849,14842,19007
"45-49","065","Salerno",29967,13285,16682
"50-54","065","Salerno",25828,11636,14192
"55-59","065","Salerno",23548,10871,12677
"60-64","065","Salerno",21216,9980,11236
"65-69","065","Salerno",17173,7982,9191
"70-74","065","Salerno",14840,6990,7850
"75-79","065","Salerno",10379,4735,5644
"80-84","065","Salerno",5633,2591,3042
"85+","065","Salerno",2443,1136,1307
"0","066","Aquila degli Abruzzi",8481,4338,4143
"1-4","066","Aquila degli Abruzzi",31904,16287,15617
"5-9","066","Aquila degli Abruzzi",41950,21430,20520
"10-14","066","Aquila degli Abruzzi",42158,21472,20686
"15-19","066","Aquila degli Abruzzi",28675,14554,14121
"20-24","066","Aquila degli Abruzzi",31195,15799,15396
"25-29","066","Aquila degli Abruzzi",27989,13896,14093
"30-34","066","Aquila degli Abruzzi",22984,11155,11829
"35-39","066","Aquila degli Abruzzi",20264,9262,11002
"40-44","066","Aquila degli Abruzzi",17610,7500,10110
"45-49","066","Aquila degli Abruzzi",16888,7075,9813
"50-54","066","Aquila degli Abruzzi",15794,7091,8703
"55-59","066","Aquila degli Abruzzi",14553,6876,7677
"60-64","066","Aquila degli Abruzzi",13641,6585,7056
"65-69","066","Aquila degli Abruzzi",11686,5742,5944
"70-74","066","Aquila degli Abruzzi",9686,4790,4896
"75-79","066","Aquila degli Abruzzi",6220,3093,3127
"80-84","066","Aquila degli Abruzzi",3026,1492,1534
"85+","066","Aquila degli Abruzzi",1002,476,526
"0","067","Teramo",6814,3442,3372
"1-4","067","Teramo",24001,12305,11696
"5-9","067","Teramo",29109,14981,14128
"10-14","067","Teramo",27416,13805,13611
"15-19","067","Teramo",18677,9546,9131
"20-24","067","Teramo",21694,10921,10773
"25-29","067","Teramo",19666,9862,9804
"30-34","067","Teramo",16267,7874,8393
"35-39","067","Teramo",14513,6576,7937
"40-44","067","Teramo",11513,4695,6818
"45-49","067","Teramo",10942,4610,6332
"50-54","067","Teramo",10935,4896,6039
"55-59","067","Teramo",9521,4368,5153
"60-64","067","Teramo",8246,4060,4186
"65-69","067","Teramo",7195,3531,3664
"70-74","067","Teramo",5954,2916,3038
"75-79","067","Teramo",4235,2130,2105
"80-84","067","Teramo",2033,1012,1021
"85+","067","Teramo",790,361,429
"0","068","Pescara",5494,2820,2674
"1-4","068","Pescara",19576,10027,9549
"5-9","068","Pescara",24676,12572,12104
"10-14","068","Pescara",23448,12109,11339
"15-19","068","Pescara",15900,8022,7878
"20-24","068","Pescara",18742,9332,9410
"25-29","068","Pescara",17378,8570,8808
"30-34","068","Pescara",14098,6991,7107
"35-39","068","Pescara",12544,5821,6723
"40-44","068","Pescara",9783,4125,5658
"45-49","068","Pescara",9414,3964,5450
"50-54","068","Pescara",9087,4124,4963
"55-59","068","Pescara",7920,3704,4216
"60-64","068","Pescara",6814,3218,3596
"65-69","068","Pescara",5759,2828,2931
"70-74","068","Pescara",4808,2377,2431
"75-79","068","Pescara",3532,1784,1748
"80-84","068","Pescara",1875,963,912
"85+","068","Pescara",713,364,349
"0","069","Chieti",9632,4929,4703
"1-4","069","Chieti",35102,17864,17238
"5-9","069","Chieti",43456,22242,21214
"10-14","069","Chieti",41404,21112,20292
"15-19","069","Chieti",29243,14821,14422
"20-24","069","Chieti",33052,16373,16679
"25-29","069","Chieti",29302,13967,15335
"30-34","069","Chieti",22927,10602,12325
"35-39","069","Chieti",20444,8712,11732
"40-44","069","Chieti",17146,6495,10651
"45-49","069","Chieti",16665,6643,10016
"50-54","069","Chieti",16354,6860,9494
"55-59","069","Chieti",14741,6548,8193
"60-64","069","Chieti",12689,5896,6793
"65-69","069","Chieti",11647,5433,6214
"70-74","069","Chieti",9350,4392,4958
"75-79","069","Chieti",6873,3273,3600
"80-84","069","Chieti",3328,1619,1709
"85+","069","Chieti",1364,633,725
"0","070","Campobasso",20078,10180,9898
"1-4","070","Campobasso",38383,19771,18612
"5-9","070","Campobasso",36517,18501,18016
"10-14","070","Campobasso",42987,21916,21071
"15-19","070","Campobasso",28381,14431,13950
"20-24","070","Campobasso",41212,20669,20543
"25-29","070","Campobasso",26598,14101,12497
"30-34","070","Campobasso",26634,12831,13803
"35-39","070","Campobasso",22386,9806,12580
"40-44","070","Campobasso",18290,7280,11010
"45-49","070","Campobasso",16613,6648,9965
"50-54","070","Campobasso",17666,7707,9959
"55-59","070","Campobasso",15763,7142,8621
"60-64","070","Campobasso",14928,6904,8024
"65-69","070","Campobasso",12096,5660,6436
"70-74","070","Campobasso",9700,4604,5096
"75-79","070","Campobasso",6879,3167,3712
"80-84","070","Campobasso",3412,1617,1795
"85+","070","Campobasso",1061,464,597
"0","071","Foggia",16166,8274,7892
"1-4","071","Foggia",52694,26686,26008
"5-9","071","Foggia",62106,31543,30563
"10-14","071","Foggia",59166,29827,29348
"15-19","071","Foggia",39692,20084,19608
"20-24","071","Foggia",46673,23538,23135
"25-29","071","Foggia",42012,21006,21006
"30-34","071","Foggia",33977,16991,16986
"35-39","071","Foggia",30765,14894,15871
"40-44","071","Foggia",25192,11178,14014
"45-49","071","Foggia",23685,10466,13210
"50-54","071","Foggia",22183,10329,11854
"55-59","071","Foggia",19193,9155,10038
"60-64","071","Foggia",16705,7866,8839
"65-69","071","Foggia",12614,5962,6652
"70-74","071","Foggia",10170,4732,5438
"75-79","071","Foggia",6592,2966,3626
"80-84","071","Foggia",3010,1247,1763
"85+","071","Foggia",991,376,615
"0","072","Bari",28135,14182,13953
"1-4","072","Bari",97455,49619,47836
"5-9","072","Bari",115649,58360,57289
"10-14","072","Bari",108805,54705,54100
"15-19","072","Bari",79664,39804,39860
"20-24","072","Bari",91240,45839,45401
"25-29","072","Bari",79937,39564,40373
"30-34","072","Bari",62286,29522,32764
"35-39","072","Bari",57802,26400,31402
"40-44","072","Bari",49709,21628,28081
"45-49","072","Bari",47183,20950,26233
"50-54","072","Bari",44357,20415,23942
"55-59","072","Bari",37518,18274,19244
"60-64","072","Bari",33768,16674,17094
"65-69","072","Bari",28473,14296,14177
"70-74","072","Bari",22468,11209,11259
"75-79","072","Bari",16098,7863,8235
"80-84","072","Bari",7588,3599,3989
"85+","072","Bari",2758,1180,1578
"0","073","Ionio",9415,4833,4582
"1-4","073","Ionio",32475,16475,16000
"5-9","073","Ionio",38500,19317,19183
"10-14","073","Ionio",36889,18559,18330
"15-19","073","Ionio",25965,13099,12866
"20-24","073","Ionio",28485,14295,14190
"25-29","073","Ionio",25774,12961,12813
"30-34","073","Ionio",19469,9629,9840
"35-39","073","Ionio",18572,8968,9604
"40-44","073","Ionio",16510,7737,8773
"45-49","073","Ionio",15260,7013,8247
"50-54","073","Ionio",13326,6451,6875
"55-59","073","Ionio",10968,5407,5561
"60-64","073","Ionio",9835,4914,4921
"65-69","073","Ionio",7671,3832,3839
"70-74","073","Ionio",6098,3062,3036
"75-79","073","Ionio",3809,1897,1912
"80-84","073","Ionio",2017,952,1065
"85+","073","Ionio",835,334,501
"0","074","Brindisi",6454,3357,3097
"1-4","074","Brindisi",22972,11733,11239
"5-9","074","Brindisi",29305,14892,14413
"10-14","074","Brindisi",28889,14644,14245
"15-19","074","Brindisi",20563,10461,10102
"20-24","074","Brindisi",23107,11531,11576
"25-29","074","Brindisi",20543,10129,10414
"30-34","074","Brindisi",14216,6892,7324
"35-39","074","Brindisi",14331,6682,7649
"40-44","074","Brindisi",13327,6196,7131
"45-49","074","Brindisi",12473,5718,6755
"50-54","074","Brindisi",11272,5504,5768
"55-59","074","Brindisi",9837,4919,4918
"60-64","074","Brindisi",8248,4034,4214
"65-69","074","Brindisi",7012,3496,3516
"70-74","074","Brindisi",5774,2844,2930
"75-79","074","Brindisi",3280,1624,1656
"80-84","074","Brindisi",1814,797,1017
"85+","074","Brindisi",630,258,372
"0","075","Lecce",15015,7620,7395
"1-4","075","Lecce",51990,26297,25693
"5-9","075","Lecce",64481,32540,31941
"10-14","075","Lecce",58115,29508,28607
"15-19","075","Lecce",40678,20552,20126
