compartimento,year,births,deaths_u5,u5mr,source
VENETO,1900,110200,25355,230.08,Raftakis manual
ABRUZZI E MOLISE,1901,47323,13952,294.82,Raftakis manual
BASILICATA,1901,16928,5532,326.8,Raftakis manual
CALABRIE,1901,45221,13319,294.53,Raftakis manual
CAMPANIA,1901,97543,30999,317.8,Raftakis manual
EMILIA,1901,81431,20805,255.49,Raftakis manual
LAZIO,1901,33272,9020,271.1,Raftakis manual
LIGURIA,1901,29754,6608,222.09,Raftakis manual
LOMBARDIA,1901,150579,43023,285.72,Raftakis manual
MARCHE,1901,34081,8463,248.32,Raftakis manual
PIEMONTE,1901,97903,20662,211.05,Raftakis manual
PUGLIE,1901,66929,25438,380.07,Raftakis manual
SARDEGNA,1901,24588,6084,247.44,Raftakis manual
SICILIA,1901,120375,39294,326.43,Raftakis manual
TOSCANA,1901,77213,17892,231.72,Raftakis manual
UMBRIA,1901,19233,5558,288.98,Raftakis manual
VENETO,1901,115390,25357,219.75,Raftakis manual
ABRUZZI E MOLISE,1902,49220,15392,312.72,Raftakis manual
BASILICATA,1902,17039,6798,398.97,Raftakis manual
CALABRIE,1902,46105,14360,311.46,Raftakis manual
CAMPANIA,1902,103392,31589,305.53,Raftakis manual
EMILIA,1902,83960,22832,271.94,Raftakis manual
LAZIO,1902,27316,9172,335.77,Raftakis manual
LIGURIA,1902,30147,7373,244.57,Raftakis manual
LOMBARDIA,1902,150340,42523,282.85,Raftakis manual
MARCHE,1902,36163,10072,278.52,Raftakis manual
PIEMONTE,1902,95566,22555,236.01,Raftakis manual
PUGLIE,1902,72774,28878,396.82,Raftakis manual
SARDEGNA,1902,26223,6299,240.21,Raftakis manual
SICILIA,1902,122804,42804,348.56,Raftakis manual
TOSCANA,1902,79691,20657,259.21,Raftakis manual
UMBRIA,1902,21328,5204,244.0,Raftakis manual
VENETO,1902,121006,26282,217.2,Raftakis manual
ABRUZZI E MOLISE,1903,42183,14350,340.18,Raftakis manual
BASILICATA,1903,16574,5853,353.14,Raftakis manual
CALABRIE,1903,45125,13844,306.79,Raftakis manual
CAMPANIA,1903,97477,27302,280.09,Raftakis manual
EMILIA,1903,77017,21867,283.92,Raftakis manual
LAZIO,1903,34109,10418,305.43,Raftakis manual
LIGURIA,1903,29553,6135,207.59,Raftakis manual
LOMBARDIA,1903,148550,41020,276.14,Raftakis manual
MARCHE,1903,32860,9330,283.93,Raftakis manual
PIEMONTE,1903,92343,21622,234.15,Raftakis manual
PUGLIE,1903,71775,30141,419.94,Raftakis manual
SARDEGNA,1903,25769,6057,235.05,Raftakis manual
SICILIA,1903,119533,41230,344.93,Raftakis manual
TOSCANA,1903,74499,19383,260.18,Raftakis manual
UMBRIA,1903,18976,5635,296.95,Raftakis manual
VENETO,1903,115747,24518,211.82,Raftakis manual
ABRUZZI E MOLISE,1904,45537,13266,291.32,Raftakis manual
BASILICATA,1904,16523,5867,355.08,Raftakis manual
CALABRIE,1904,46918,12756,271.88,Raftakis manual
CAMPANIA,1904,103028,27304,265.02,Raftakis manual
EMILIA,1904,84301,18753,222.45,Raftakis manual
LAZIO,1904,35663,9687,271.63,Raftakis manual
LIGURIA,1904,29952,6229,207.97,Raftakis manual
LOMBARDIA,1904,154931,40068,258.62,Raftakis manual
MARCHE,1904,35172,9027,256.65,Raftakis manual
PIEMONTE,1904,94182,19424,206.24,Raftakis manual
PUGLIE,1904,71246,27893,391.5,Raftakis manual
SARDEGNA,1904,26861,7214,268.57,Raftakis manual
SICILIA,1904,120687,40418,334.9,Raftakis manual
TOSCANA,1904,78682,17213,218.77,Raftakis manual
UMBRIA,1904,20525,5346,260.46,Raftakis manual
VENETO,1904,121223,24799,204.57,Raftakis manual
ABRUZZI E MOLISE,1905,48461,13102,270.36,Raftakis manual
BASILICATA,1905,16709,5319,318.33,Raftakis manual
CALABRIE,1905,49617,12166,245.2,Raftakis manual
CAMPANIA,1905,103254,27035,261.83,Raftakis manual
EMILIA,1905,82735,21192,256.14,Raftakis manual
LAZIO,1905,36537,9417,257.74,Raftakis manual
LIGURIA,1905,29356,7153,243.66,Raftakis manual
LOMBARDIA,1905,152648,42778,280.24,Raftakis manual
MARCHE,1905,34727,9597,276.36,Raftakis manual
PIEMONTE,1905,91386,20680,226.29,Raftakis manual
PUGLIE,1905,75834,26403,348.17,Raftakis manual
SARDEGNA,1905,26212,8340,318.17,Raftakis manual
SICILIA,1905,121935,39012,319.94,Raftakis manual
TOSCANA,1905,77121,18435,239.04,Raftakis manual
UMBRIA,1905,20297,5360,264.08,Raftakis manual
VENETO,1905,117689,29039,246.74,Raftakis manual
ABRUZZI E MOLISE,1906,46815,11855,253.23,Raftakis manual
BASILICATA,1906,16623,4630,278.53,Raftakis manual
CALABRIE,1906,45431,12587,277.06,Raftakis manual
CAMPANIA,1906,102271,28081,274.57,Raftakis manual
EMILIA,1906,82636,20762,251.25,Raftakis manual
LAZIO,1906,36308,9286,255.76,Raftakis manual
LIGURIA,1906,30068,6200,206.2,Raftakis manual
LOMBARDIA,1906,152664,46412,304.01,Raftakis manual
MARCHE,1906,34224,8995,262.83,Raftakis manual
PIEMONTE,1906,88884,20676,232.62,Raftakis manual
PUGLIE,1906,74492,22264,298.88,Raftakis manual
SARDEGNA,1906,26990,6067,224.79,Raftakis manual
SICILIA,1906,114776,41018,357.37,Raftakis manual
TOSCANA,1906,77136,18258,236.7,Raftakis manual
UMBRIA,1906,20701,5180,250.23,Raftakis manual
VENETO,1906,120959,24683,204.06,Raftakis manual
ABRUZZI E MOLISE,1907,43956,10982,249.84,Raftakis manual
BASILICATA,1907,16541,5570,336.74,Raftakis manual
CALABRIE,1907,46032,12469,270.88,Raftakis manual
CAMPANIA,1907,98900,26601,268.97,Raftakis manual
EMILIA,1907,83727,19571,233.75,Raftakis manual
LAZIO,1907,36426,8474,232.64,Raftakis manual
LIGURIA,1907,29122,6474,222.31,Raftakis manual
LOMBARDIA,1907,153238,39672,258.89,Raftakis manual
MARCHE,1907,33509,7712,230.15,Raftakis manual
PIEMONTE,1907,86477,18056,208.8,Raftakis manual
PUGLIE,1907,74154,25832,348.36,Raftakis manual
SARDEGNA,1907,27435,6373,232.29,Raftakis manual
SICILIA,1907,114387,38321,335.01,Raftakis manual
TOSCANA,1907,75575,15965,211.25,Raftakis manual
UMBRIA,1907,20723,4613,222.6,Raftakis manual
VENETO,1907,122131,25597,209.59,Raftakis manual
ABRUZZI E MOLISE,1908,48885,12055,246.6,Raftakis manual
BASILICATA,1908,17640,5429,307.77,Raftakis manual
CALABRIE,1908,51317,11623,226.49,Raftakis manual
CAMPANIA,1908,110873,28878,260.46,Raftakis manual
EMILIA,1908,88291,20441,231.52,Raftakis manual
LAZIO,1908,39925,9689,242.68,Raftakis manual
LIGURIA,1908,30996,6057,195.41,Raftakis manual
LOMBARDIA,1908,159343,41028,257.48,Raftakis manual
MARCHE,1908,36758,8105,220.5,Raftakis manual
PIEMONTE,1908,89938,18115,201.42,Raftakis manual
PUGLIE,1908,81846,22275,272.16,Raftakis manual
SARDEGNA,1908,29115,6659,228.71,Raftakis manual
SICILIA,1908,120214,34513,287.1,Raftakis manual
TOSCANA,1908,82610,15869,192.1,Raftakis manual
UMBRIA,1908,21725,5034,231.71,Raftakis manual
VENETO,1908,129337,28254,218.45,Raftakis manual
