compartimento,year,births,deaths_u5,u5mr,source
LAZIO,1925,48604,8999,185.15,Raftakis manual
LIGURIA,1925,23909,2949,123.34,Raftakis manual
LOMBARDIA,1925,133562,28613,214.23,Raftakis manual
MARCHE,1925,35359,5418,153.23,Raftakis manual
PIEMONTE,1925,61858,8518,137.7,Raftakis manual
PUGLIE,1925,83987,25775,306.89,Raftakis manual
SARDEGNA,1925,27671,5688,205.56,Raftakis manual
SICILIA,1925,110851,24576,221.7,Raftakis manual
TOSCANA,1925,66461,8723,131.25,Raftakis manual
UMBRIA,1925,19363,3020,155.97,Raftakis manual
VENETO,1925,134181,21955,163.62,Raftakis manual
VENEZIA GIULIA E ZARA,1925,18375,3804,207.02,Raftakis manual
VENEZIA TRIDENTINA,1925,17168,3367,196.12,Raftakis manual
ABRUZZI E MOLISE,1926,48810,10161,208.17,Raftakis manual
BASILICATA,1926,18240,5806,318.31,Raftakis manual
CALABRIE,1926,52983,11044,208.44,Raftakis manual
CAMPANIA,1926,121051,26406,218.14,Raftakis manual
EMILIA,1926,78801,12674,160.84,Raftakis manual
LAZIO,1926,49429,9130,184.71,Raftakis manual
LIGURIA,1926,23768,3428,144.23,Raftakis manual
LOMBARDIA,1926,132720,31385,236.48,Raftakis manual
MARCHE,1926,33785,5509,163.06,Raftakis manual
PIEMONTE,1926,61263,10443,170.46,Raftakis manual
PUGLIE,1926,83828,26675,318.21,Raftakis manual
SARDEGNA,1926,29236,7079,242.13,Raftakis manual
SICILIA,1926,114862,28051,244.21,Raftakis manual
TOSCANA,1926,63470,8985,141.56,Raftakis manual
UMBRIA,1926,18896,3127,165.48,Raftakis manual
VENETO,1926,129095,23416,181.39,Raftakis manual
VENEZIA GIULIA E ZARA,1926,17603,4111,233.54,Raftakis manual
VENEZIA TRIDENTINA,1926,16737,3322,198.48,Raftakis manual
ABRUZZI E MOLISE,1927,47406,9462,199.59,Raftakis manual
BASILICATA,1927,18264,4615,252.68,Raftakis manual
CALABRIE,1927,53796,11890,221.02,Raftakis manual
CAMPANIA,1927,113652,24668,217.05,Raftakis manual
EMILIA,1927,78261,11181,142.87,Raftakis manual
LAZIO,1927,61885,10597,171.24,Raftakis manual
LIGURIA,1927,23219,3062,131.87,Raftakis manual
LOMBARDIA,1927,134469,28401,211.21,Raftakis manual
MARCHE,1927,33946,4678,137.81,Raftakis manual
PIEMONTE,1927,61317,8230,134.22,Raftakis manual
PUGLIE,1927,84838,22558,265.89,Raftakis manual
SARDEGNA,1927,27776,6677,240.39,Raftakis manual
SICILIA,1927,111467,26179,234.86,Raftakis manual
TOSCANA,1927,62044,7897,127.28,Raftakis manual
UMBRIA,1927,18818,2794,148.47,Raftakis manual
VENETO,1927,123669,18359,148.45,Raftakis manual
VENEZIA GIULIA E ZARA,1927,22362,4210,188.27,Raftakis manual
VENEZIA TRIDENTINA,1927,16583,2953,178.07,Raftakis manual
ABRUZZI E MOLISE,1928,45039,8695,193.05,Raftakis manual
BASILICATA,1928,17773,4475,251.79,Raftakis manual
CALABRIE,1928,51984,11202,215.49,Raftakis manual
CAMPANIA,1928,113148,25325,223.82,Raftakis manual
EMILIA,1928,75407,11283,149.63,Raftakis manual
LAZIO,1928,60066,9915,165.07,Raftakis manual
LIGURIA,1928,23412,2932,125.23,Raftakis manual
LOMBARDIA,1928,132472,30608,231.05,Raftakis manual
MARCHE,1928,32347,4338,134.11,Raftakis manual
PIEMONTE,1928,61094,7965,130.37,Raftakis manual
PUGLIE,1928,81905,21884,267.19,Raftakis manual
SARDEGNA,1928,29137,5015,172.12,Raftakis manual
SICILIA,1928,113808,22330,196.21,Raftakis manual
TOSCANA,1928,60970,7456,122.29,Raftakis manual
UMBRIA,1928,17971,2817,156.75,Raftakis manual
VENETO,1928,118690,18454,155.48,Raftakis manual
VENEZIA GIULIA E ZARA,1928,20924,4295,205.27,Raftakis manual
VENEZIA TRIDENTINA,1928,16169,3158,195.31,Raftakis manual
ABRUZZI E MOLISE,1929,43771,8482,193.78,Raftakis manual
BASILICATA,1929,17503,4261,243.44,Raftakis manual
CALABRIE,1929,53458,10462,195.71,Raftakis manual
CAMPANIA,1929,108189,24564,227.05,Raftakis manual
EMILIA,1929,72445,11730,161.92,Raftakis manual
LAZIO,1929,60110,10851,180.52,Raftakis manual
LIGURIA,1929,23681,2667,112.62,Raftakis manual
LOMBARDIA,1929,129163,27683,214.33,Raftakis manual
MARCHE,1929,30458,4864,159.7,Raftakis manual
PIEMONTE,1929,60285,8473,140.55,Raftakis manual
PUGLIE,1929,82473,20412,247.5,Raftakis manual
SARDEGNA,1929,28230,5108,180.94,Raftakis manual
SICILIA,1929,109063,27239,249.75,Raftakis manual
TOSCANA,1929,57453,7471,130.04,Raftakis manual
UMBRIA,1929,16885,2780,164.64,Raftakis manual
VENETO,1929,109666,19071,173.9,Raftakis manual
VENEZIA GIULIA E ZARA,1929,19835,3915,197.38,Raftakis manual
VENEZIA TRIDENTINA,1929,15032,2775,184.61,Raftakis manual
ABRUZZI E MOLISE,1930,49148,8431,171.54,Raftakis manual
BASILICATA,1930,19166,4873,254.25,Raftakis manual
CALABRIE,1930,57187,10157,177.61,Raftakis manual
CAMPANIA,1930,116829,21789,186.5,Raftakis manual
EMILIA,1930,73634,8598,116.77,Raftakis manual
LAZIO,1930,63633,8993,141.33,Raftakis manual
LIGURIA,1930,24280,2304,94.89,Raftakis manual
LOMBARDIA,1930,131424,23462,178.52,Raftakis manual
MARCHE,1930,32529,3965,121.89,Raftakis manual
PIEMONTE,1930,62608,7075,113.0,Raftakis manual
PUGLIE,1930,85696,22240,259.52,Raftakis manual
SARDEGNA,1930,30229,5152,170.43,Raftakis manual
SICILIA,1930,118629,24222,204.18,Raftakis manual
TOSCANA,1930,59293,6249,105.39,Raftakis manual
UMBRIA,1930,18245,2398,131.43,Raftakis manual
VENETO,1930,113026,14210,125.72,Raftakis manual
VENEZIA GIULIA E ZARA,1930,21476,3415,159.01,Raftakis manual
VENEZIA TRIDENTINA,1930,15646,2052,131.15,Raftakis manual
ABRUZZI E MOLISE,1931,45029,8397,186.48,Raftakis manual
BASILICATA,1931,17806,5151,289.28,Raftakis manual
CALABRIE,1931,54442,10582,194.37,Raftakis manual
CAMPANIA,1931,110005,21149,192.25,Raftakis manual
EMILIA,1931,69657,8912,127.94,Raftakis manual
LAZIO,1931,60681,8891,146.52,Raftakis manual
LIGURIA,1931,22459,2274,101.25,Raftakis manual
LOMBARDIA,1931,124572,23014,184.74,Raftakis manual
MARCHE,1931,31496,3869,122.84,Raftakis manual
PIEMONTE,1931,57377,6947,121.08,Raftakis manual
PUGLIE,1931,81788,19115,233.71,Raftakis manual
SARDEGNA,1931,23089,5780,250.34,Raftakis manual
SICILIA,1931,108747,24679,226.94,Raftakis manual
TOSCANA,1931,56448,5445,96.46,Raftakis manual
UMBRIA,1931,17255,2097,121.53,Raftakis manual
VENETO,1931,106372,13394,125.92,Raftakis manual
VENEZIA GIULIA E ZARA,1931,19482,3079,158.04,Raftakis manual
VENEZIA TRIDENTINA,1931,14522,2131,146.74,Raftakis manual
ABRUZZI E MOLISE,1932,42806,7753,181.12,Raftakis manual
BASILICATA,1932,17462,4284,245.33,Raftakis manual
CALABRIE,1932,54484,9034,165.81,Raftakis manual
CAMPANIA,1932,107932,21929,203.17,Raftakis manual
EMILIA,1932,65860,9422,143.06,Raftakis manual
LAZIO,1932,58021,8986,154.87,Raftakis manual
LIGURIA,1932,21829,2234,102.34,Raftakis manual
LOMBARDIA,1932,122195,20887,170.93,Raftakis manual
MARCHE,1932,28745,4149,144.34,Raftakis manual
PIEMONTE,1932,54704,6565,120.01,Raftakis manual
PUGLIE,1932,79573,18703,235.04,Raftakis manual
SARDEGNA,1932,28381,5066,178.5,Raftakis manual
SICILIA,1932,104661,21040,201.03,Raftakis manual
TOSCANA,1932,51619,6427,124.51,Raftakis manual
UMBRIA,1932,15549,2347,150.94,Raftakis manual
VENETO,1932,104223,13951,133.86,Raftakis manual
VENEZIA GIULIA E ZARA,1932,18678,3146,168.43,Raftakis manual
VENEZIA TRIDENTINA,1932,14273,1999,140.05,Raftakis manual
ABRUZZI E MOLISE,1933,46517,7993,171.83,Raftakis manual
BASILICATA,1933,18446,4028,218.37,Raftakis manual
CALABRIE,1933,56831,9244,162.66,Raftakis manual
CAMPANIA,1933,108946,20262,185.98,Raftakis manual
EMILIA,1933,66039,7111,107.68,Raftakis manual
LAZIO,1933,59421,7303,122.9,Raftakis manual
LIGURIA,1933,20828,1905,91.46,Raftakis manual
LOMBARDIA,1933,117174,18372,156.79,Raftakis manual
MARCHE,1933,29782,3057,102.65,Raftakis manual
PIEMONTE,1933,51168,5507,107.63,Raftakis manual
PUGLIE,1933,80175,17056,212.73,Raftakis manual
SARDEGNA,1933,29131,5277,181.15,Raftakis manual
SICILIA,1933,110383,20505,185.76,Raftakis manual
TOSCANA,1933,51024,4714,92.39,Raftakis manual
UMBRIA,1933,15997,1755,109.71,Raftakis manual
VENETO,1933,101768,11477,112.78,Raftakis manual
VENEZIA GIULIA E ZARA,1933,18451,2770,150.13,Raftakis manual
VENEZIA TRIDENTINA,1933,13898,1937,139.37,Raftakis manual
ABRUZZI E MOLISE,1934,43864,7709,175.75,Raftakis manual
BASILICATA,1934,18611,4007,215.3,Raftakis manual
CALABRIE,1934,53927,9681,179.52,Raftakis manual
CAMPANIA,1934,106250,19358,182.19,Raftakis manual
EMILIA,1934,67878,6570,96.79,Raftakis manual
LAZIO,1934,61295,7374,120.3,Raftakis manual
LIGURIA,1934,20500,1697,82.78,Raftakis manual
LOMBARDIA,1934,118203,17718,149.89,Raftakis manual
MARCHE,1934,29752,3282,110.31,Raftakis manual
PIEMONTE,1934,51311,5154,100.45,Raftakis manual
PUGLIE,1934,81215,16497,203.13,Raftakis manual
SARDEGNA,1934,28921,4477,154.8,Raftakis manual
SICILIA,1934,108442,23197,213.91,Raftakis manual
TOSCANA,1934,50712,4440,87.55,Raftakis manual
UMBRIA,1934,15858,1596,100.64,Raftakis manual
VENETO,1934,104080,11455,110.06,Raftakis manual
VENEZIA GIULIA E ZARA,1934,18453,2388,129.41,Raftakis manual
VENEZIA TRIDENTINA,1934,13694,1726,126.04,Raftakis manual
ABRUZZI E MOLISE,1935,44103,7283,165.14,Raftakis manual
BASILICATA,1935,18145,3948,217.58,Raftakis manual
CALABRIE,1935,54949,9129,166.14,Raftakis manual
CAMPANIA,1935,108379,22000,202.99,Raftakis manual
EMILIA,1935,66781,6989,104.66,Raftakis manual
LAZIO,1935,62891,8817,140.19,Raftakis manual
LIGURIA,1935,20536,1684,82.0,Raftakis manual
LOMBARDIA,1935,120301,20002,166.27,Raftakis manual
MARCHE,1935,29969,3317,110.68,Raftakis manual
PIEMONTE,1935,51605,5256,101.85,Raftakis manual
PUGLIE,1935,81475,16673,204.64,Raftakis manual
SARDEGNA,1935,27176,4601,169.3,Raftakis manual
SICILIA,1935,105664,19456,184.13,Raftakis manual
TOSCANA,1935,52229,4584,87.77,Raftakis manual
UMBRIA,1935,15899,1690,106.3,Raftakis manual
VENETO,1935,103736,11386,109.76,Raftakis manual
VENEZIA GIULIA E ZARA,1935,18984,2469,130.06,Raftakis manual
VENEZIA TRIDENTINA,1935,13886,1729,124.51,Raftakis manual
ABRUZZI E MOLISE,1936,42417,7442,175.45,Raftakis manual
BASILICATA,1936,17720,4250,239.84,Raftakis manual
CALABRIE,1936,54161,8867,163.72,Raftakis manual
CAMPANIA,1936,104525,19996,191.3,Raftakis manual
EMILIA,1936,61024,7062,115.72,Raftakis manual
LAZIO,1936,61305,7892,128.73,Raftakis manual
LIGURIA,1936,20221,1696,83.87,Raftakis manual
LOMBARDIA,1936,114548,17731,154.79,Raftakis manual
MARCHE,1936,28164,3258,115.68,Raftakis manual
PIEMONTE,1936,49749,4796,96.4,Raftakis manual
PUGLIE,1936,79183,18235,230.29,Raftakis manual
SARDEGNA,1936,29665,4233,142.69,Raftakis manual
SICILIA,1936,103531,17623,170.22,Raftakis manual
TOSCANA,1936,49895,4390,87.98,Raftakis manual
UMBRIA,1936,15131,1624,107.33,Raftakis manual
VENETO,1936,99809,10834,108.55,Raftakis manual
VENEZIA GIULIA E ZARA,1936,18152,2538,139.82,Raftakis manual
VENEZIA TRIDENTINA,1936,13486,1674,124.13,Raftakis manual
