provincia,COD_PROV,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
Arezzo,51,1881,T,85plus,85,4.2823,0.233519,1.0,3241.3,3241.3,13880.4,13880.4,4.28
Arezzo,51,1881,M,0,0,0.2992,0.228224,0.196753,100000.0,19675.3,86210.5,3452500.9,34.53
Arezzo,51,1881,M,1_4,1,1.5,0.079514,0.265316,80324.7,21311.4,268020.1,3366290.4,41.91
Arezzo,51,1881,M,5_9,5,2.5,0.013444,0.065036,59013.3,3838.0,285471.3,3098270.2,52.5
Arezzo,51,1881,M,10_14,10,2.5,0.004582,0.02265,55175.3,1249.7,272752.0,2812798.9,50.98
Arezzo,51,1881,M,15_19,15,2.5,0.005305,0.026177,53925.5,1411.6,266098.7,2540046.9,47.1
Arezzo,51,1881,M,20_24,20,2.5,0.00838,0.041041,52513.9,2155.2,257181.6,2273948.2,43.3
Arezzo,51,1881,M,25_29,25,2.5,0.007734,0.037936,50358.7,1910.4,247017.5,2016766.6,40.05
Arezzo,51,1881,M,30_34,30,2.5,0.006265,0.030841,48448.3,1494.2,238506.0,1769749.0,36.53
Arezzo,51,1881,M,35_39,35,2.5,0.008086,0.039628,46954.1,1860.7,230118.7,1531243.0,32.61
Arezzo,51,1881,M,40_44,40,2.5,0.008594,0.042068,45093.4,1897.0,220724.5,1301124.3,28.85
Arezzo,51,1881,M,45_49,45,2.5,0.012051,0.058491,43196.4,2526.6,209665.5,1080399.8,25.01
Arezzo,51,1881,M,50_54,50,2.5,0.01254,0.060796,40669.8,2472.6,197167.5,870734.3,21.41
Arezzo,51,1881,M,55_59,55,2.5,0.023193,0.109609,38197.2,4186.8,180519.2,673566.8,17.63
Arezzo,51,1881,M,60_64,60,2.5,0.024252,0.114327,34010.5,3888.3,160331.6,493047.5,14.5
Arezzo,51,1881,M,65_69,65,2.5,0.057716,0.25219,30122.2,7596.5,131619.5,332716.0,11.05
Arezzo,51,1881,M,70_74,70,2.5,0.069777,0.297065,22525.6,6691.6,95899.3,201096.5,8.93
Arezzo,51,1881,M,75_79,75,2.5,0.128003,0.484859,15834.1,7677.3,59977.1,105197.2,6.64
Arezzo,51,1881,M,80_84,80,2.5,0.158541,0.567697,8156.8,4630.6,29207.5,45220.1,5.54
Arezzo,51,1881,M,85plus,85,4.5411,0.220213,1.0,3526.2,3526.2,16012.7,16012.7,4.54
Arezzo,51,1881,F,0,0,0.3141,0.215645,0.187859,100000.0,18785.9,87114.9,3380872.4,33.81
Arezzo,51,1881,F,1_4,1,1.5,0.076385,0.256549,81214.1,20835.4,272767.9,3293757.4,40.56
Arezzo,51,1881,F,5_9,5,2.5,0.012722,0.061647,60378.7,3722.2,292588.1,3020989.5,50.03
Arezzo,51,1881,F,10_14,10,2.5,0.005977,0.029444,56656.5,1668.2,279112.2,2728401.4,48.16
Arezzo,51,1881,F,15_19,15,2.5,0.006719,0.03304,54988.3,1816.8,270399.7,2449289.2,44.54
Arezzo,51,1881,F,20_24,20,2.5,0.00828,0.040559,53171.5,2156.6,260466.2,2178889.5,40.98
Arezzo,51,1881,F,25_29,25,2.5,0.008765,0.042885,51014.9,2187.8,249605.3,1918423.4,37.61
Arezzo,51,1881,F,30_34,30,2.5,0.011839,0.057491,48827.2,2807.1,237118.1,1668818.1,34.18
Arezzo,51,1881,F,35_39,35,2.5,0.011752,0.057083,46020.0,2627.0,223532.8,1431700.0,31.11
Arezzo,51,1881,F,40_44,40,2.5,0.010188,0.049673,43393.1,2155.4,211576.8,1208167.2,27.84
Arezzo,51,1881,F,45_49,45,2.5,0.01184,0.057499,41237.6,2371.1,200260.4,996590.4,24.17
Arezzo,51,1881,F,50_54,50,2.5,0.012966,0.062794,38866.5,2440.6,188231.1,796330.0,20.49
Arezzo,51,1881,F,55_59,55,2.5,0.026354,0.123623,36425.9,4503.1,170872.0,608098.8,16.69
Arezzo,51,1881,F,60_64,60,2.5,0.026355,0.123631,31922.9,3946.7,149747.6,437226.8,13.7
Arezzo,51,1881,F,65_69,65,2.5,0.06,0.26087,27976.2,7298.1,121635.6,287479.2,10.28
Arezzo,51,1881,F,70_74,70,2.5,0.092406,0.375324,20678.1,7761.0,83987.9,165843.6,8.02
Arezzo,51,1881,F,75_79,75,2.5,0.145688,0.533962,12917.1,6897.2,47342.4,81855.7,6.34
Arezzo,51,1881,F,80_84,80,2.5,0.139334,0.51669,6019.9,3110.4,22323.3,34513.3,5.73
Arezzo,51,1881,F,85plus,85,4.1898,0.238675,1.0,2909.5,2909.5,12190.0,12190.0,4.19
Ascoli Piceno,44,1881,T,0,0,0.3061,0.221218,0.191779,100000.0,19177.9,86692.0,3812494.6,38.12
Ascoli Piceno,44,1881,T,1_4,1,1.5,0.05817,0.203137,80822.1,16418.0,282243.6,3725802.6,46.1
Ascoli Piceno,44,1881,T,5_9,5,2.5,0.009025,0.04413,64404.1,2842.2,314915.3,3443559.1,53.47
Ascoli Piceno,44,1881,T,10_14,10,2.5,0.005317,0.026236,61562.0,1615.2,303772.0,3128643.8,50.82
Ascoli Piceno,44,1881,T,15_19,15,2.5,0.006069,0.029891,59946.8,1791.9,295254.4,2824871.8,47.12
Ascoli Piceno,44,1881,T,20_24,20,2.5,0.007743,0.037979,58154.9,2208.7,285253.0,2529617.4,43.5
