COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
1,Torino,T,0,0,0.3058,0.141065,0.128483,100000.0,12848.3,91080.2,4993345.6,49.93
1,Torino,T,1_4,1,1.5,0.01995,0.07601,87151.7,6624.4,332046.0,4902265.4,56.25
1,Torino,T,5_9,5,2.5,0.004834,0.023884,80527.4,1923.3,397828.6,4570219.4,56.75
1,Torino,T,10_14,10,2.5,0.002935,0.014567,78604.1,1145.0,390157.8,4172390.7,53.08
1,Torino,T,15_19,15,2.5,0.004997,0.024676,77459.1,1911.4,382516.8,3782232.9,48.83
1,Torino,T,20_24,20,2.5,0.006053,0.029815,75547.6,2252.4,372107.2,3399716.1,45.0
1,Torino,T,25_29,25,2.5,0.006613,0.032525,73295.2,2383.9,360516.3,3027608.9,41.31
1,Torino,T,30_34,30,2.5,0.005826,0.028714,70911.3,2036.1,349466.2,2667092.6,37.61
1,Torino,T,35_39,35,2.5,0.006084,0.029962,68875.2,2063.6,339216.8,2317626.4,33.65
1,Torino,T,40_44,40,2.5,0.00811,0.039745,66811.5,2655.4,327419.1,1978409.7,29.61
1,Torino,T,45_49,45,2.5,0.010844,0.052791,64156.1,3386.9,312313.5,1650990.5,25.73
1,Torino,T,50_54,50,2.5,0.013467,0.065143,60769.3,3958.7,293949.7,1338677.1,22.03
1,Torino,T,55_59,55,2.5,0.017923,0.085773,56810.6,4872.8,271870.9,1044727.4,18.39
1,Torino,T,60_64,60,2.5,0.026749,0.125361,51937.8,6511.0,243411.4,772856.5,14.88
1,Torino,T,65_69,65,2.5,0.043056,0.194361,45426.8,8829.2,205061.0,529445.1,11.65
1,Torino,T,70_74,70,2.5,0.06985,0.29733,36597.6,10881.6,155784.1,324384.1,8.86
1,Torino,T,75_79,75,2.5,0.110968,0.434344,25716.0,11169.6,100656.2,168600.0,6.56
1,Torino,T,80_84,80,2.5,0.183538,0.629051,14546.4,9150.4,49856.0,67943.8,4.67
1,Torino,T,85plus,85,3.3521,0.298321,1.0,5396.0,5396.0,18087.8,18087.8,3.35
1,Torino,M,0,0,0.2992,0.15392,0.138933,100000.0,13893.3,90262.9,4864941.6,48.65
1,Torino,M,1_4,1,1.5,0.02071,0.078762,86106.7,6781.9,327472.2,4774678.7,55.45
1,Torino,M,5_9,5,2.5,0.004878,0.024096,79324.8,1911.4,391845.7,4447206.5,56.06
1,Torino,M,10_14,10,2.5,0.002829,0.014044,77413.4,1087.2,384349.2,4055360.8,52.39
1,Torino,M,15_19,15,2.5,0.004423,0.021872,76326.3,1669.4,377457.8,3671011.6,48.1
1,Torino,M,20_24,20,2.5,0.006314,0.031078,74656.8,2320.2,367483.8,3293553.8,44.12
1,Torino,M,25_29,25,2.5,0.007073,0.034752,72336.7,2513.9,355398.7,2926070.0,40.45
1,Torino,M,30_34,30,2.5,0.005946,0.029293,69822.8,2045.3,344000.6,2570671.3,36.82
1,Torino,M,35_39,35,2.5,0.006568,0.032308,67777.5,2189.7,333413.0,2226670.6,32.85
1,Torino,M,40_44,40,2.5,0.00829,0.040608,65587.7,2663.4,321280.1,1893257.6,28.87
1,Torino,M,45_49,45,2.5,0.012093,0.05869,62924.3,3693.0,305389.1,1571977.5,24.98
1,Torino,M,50_54,50,2.5,0.015738,0.075713,59231.3,4484.6,284945.1,1266588.4,21.38
1,Torino,M,55_59,55,2.5,0.019623,0.093528,54746.7,5120.3,260932.8,981643.3,17.93
1,Torino,M,60_64,60,2.5,0.028015,0.130908,49626.4,6496.5,231890.8,720710.4,14.52
1,Torino,M,65_69,65,2.5,0.045089,0.202608,43129.9,8738.5,193803.3,488819.7,11.33
1,Torino,M,70_74,70,2.5,0.074517,0.314075,34391.4,10801.5,144953.4,295016.3,8.58
1,Torino,M,75_79,75,2.5,0.117958,0.455473,23589.9,10744.6,91088.2,150062.9,6.36
1,Torino,M,80_84,80,2.5,0.184643,0.631643,12845.4,8113.7,43942.6,58974.7,4.59
1,Torino,M,85plus,85,3.1769,0.314772,1.0,4731.7,4731.7,15032.1,15032.1,3.18
1,Torino,F,0,0,0.3141,0.127596,0.117328,100000.0,11732.8,91952.6,5125116.3,51.25
