COD_PROV,DEN_PROV,year,deaths,cdr,imr,e0
71,Foggia,1897,8009,19.47,,
40,Forli,1897,9964,36.27,,
10,Genova,1897,26391,29.35,,
84,Girgenti,1897,9459,26.33,,
53,Grosseto,1897,234,1.69,,
75,Lecce,1897,6064,8.98,,
49,Livorno,1897,2492,20.19,,
46,Lucca,1897,2016,6.46,,
20,Mantova,1897,10088,32.7,,
83,Messina,1897,8756,16.62,,
15,Milano,1897,49517,35.99,,
36,Modena,1897,11837,38.38,,
63,Napoli,1897,22624,20.19,,
3,Novara,1897,22292,30.57,,
28,Padova,1897,17198,39.64,,
34,Parma,1897,5768,19.98,,
18,Pavia,1897,3820,7.78,,
50,Pisa,1897,1637,5.23,,
8,PortoMaurizio,1897,3735,26.56,,
76,Potenza,1897,6102,12.28,,
39,Ravenna,1897,6657,28.51,,
80,ReggioCalabria,1897,5016,12.02,,
35,ReggioEmilia,1897,10432,38.86,,
58,Roma,1897,3589,3.15,,
29,Rovigo,1897,9059,41.0,,
65,Salerno,1897,3763,6.7,,
67,Teramo,1897,4024,13.57,,
1,Torino,1897,1990,1.8,,
26,Treviso,1897,15034,37.18,,
30,Udine,1897,20098,35.01,,
27,Venezia,1897,13901,35.41,,
23,Verona,1897,13486,32.37,,
24,Vicenza,1897,16349,37.39,,
6,Alessandria,1898,16249,20.34,,
42,Ancona,1898,6607,22.27,,
51,Arezzo,1898,6494,24.36,,
44,AscoliPiceno,1898,5244,21.89,,
64,Avellino,1898,9828,24.51,,
72,Bari,1898,23187,28.86,,
25,Belluno,1898,3497,18.41,,
62,Benevento,1898,6285,24.78,,
16,Bergamo,1898,12331,27.47,,
37,Bologna,1898,12422,24.05,,
17,Brescia,1898,12798,24.24,,
92,Cagliari,1898,11422,24.12,,
85,Caltanissetta,1898,8314,26.13,,
70,Campobasso,1898,9738,26.59,,
61,Caserta,1898,18943,24.47,,
87,Catania,1898,16507,24.16,,
79,Catanzaro,1898,11462,24.4,,
69,Chieti,1898,10343,28.22,,
13,Como,1898,12838,22.52,,
78,Cosenza,1898,10182,22.01,,
19,Cremona,1898,7695,23.76,,
4,Cuneo,1898,14830,23.28,,
38,Ferrara,1898,6330,23.85,,
48,Firenze,1898,19910,21.73,,
71,Foggia,1898,11834,28.52,,
40,Forli,1898,7189,26.03,,
10,Genova,1898,17536,19.32,,
84,Girgenti,1898,9876,27.27,,
53,Grosseto,1898,3121,22.3,,
75,Lecce,1898,18407,26.95,,
49,Livorno,1898,2487,20.14,,
46,Lucca,1898,6533,20.81,,
43,Macerata,1898,5625,21.94,,
20,Mantova,1898,6078,19.65,,
45,MassaCarrara,1898,4195,21.92,,
83,Messina,1898,11997,22.6,,
15,Milano,1898,33429,24.01,,
36,Modena,1898,7551,24.34,,
63,Napoli,1898,27820,24.66,,
3,Novara,1898,14991,20.46,,
28,Padova,1898,8455,19.39,,
82,Palermo,1898,17935,23.25,,
34,Parma,1898,7162,24.7,,
18,Pavia,1898,10370,21.06,,
41,PesaroUrbino,1898,6240,25.04,,
33,Piacenza,1898,5642,23.29,,
50,Pisa,1898,6448,20.48,,
8,PortoMaurizio,1898,2988,21.17,,
39,Ravenna,1898,4742,20.27,,
80,ReggioCalabria,1898,9822,23.39,,
35,ReggioEmilia,1898,6607,24.48,,
29,Rovigo,1898,4662,21.08,,
65,Salerno,1898,13065,23.25,,
90,Sassari,1898,6881,22.88,,
52,Siena,1898,5024,21.89,,
89,Siracusa,1898,10878,26.27,,
67,Teramo,1898,3308,11.06,,
1,Torino,1898,23384,21.08,,
81,Trapani,1898,6850,19.3,,
26,Treviso,1898,6622,16.3,,
30,Udine,1898,10923,18.88,,
27,Venezia,1898,8635,21.87,,
23,Verona,1898,7377,17.65,,
24,Vicenza,1898,8204,18.65,,
