COD_PROV,year,deaths,cdr
77,1911,11585,24.66
78,1911,30264,21.77
79,1911,30264,21.77
80,1911,30264,21.77
61,1911,88438,26.85
62,1911,88438,26.85
63,1911,88438,26.85
64,1911,88438,26.85
65,1911,88438,26.85
33,1911,52575,19.62
34,1911,52575,19.62
35,1911,52575,19.62
36,1911,52575,19.62
37,1911,52575,19.62
38,1911,52575,19.62
39,1911,52575,19.62
40,1911,52575,19.62
56,1911,26059,19.9
57,1911,26059,19.9
58,1911,26059,19.9
59,1911,26059,19.9
60,1911,26059,19.9
8,1911,22508,18.84
9,1911,22508,18.84
10,1911,22508,18.84
11,1911,22508,18.84
12,1911,106612,22.28
13,1911,106612,22.28
14,1911,106612,22.28
15,1911,106612,22.28
16,1911,106612,22.28
17,1911,106612,22.28
18,1911,106612,22.28
19,1911,106612,22.28
20,1911,106612,22.28
41,1911,21660,19.83
42,1911,21660,19.83
43,1911,21660,19.83
44,1911,21660,19.83
1,1911,63308,18.56
2,1911,63308,18.56
3,1911,63308,18.56
4,1911,63308,18.56
5,1911,63308,18.56
6,1911,63308,18.56
7,1911,63308,18.56
71,1911,51250,24.09
72,1911,51250,24.09
73,1911,51250,24.09
74,1911,51250,24.09
75,1911,51250,24.09
90,1911,18207,21.41
91,1911,18207,21.41
92,1911,18207,21.41
81,1911,85143,23.42
82,1911,85143,23.42
83,1911,85143,23.42
84,1911,85143,23.42
85,1911,85143,23.42
86,1911,85143,23.42
87,1911,85143,23.42
88,1911,85143,23.42
89,1911,85143,23.42
45,1911,51254,19.03
46,1911,51254,19.03
47,1911,51254,19.03
48,1911,51254,19.03
49,1911,51254,19.03
50,1911,51254,19.03
51,1911,51254,19.03
52,1911,51254,19.03
53,1911,51254,19.03
54,1911,13258,19.39
55,1911,13258,19.39
23,1911,68931,19.55
24,1911,68931,19.55
25,1911,68931,19.55
26,1911,68931,19.55
27,1911,68931,19.55
28,1911,68931,19.55
29,1911,68931,19.55
30,1911,68931,19.55
66,1931,26112,17.3
67,1931,26112,17.3
68,1931,26112,17.3
69,1931,26112,17.3
70,1931,26112,17.3
76,1931,11614,23.02
77,1931,11614,23.02
78,1931,27770,16.66
79,1931,27770,16.66
80,1931,27770,16.66
61,1931,58995,16.94
62,1931,58995,16.94
63,1931,58995,16.94
64,1931,58995,16.94
65,1931,58995,16.94
33,1931,41943,13.0
34,1931,41943,13.0
35,1931,41943,13.0
36,1931,41943,13.0
37,1931,41943,13.0
38,1931,41943,13.0
39,1931,41943,13.0
40,1931,41943,13.0
56,1931,31421,13.18
57,1931,31421,13.18
58,1931,31421,13.18
59,1931,31421,13.18
60,1931,31421,13.18
8,1931,17701,12.32
9,1931,17701,12.32
10,1931,17701,12.32
11,1931,17701,12.32
12,1931,82201,14.73
13,1931,82201,14.73
14,1931,82201,14.73
15,1931,82201,14.73
16,1931,82201,14.73
17,1931,82201,14.73
18,1931,82201,14.73
19,1931,82201,14.73
20,1931,82201,14.73
41,1931,16338,13.42
42,1931,16338,13.42
43,1931,16338,13.42
44,1931,16338,13.42
1,1931,49302,14.09
2,1931,49302,14.09
3,1931,49302,14.09
4,1931,49302,14.09
5,1931,49302,14.09
6,1931,49302,14.09
7,1931,49302,14.09
71,1931,45381,18.25
72,1931,45381,18.25
73,1931,45381,18.25
74,1931,45381,18.25
75,1931,45381,18.25
90,1931,15510,15.94
91,1931,15510,15.94
92,1931,15510,15.94
81,1931,65385,16.79
82,1931,65385,16.79
83,1931,65385,16.79
84,1931,65385,16.79
85,1931,65385,16.79
86,1931,65385,16.79
87,1931,65385,16.79
88,1931,65385,16.79
89,1931,65385,16.79
45,1931,35845,12.4
46,1931,35845,12.4
47,1931,35845,12.4
48,1931,35845,12.4
49,1931,35845,12.4
50,1931,35845,12.4
51,1931,35845,12.4
52,1931,35845,12.4
53,1931,35845,12.4
54,1931,9030,13.02
55,1931,9030,13.02
23,1931,51559,12.51
24,1931,51559,12.51
25,1931,51559,12.51
26,1931,51559,12.51
27,1931,51559,12.51
28,1931,51559,12.51
29,1931,51559,12.51
30,1931,51559,12.51
21,1931,9867,14.95
22,1931,9867,14.95
66,1882,37352,28.23
67,1882,37352,28.23
68,1882,37352,28.23
69,1882,37352,28.23
70,1882,37352,28.23
76,1882,18904,36.16
77,1882,18904,36.16
78,1882,38617,30.57
79,1882,38617,30.57
80,1882,38617,30.57
61,1882,82278,28.28
62,1882,82278,28.28
63,1882,82278,28.28
64,1882,82278,28.28
65,1882,82278,28.28
33,1882,62500,28.46
34,1882,62500,28.46
35,1882,62500,28.46
36,1882,62500,28.46
37,1882,62500,28.46
38,1882,62500,28.46
39,1882,62500,28.46
40,1882,62500,28.46
56,1882,25579,27.89
57,1882,25579,27.89
58,1882,25579,27.89
59,1882,25579,27.89
60,1882,25579,27.89
8,1882,22015,24.42
9,1882,22015,24.42
10,1882,22015,24.42
11,1882,22015,24.42
12,1882,100932,28.07
13,1882,100932,28.07
14,1882,100932,28.07
15,1882,100932,28.07
16,1882,100932,28.07
17,1882,100932,28.07
18,1882,100932,28.07
19,1882,100932,28.07
20,1882,100932,28.07
41,1882,26337,27.86
42,1882,26337,27.86
43,1882,26337,27.86
44,1882,26337,27.86
1,1882,81738,26.52
2,1882,81738,26.52
3,1882,81738,26.52
4,1882,81738,26.52
5,1882,81738,26.52
6,1882,81738,26.52
7,1882,81738,26.52
71,1882,49965,31.09
72,1882,49965,31.09
73,1882,49965,31.09
74,1882,49965,31.09
75,1882,49965,31.09
90,1882,15920,23.17
91,1882,15920,23.17
92,1882,15920,23.17
81,1882,81310,27.5
82,1882,81310,27.5
83,1882,81310,27.5
84,1882,81310,27.5
85,1882,81310,27.5
86,1882,81310,27.5
87,1882,81310,27.5
88,1882,81310,27.5
89,1882,81310,27.5
45,1882,59436,26.71
46,1882,59436,26.71
47,1882,59436,26.71
48,1882,59436,26.71
49,1882,59436,26.71
50,1882,59436,26.71
51,1882,59436,26.71
52,1882,59436,26.71
53,1882,59436,26.71
54,1882,13965,24.21
55,1882,13965,24.21
23,1882,70478,24.9
24,1882,70478,24.9
25,1882,70478,24.9
26,1882,70478,24.9
27,1882,70478,24.9
28,1882,70478,24.9
29,1882,70478,24.9
30,1882,70478,24.9
66,1883,37437,28.16
67,1883,37437,28.16
68,1883,37437,28.16
69,1883,37437,28.16
70,1883,37437,28.16
76,1883,15985,30.68
77,1883,15985,30.68
78,1883,38235,30.13
79,1883,38235,30.13
80,1883,38235,30.13
61,1883,83565,28.59
62,1883,83565,28.59
63,1883,83565,28.59
64,1883,83565,28.59
65,1883,83565,28.59
33,1883,62930,28.48
34,1883,62930,28.48
35,1883,62930,28.48
36,1883,62930,28.48
37,1883,62930,28.48
38,1883,62930,28.48
39,1883,62930,28.48
40,1883,62930,28.48
56,1883,25172,27.01
57,1883,25172,27.01
58,1883,25172,27.01
59,1883,25172,27.01
60,1883,25172,27.01
8,1883,22956,25.21
9,1883,22956,25.21
10,1883,22956,25.21
11,1883,22956,25.21
12,1883,102624,28.26
13,1883,102624,28.26
14,1883,102624,28.26
15,1883,102624,28.26
16,1883,102624,28.26
17,1883,102624,28.26
18,1883,102624,28.26
19,1883,102624,28.26
20,1883,102624,28.26
41,1883,26417,27.77
42,1883,26417,27.77
43,1883,26417,27.77
44,1883,26417,27.77
1,1883,85406,27.6
2,1883,85406,27.6
3,1883,85406,27.6
4,1883,85406,27.6
5,1883,85406,27.6
6,1883,85406,27.6
7,1883,85406,27.6
71,1883,48076,29.57
72,1883,48076,29.57
73,1883,48076,29.57
74,1883,48076,29.57
75,1883,48076,29.57
90,1883,17047,24.61
91,1883,17047,24.61
92,1883,17047,24.61
81,1883,84676,28.35
82,1883,84676,28.35
83,1883,84676,28.35
84,1883,84676,28.35
85,1883,84676,28.35
86,1883,84676,28.35
87,1883,84676,28.35
88,1883,84676,28.35
89,1883,84676,28.35
45,1883,59492,26.53
46,1883,59492,26.53
47,1883,59492,26.53
48,1883,59492,26.53
49,1883,59492,26.53
50,1883,59492,26.53
51,1883,59492,26.53
52,1883,59492,26.53
53,1883,59492,26.53
54,1883,14098,24.24
55,1883,14098,24.24
23,1883,70080,24.63
24,1883,70080,24.63
25,1883,70080,24.63
26,1883,70080,24.63
27,1883,70080,24.63
28,1883,70080,24.63
29,1883,70080,24.63
30,1883,70080,24.63
66,1884,37569,28.13
67,1884,37569,28.13
68,1884,37569,28.13
69,1884,37569,28.13
70,1884,37569,28.13
76,1884,13882,26.73
77,1884,13882,26.73
78,1884,35739,28.04
79,1884,35739,28.04
80,1884,35739,28.04
61,1884,88109,30.01
62,1884,88109,30.01
63,1884,88109,30.01
64,1884,88109,30.01
65,1884,88109,30.01
33,1884,62077,27.93
34,1884,62077,27.93
35,1884,62077,27.93
36,1884,62077,27.93
37,1884,62077,27.93
38,1884,62077,27.93
39,1884,62077,27.93
40,1884,62077,27.93
56,1884,24565,25.95
57,1884,24565,25.95
58,1884,24565,25.95
59,1884,24565,25.95
60,1884,24565,25.95
8,1884,23802,25.87
9,1884,23802,25.87
10,1884,23802,25.87
11,1884,23802,25.87
12,1884,98813,26.94
13,1884,98813,26.94
14,1884,98813,26.94
15,1884,98813,26.94
16,1884,98813,26.94
17,1884,98813,26.94
18,1884,98813,26.94
19,1884,98813,26.94
20,1884,98813,26.94
41,1884,25802,26.95
42,1884,25802,26.95
43,1884,25802,26.95
44,1884,25802,26.95
1,1884,86553,27.86
2,1884,86553,27.86
3,1884,86553,27.86
4,1884,86553,27.86
5,1884,86553,27.86
6,1884,86553,27.86
7,1884,86553,27.86
71,1884,47108,28.65
72,1884,47108,28.65
73,1884,47108,28.65
74,1884,47108,28.65
75,1884,47108,28.65
90,1884,19072,27.32
91,1884,19072,27.32
92,1884,19072,27.32
81,1884,79343,26.3
82,1884,79343,26.3
83,1884,79343,26.3
84,1884,79343,26.3
85,1884,79343,26.3
86,1884,79343,26.3
87,1884,79343,26.3
88,1884,79343,26.3
89,1884,79343,26.3
45,1884,56632,25.06
46,1884,56632,25.06
47,1884,56632,25.06
48,1884,56632,25.06
49,1884,56632,25.06
50,1884,56632,25.06
51,1884,56632,25.06
52,1884,56632,25.06
53,1884,56632,25.06
54,1884,15066,25.7
55,1884,15066,25.7
23,1884,66229,23.14
24,1884,66229,23.14
25,1884,66229,23.14
26,1884,66229,23.14
27,1884,66229,23.14
28,1884,66229,23.14
29,1884,66229,23.14
30,1884,66229,23.14
66,1885,39415,29.38
67,1885,39415,29.38
68,1885,39415,29.38
69,1885,39415,29.38
70,1885,39415,29.38
76,1885,17547,33.9
77,1885,17547,33.9
78,1885,38386,29.99
79,1885,38386,29.99
80,1885,38386,29.99
61,1885,81328,27.58
62,1885,81328,27.58
63,1885,81328,27.58
64,1885,81328,27.58
65,1885,81328,27.58
33,1885,60450,27.04
34,1885,60450,27.04
35,1885,60450,27.04
36,1885,60450,27.04
37,1885,60450,27.04
38,1885,60450,27.04
39,1885,60450,27.04
40,1885,60450,27.04
56,1885,23872,24.83
57,1885,23872,24.83
58,1885,23872,24.83
59,1885,23872,24.83
60,1885,23872,24.83
8,1885,22007,23.69
9,1885,22007,23.69
10,1885,22007,23.69
11,1885,22007,23.69
12,1885,97496,26.32
13,1885,97496,26.32
14,1885,97496,26.32
15,1885,97496,26.32
16,1885,97496,26.32
17,1885,97496,26.32
18,1885,97496,26.32
19,1885,97496,26.32
20,1885,97496,26.32
41,1885,24544,25.48
42,1885,24544,25.48
43,1885,24544,25.48
44,1885,24544,25.48
1,1885,76321,24.47
2,1885,76321,24.47
3,1885,76321,24.47
4,1885,76321,24.47
5,1885,76321,24.47
6,1885,76321,24.47
7,1885,76321,24.47
71,1885,55258,33.24
72,1885,55258,33.24
73,1885,55258,33.24
74,1885,55258,33.24
75,1885,55258,33.24
90,1885,20718,29.45
91,1885,20718,29.45
92,1885,20718,29.45
81,1885,88872,29.17
82,1885,88872,29.17
83,1885,88872,29.17
84,1885,88872,29.17
85,1885,88872,29.17
86,1885,88872,29.17
87,1885,88872,29.17
88,1885,88872,29.17
89,1885,88872,29.17
45,1885,56818,24.96
46,1885,56818,24.96
47,1885,56818,24.96
48,1885,56818,24.96
49,1885,56818,24.96
50,1885,56818,24.96
51,1885,56818,24.96
52,1885,56818,24.96
53,1885,56818,24.96
54,1885,13686,23.16
55,1885,13686,23.16
23,1885,70499,24.5
24,1885,70499,24.5
25,1885,70499,24.5
26,1885,70499,24.5
27,1885,70499,24.5
28,1885,70499,24.5
29,1885,70499,24.5
30,1885,70499,24.5
66,1886,41589,30.86
67,1886,41589,30.86
68,1886,41589,30.86
69,1886,41589,30.86
70,1886,41589,30.86
76,1886,22242,43.11
77,1886,22242,43.11
78,1886,36509,28.4
79,1886,36509,28.4
80,1886,36509,28.4
61,1886,89569,30.24
62,1886,89569,30.24
63,1886,89569,30.24
64,1886,89569,30.24
65,1886,89569,30.24
33,1886,63402,28.2
34,1886,63402,28.2
35,1886,63402,28.2
36,1886,63402,28.2
37,1886,63402,28.2
38,1886,63402,28.2
39,1886,63402,28.2
40,1886,63402,28.2
56,1886,24629,25.23
57,1886,24629,25.23
58,1886,24629,25.23
59,1886,24629,25.23
60,1886,24629,25.23
8,1886,24102,25.69
9,1886,24102,25.69
10,1886,24102,25.69
11,1886,24102,25.69
12,1886,106761,28.55
13,1886,106761,28.55
14,1886,106761,28.55
15,1886,106761,28.55
16,1886,106761,28.55
17,1886,106761,28.55
18,1886,106761,28.55
19,1886,106761,28.55
20,1886,106761,28.55
41,1886,25503,26.31
42,1886,25503,26.31
43,1886,25503,26.31
44,1886,25503,26.31
1,1886,79760,25.47
2,1886,79760,25.47
3,1886,79760,25.47
4,1886,79760,25.47
5,1886,79760,25.47
6,1886,79760,25.47
7,1886,79760,25.47
71,1886,72374,43.06
72,1886,72374,43.06
73,1886,72374,43.06
74,1886,72374,43.06
75,1886,72374,43.06
90,1886,19541,27.56
91,1886,19541,27.56
92,1886,19541,27.56
81,1886,82534,26.83
82,1886,82534,26.83
83,1886,82534,26.83
84,1886,82534,26.83
85,1886,82534,26.83
86,1886,82534,26.83
87,1886,82534,26.83
88,1886,82534,26.83
89,1886,82534,26.83
45,1886,57545,25.09
46,1886,57545,25.09
47,1886,57545,25.09
48,1886,57545,25.09
49,1886,57545,25.09
50,1886,57545,25.09
51,1886,57545,25.09
52,1886,57545,25.09
53,1886,57545,25.09
54,1886,15307,25.69
55,1886,15307,25.69
23,1886,83236,28.77
24,1886,83236,28.77
25,1886,83236,28.77
26,1886,83236,28.77
27,1886,83236,28.77
28,1886,83236,28.77
29,1886,83236,28.77
30,1886,83236,28.77
66,1887,43042,31.79
67,1887,43042,31.79
68,1887,43042,31.79
69,1887,43042,31.79
70,1887,43042,31.79
76,1887,20308,39.49
77,1887,20308,39.49
78,1887,35371,27.39
79,1887,35371,27.39
80,1887,35371,27.39
61,1887,92421,31.07
62,1887,92421,31.07
63,1887,92421,31.07
64,1887,92421,31.07
65,1887,92421,31.07
33,1887,63014,27.87
34,1887,63014,27.87
35,1887,63014,27.87
36,1887,63014,27.87
37,1887,63014,27.87
38,1887,63014,27.87
39,1887,63014,27.87
40,1887,63014,27.87
56,1887,25704,25.95
57,1887,25704,25.95
58,1887,25704,25.95
59,1887,25704,25.95
60,1887,25704,25.95
8,1887,25106,26.5
9,1887,25106,26.5
10,1887,25106,26.5
11,1887,25106,26.5
12,1887,102466,27.14
13,1887,102466,27.14
14,1887,102466,27.14
15,1887,102466,27.14
16,1887,102466,27.14
17,1887,102466,27.14
18,1887,102466,27.14
19,1887,102466,27.14
20,1887,102466,27.14
41,1887,25703,26.35
42,1887,25703,26.35
43,1887,25703,26.35
44,1887,25703,26.35
1,1887,82590,26.27
2,1887,82590,26.27
3,1887,82590,26.27
4,1887,82590,26.27
5,1887,82590,26.27
6,1887,82590,26.27
7,1887,82590,26.27
71,1887,58489,34.42
72,1887,58489,34.42
73,1887,58489,34.42
74,1887,58489,34.42
75,1887,58489,34.42
90,1887,18790,26.3
91,1887,18790,26.3
92,1887,18790,26.3
81,1887,91500,29.46
82,1887,91500,29.46
83,1887,91500,29.46
84,1887,91500,29.46
85,1887,91500,29.46
86,1887,91500,29.46
87,1887,91500,29.46
88,1887,91500,29.46
89,1887,91500,29.46
45,1887,60751,26.3
46,1887,60751,26.3
47,1887,60751,26.3
48,1887,60751,26.3
49,1887,60751,26.3
50,1887,60751,26.3
51,1887,60751,26.3
52,1887,60751,26.3
53,1887,60751,26.3
54,1887,13810,23.0
55,1887,13810,23.0
23,1887,69927,24.03
24,1887,69927,24.03
25,1887,69927,24.03
26,1887,69927,24.03
27,1887,69927,24.03
28,1887,69927,24.03
29,1887,69927,24.03
30,1887,69927,24.03
66,1888,44599,32.79
67,1888,44599,32.79
68,1888,44599,32.79
69,1888,44599,32.79
70,1888,44599,32.79
76,1888,16979,33.13
77,1888,16979,33.13
78,1888,42357,32.66
79,1888,42357,32.66
80,1888,42357,32.66
61,1888,88600,29.65
62,1888,88600,29.65
63,1888,88600,29.65
64,1888,88600,29.65
65,1888,88600,29.65
33,1888,61093,26.86
34,1888,61093,26.86
35,1888,61093,26.86
36,1888,61093,26.86
37,1888,61093,26.86
38,1888,61093,26.86
39,1888,61093,26.86
40,1888,61093,26.86
56,1888,27265,27.12
57,1888,27265,27.12
58,1888,27265,27.12
59,1888,27265,27.12
60,1888,27265,27.12
8,1888,23234,24.28
9,1888,23234,24.28
10,1888,23234,24.28
11,1888,23234,24.28
12,1888,99043,25.98
13,1888,99043,25.98
14,1888,99043,25.98
15,1888,99043,25.98
16,1888,99043,25.98
17,1888,99043,25.98
18,1888,99043,25.98
19,1888,99043,25.98
20,1888,99043,25.98
41,1888,26360,26.86
42,1888,26360,26.86
43,1888,26360,26.86
44,1888,26360,26.86
1,1888,78179,24.77
2,1888,78179,24.77
3,1888,78179,24.77
4,1888,78179,24.77
5,1888,78179,24.77
6,1888,78179,24.77
7,1888,78179,24.77
71,1888,52930,30.82
72,1888,52930,30.82
73,1888,52930,30.82
74,1888,52930,30.82
75,1888,52930,30.82
90,1888,19263,26.76
91,1888,19263,26.76
92,1888,19263,26.76
81,1888,96903,30.9
82,1888,96903,30.9
83,1888,96903,30.9
84,1888,96903,30.9
85,1888,96903,30.9
86,1888,96903,30.9
87,1888,96903,30.9
88,1888,96903,30.9
89,1888,96903,30.9
45,1888,59334,25.5
46,1888,59334,25.5
47,1888,59334,25.5
48,1888,59334,25.5
49,1888,59334,25.5
50,1888,59334,25.5
51,1888,59334,25.5
52,1888,59334,25.5
53,1888,59334,25.5
54,1888,16344,27.0
55,1888,16344,27.0
23,1888,67948,23.23
24,1888,67948,23.23
25,1888,67948,23.23
26,1888,67948,23.23
27,1888,67948,23.23
28,1888,67948,23.23
29,1888,67948,23.23
30,1888,67948,23.23
66,1890,36310,26.46
67,1890,36310,26.46
68,1890,36310,26.46
69,1890,36310,26.46
70,1890,36310,26.46
76,1890,16641,32.69
77,1890,16641,32.69
78,1890,35565,27.19
79,1890,35565,27.19
80,1890,35565,27.19
61,1890,84811,28.14
62,1890,84811,28.14
63,1890,84811,28.14
64,1890,84811,28.14
65,1890,84811,28.14
33,1890,61790,26.86
34,1890,61790,26.86
35,1890,61790,26.86
36,1890,61790,26.86
37,1890,61790,26.86
38,1890,61790,26.86
39,1890,61790,26.86
40,1890,61790,26.86
56,1890,26769,25.87
57,1890,26769,25.87
58,1890,26769,25.87
59,1890,26769,25.87
60,1890,26769,25.87
8,1890,22709,23.29
9,1890,22709,23.29
10,1890,22709,23.29
11,1890,22709,23.29
12,1890,104646,26.95
13,1890,104646,26.95
14,1890,104646,26.95
15,1890,104646,26.95
16,1890,104646,26.95
17,1890,104646,26.95
18,1890,104646,26.95
19,1890,104646,26.95
20,1890,104646,26.95
41,1890,25564,25.73
42,1890,25564,25.73
43,1890,25564,25.73
44,1890,25564,25.73
1,1890,78652,24.73
2,1890,78652,24.73
3,1890,78652,24.73
4,1890,78652,24.73
5,1890,78652,24.73
6,1890,78652,24.73
7,1890,78652,24.73
71,1890,50506,28.79
72,1890,50506,28.79
73,1890,50506,28.79
74,1890,50506,28.79
75,1890,50506,28.79
90,1890,20777,28.43
91,1890,20777,28.43
92,1890,20777,28.43
81,1890,90942,28.46
82,1890,90942,28.46
83,1890,90942,28.46
84,1890,90942,28.46
85,1890,90942,28.46
86,1890,90942,28.46
87,1890,90942,28.46
88,1890,90942,28.46
89,1890,90942,28.46
45,1890,59038,25.01
46,1890,59038,25.01
47,1890,59038,25.01
48,1890,59038,25.01
49,1890,59038,25.01
50,1890,59038,25.01
51,1890,59038,25.01
52,1890,59038,25.01
53,1890,59038,25.01
54,1890,15193,24.71
55,1890,15193,24.71
23,1890,65998,22.32
24,1890,65998,22.32
25,1890,65998,22.32
26,1890,65998,22.32
27,1890,65998,22.32
28,1890,65998,22.32
29,1890,65998,22.32
30,1890,65998,22.32
66,1891,38383,27.84
67,1891,38383,27.84
68,1891,38383,27.84
69,1891,38383,27.84
70,1891,38383,27.84
76,1891,17422,34.34
77,1891,17422,34.34
78,1891,35809,27.26
79,1891,35809,27.26
80,1891,35809,27.26
61,1891,89747,29.65
62,1891,89747,29.65
63,1891,89747,29.65
64,1891,89747,29.65
65,1891,89747,29.65
33,1891,62046,26.82
34,1891,62046,26.82
35,1891,62046,26.82
36,1891,62046,26.82
37,1891,62046,26.82
38,1891,62046,26.82
39,1891,62046,26.82
