compartimento,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
LAZIO,1901,F,55_59,55,2.5,0.021073,0.100093,49537.1,4958.3,235289.6,803530.5,16.22
LAZIO,1901,F,60_64,60,2.5,0.03702,0.169419,44578.8,7552.5,204012.6,568240.9,12.75
LAZIO,1901,F,65_69,65,2.5,0.057664,0.251993,37026.3,9330.4,161805.5,364228.3,9.84
LAZIO,1901,F,70_74,70,2.5,0.098656,0.395688,27695.9,10959.0,111082.2,202422.8,7.31
LAZIO,1901,F,75_79,75,2.5,0.153208,0.55389,16737.0,9270.4,60508.8,91340.5,5.46
LAZIO,1901,F,80_84,80,2.5,0.222741,0.715356,7466.5,5341.2,23979.6,30831.8,4.13
LAZIO,1901,F,85plus,85,3.2241,0.310166,1.0,2125.3,2125.3,6852.2,6852.2,3.22
LIGURIA,1901,T,0,0,0.3057,0.148519,0.134636,100000.0,13463.6,90652.1,4663752.5,46.64
LIGURIA,1901,T,1_4,1,1.5,0.028214,0.10542,86536.4,9122.7,323339.1,4573100.5,52.85
LIGURIA,1901,T,5_9,5,2.5,0.004646,0.022965,77413.8,1777.8,382624.4,4249761.4,54.9
LIGURIA,1901,T,10_14,10,2.5,0.002722,0.013519,75636.0,1022.5,375623.6,3867137.0,51.13
LIGURIA,1901,T,15_19,15,2.5,0.004941,0.024406,74613.4,1821.0,368514.7,3491513.4,46.79
LIGURIA,1901,T,20_24,20,2.5,0.006795,0.033407,72792.4,2431.8,357882.7,3122998.7,42.9
LIGURIA,1901,T,25_29,25,2.5,0.00769,0.037723,70360.7,2654.2,345167.7,2765116.0,39.3
LIGURIA,1901,T,30_34,30,2.5,0.008183,0.040095,67706.4,2714.7,331745.4,2419948.3,35.74
LIGURIA,1901,T,35_39,35,2.5,0.009035,0.044178,64991.7,2871.2,317780.7,2088202.9,32.13
LIGURIA,1901,T,40_44,40,2.5,0.010843,0.052782,62120.5,3278.8,302405.5,1770422.2,28.5
LIGURIA,1901,T,45_49,45,2.5,0.011129,0.054139,58841.7,3185.6,286244.3,1468016.7,24.95
LIGURIA,1901,T,50_54,50,2.5,0.015863,0.076291,55656.0,4246.1,267665.0,1181772.4,21.23
LIGURIA,1901,T,55_59,55,2.5,0.02026,0.096415,51410.0,4956.7,244658.1,914107.4,17.78
LIGURIA,1901,T,60_64,60,2.5,0.029786,0.138608,46453.3,6438.8,216169.3,669449.3,14.41
LIGURIA,1901,T,65_69,65,2.5,0.043166,0.194807,40014.5,7795.1,180584.6,453280.0,11.33
LIGURIA,1901,T,70_74,70,2.5,0.076047,0.319492,32219.4,10293.8,135362.3,272695.4,8.46
LIGURIA,1901,T,75_79,75,2.5,0.117339,0.453626,21925.5,9946.0,84762.7,137333.1,6.26
LIGURIA,1901,T,80_84,80,2.5,0.196823,0.659569,11979.5,7901.3,40144.4,52570.4,4.39
LIGURIA,1901,T,85plus,85,3.0469,0.328198,1.0,4078.2,4078.2,12426.0,12426.0,3.05
LIGURIA,1901,M,0,0,0.2992,0.164923,0.147836,100000.0,14783.6,89638.9,4571342.6,45.71
LIGURIA,1901,M,1_4,1,1.5,0.028452,0.106249,85216.4,9054.2,318230.4,4481703.7,52.59
LIGURIA,1901,M,5_9,5,2.5,0.004361,0.021568,76162.3,1642.7,376704.6,4163473.3,54.67
LIGURIA,1901,M,10_14,10,2.5,0.002088,0.010386,74519.6,773.9,370663.1,3786768.7,50.82
LIGURIA,1901,M,15_19,15,2.5,0.004623,0.022849,73745.6,1685.0,364515.6,3416105.6,46.32
LIGURIA,1901,M,20_24,20,2.5,0.006844,0.033645,72060.6,2424.5,354241.8,3051589.9,42.35
LIGURIA,1901,M,25_29,25,2.5,0.007475,0.036689,69636.1,2554.9,341793.5,2697348.1,38.73
LIGURIA,1901,M,30_34,30,2.5,0.007585,0.037218,67081.3,2496.6,329164.7,2355554.7,35.11
LIGURIA,1901,M,35_39,35,2.5,0.009417,0.046001,64584.6,2971.0,315495.6,2026390.0,31.38
LIGURIA,1901,M,40_44,40,2.5,0.010659,0.051914,61613.6,3198.6,300071.6,1710894.4,27.77
LIGURIA,1901,M,45_49,45,2.5,0.013014,0.063018,58415.0,3681.2,282872.1,1410822.7,24.15
LIGURIA,1901,M,50_54,50,2.5,0.017729,0.084881,54733.8,4645.8,262054.5,1127950.6,20.61
LIGURIA,1901,M,55_59,55,2.5,0.023898,0.112751,50088.0,5647.5,236321.2,865896.1,17.29
LIGURIA,1901,M,60_64,60,2.5,0.032287,0.14938,44440.5,6638.5,205606.2,629574.9,14.17
LIGURIA,1901,M,65_69,65,2.5,0.045437,0.204009,37802.0,7712.0,169730.1,423968.8,11.22
LIGURIA,1901,M,70_74,70,2.5,0.075489,0.317522,30090.0,9554.2,126564.6,254238.7,8.45
LIGURIA,1901,M,75_79,75,2.5,0.119197,0.459159,20535.8,9429.2,79106.0,127674.1,6.22
LIGURIA,1901,M,80_84,80,2.5,0.193765,0.652666,11106.6,7248.9,37410.8,48568.1,4.37
LIGURIA,1901,M,85plus,85,2.8922,0.345754,1.0,3857.7,3857.7,11157.4,11157.4,2.89
LIGURIA,1901,F,0,0,0.3141,0.131648,0.120745,100000.0,12074.5,91718.2,4760874.9,47.61
LIGURIA,1901,F,1_4,1,1.5,0.027968,0.104562,87925.5,9193.6,328717.8,4669156.7,53.1
LIGURIA,1901,F,5_9,5,2.5,0.004935,0.024374,78731.8,1919.0,388861.6,4340438.9,55.13
LIGURIA,1901,F,10_14,10,2.5,0.003353,0.016626,76812.8,1277.1,380871.3,3951577.3,51.44
LIGURIA,1901,F,15_19,15,2.5,0.005255,0.025935,75535.7,1959.0,372781.1,3570706.0,47.27
LIGURIA,1901,F,20_24,20,2.5,0.00674,0.033142,73576.7,2438.5,361787.4,3197924.9,43.46
LIGURIA,1901,F,25_29,25,2.5,0.007902,0.038743,71138.3,2756.1,348801.0,2836137.4,39.87
LIGURIA,1901,F,30_34,30,2.5,0.008779,0.042952,68382.1,2937.1,334567.8,2487336.4,36.37
LIGURIA,1901,F,35_39,35,2.5,0.008635,0.04226,65445.0,2765.7,320310.6,2152768.6,32.89
LIGURIA,1901,F,40_44,40,2.5,0.011024,0.053644,62679.3,3362.3,304990.5,1832458.0,29.24
LIGURIA,1901,F,45_49,45,2.5,0.009258,0.045242,59316.9,2683.6,289875.7,1527467.5,25.75
LIGURIA,1901,F,50_54,50,2.5,0.01408,0.068005,56633.3,3851.3,273538.3,1237591.9,21.85
LIGURIA,1901,F,55_59,55,2.5,0.016736,0.08032,52782.0,4239.5,253311.3,964053.5,18.26
LIGURIA,1901,F,60_64,60,2.5,0.0275,0.128656,48542.5,6245.3,227099.4,710742.2,14.64
LIGURIA,1901,F,65_69,65,2.5,0.041042,0.186113,42297.3,7872.1,191806.1,483642.7,11.43
LIGURIA,1901,F,70_74,70,2.5,0.076581,0.321375,34425.2,11063.4,144467.4,291836.7,8.48
LIGURIA,1901,F,75_79,75,2.5,0.115442,0.447933,23361.8,10464.5,90647.6,147369.2,6.31
LIGURIA,1901,F,80_84,80,2.5,0.199855,0.666344,12897.3,8594.0,43001.3,56721.6,4.4
LIGURIA,1901,F,85plus,85,3.1883,0.313642,1.0,4303.3,4303.3,13720.3,13720.3,3.19
LOMBARDIA,1901,T,0,0,0.306,0.224521,0.194254,100000.0,19425.4,86519.2,4086208.6,40.86
LOMBARDIA,1901,T,1_4,1,1.5,0.035893,0.131751,80574.6,10615.8,295759.1,3999689.4,49.64
LOMBARDIA,1901,T,5_9,5,2.5,0.005931,0.02922,69958.9,2044.2,344683.9,3703930.2,52.94
LOMBARDIA,1901,T,10_14,10,2.5,0.003909,0.019357,67914.7,1314.6,336286.8,3359246.3,49.46
LOMBARDIA,1901,T,15_19,15,2.5,0.005725,0.028221,66600.0,1879.5,328301.4,3022959.5,45.39
LOMBARDIA,1901,T,20_24,20,2.5,0.007389,0.036274,64720.5,2347.6,317733.5,2694658.1,41.64
LOMBARDIA,1901,T,25_29,25,2.5,0.007713,0.037837,62372.9,2360.0,305964.4,2376924.6,38.11
LOMBARDIA,1901,T,30_34,30,2.5,0.007868,0.038583,60012.9,2315.5,294275.8,2070960.2,34.51
LOMBARDIA,1901,T,35_39,35,2.5,0.008296,0.040636,57697.4,2344.6,282625.7,1776684.4,30.79
