COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
42,Ancona,T,0,0,0.3061,0.284054,0.237286,100000.0,23728.6,83535.6,3314591.3,33.15
42,Ancona,T,1_4,1,1.5,0.075108,0.252936,76271.4,19291.8,256856.1,3231055.7,42.36
42,Ancona,T,5_9,5,2.5,0.010773,0.052452,56979.6,2988.7,277426.2,2974199.7,52.2
42,Ancona,T,10_14,10,2.5,0.005344,0.026366,53990.9,1423.5,266395.7,2696773.4,49.95
42,Ancona,T,15_19,15,2.5,0.005884,0.028993,52567.4,1524.1,259026.7,2430377.7,46.23
42,Ancona,T,20_24,20,2.5,0.008896,0.043513,51043.3,2221.0,249663.8,2171351.1,42.54
42,Ancona,T,25_29,25,2.5,0.007725,0.037893,48822.3,1850.0,239486.3,1921687.2,39.36
42,Ancona,T,30_34,30,2.5,0.008652,0.042344,46972.3,1989.0,229888.8,1682201.0,35.81
42,Ancona,T,35_39,35,2.5,0.009045,0.044225,44983.3,1989.4,219942.8,1452312.2,32.29
42,Ancona,T,40_44,40,2.5,0.009871,0.048167,42993.9,2070.9,209792.1,1232369.4,28.66
42,Ancona,T,45_49,45,2.5,0.011448,0.055649,40923.0,2277.3,198921.6,1022577.3,24.99
42,Ancona,T,50_54,50,2.5,0.016399,0.078767,38645.7,3044.0,185618.3,823655.8,21.31
42,Ancona,T,55_59,55,2.5,0.018799,0.089775,35601.7,3196.2,170017.9,638037.5,17.92
42,Ancona,T,60_64,60,2.5,0.027047,0.126671,32405.5,4104.8,151765.5,468019.6,14.44
42,Ancona,T,65_69,65,2.5,0.04903,0.21838,28300.7,6180.3,126052.6,316254.1,11.17
42,Ancona,T,70_74,70,2.5,0.077058,0.323056,22120.4,7146.1,92736.5,190201.5,8.6
42,Ancona,T,75_79,75,2.5,0.125093,0.476462,14974.2,7134.7,57034.6,97465.0,6.51
42,Ancona,T,80_84,80,2.5,0.175555,0.610037,7839.6,4782.4,27241.9,40430.4,5.16
42,Ancona,T,85plus,85,4.314,0.231804,1.0,3057.2,3057.2,13188.5,13188.5,4.31
42,Ancona,M,0,0,0.2992,0.296358,0.24539,100000.0,24539.0,82801.8,3282453.1,32.82
42,Ancona,M,1_4,1,1.5,0.07276,0.246248,75461.0,18582.1,255388.6,3199651.2,42.4
42,Ancona,M,5_9,5,2.5,0.010352,0.050456,56878.8,2869.9,277219.5,2944262.6,51.76
42,Ancona,M,10_14,10,2.5,0.005136,0.025354,54008.9,1369.4,266621.3,2667043.2,49.38
42,Ancona,M,15_19,15,2.5,0.005579,0.027509,52639.6,1448.1,259577.7,2400421.9,45.6
42,Ancona,M,20_24,20,2.5,0.010009,0.048825,51191.5,2499.4,249708.9,2140844.2,41.82
42,Ancona,M,25_29,25,2.5,0.008515,0.04169,48692.1,2030.0,238385.4,1891135.4,38.84
42,Ancona,M,30_34,30,2.5,0.008307,0.04069,46662.1,1898.7,228563.8,1652750.0,35.42
42,Ancona,M,35_39,35,2.5,0.00884,0.043245,44763.4,1935.8,218977.6,1424186.2,31.82
42,Ancona,M,40_44,40,2.5,0.009984,0.048705,42827.6,2085.9,208923.3,1205208.5,28.14
42,Ancona,M,45_49,45,2.5,0.011363,0.055248,40741.7,2250.9,198081.2,996285.2,24.45
