"code","province","age_class","male","female","total"
"015","Milano","1-4",81594,80520,162114
"015","Milano","5-9",91829,90758,182587
"015","Milano","10-14",88965,87535,176500
"015","Milano","15-19",85000,84445,169445
"015","Milano","20-24",82403,83073,165476
"015","Milano","25-29",74621,74475,149096
"015","Milano","30-34",65926,64497,130423
"015","Milano","35-39",52221,51805,104026
"015","Milano","40-44",44792,45018,89810
"015","Milano","45-49",40568,40280,80848
"015","Milano","50-54",35862,36441,72303
"015","Milano","55-59",31263,32251,63514
"015","Milano","60-64",24436,27297,51733
"015","Milano","65-69",19101,20250,39351
"015","Milano","70-74",11666,12671,24337
"015","Milano","75-79",5596,6227,11823
"015","Milano","80-84",1844,2289,4133
"015","Milano","85+",460,674,1134
"016","Bergamo","0",9478,9283,18761
"016","Bergamo","1-4",29559,29354,58913
"016","Bergamo","5-9",32150,31529,63679
"016","Bergamo","10-14",28495,28607,57102
"016","Bergamo","15-19",21413,25326,46739
"016","Bergamo","20-24",17586,23651,41237
"016","Bergamo","25-29",15991,20221,36212
"016","Bergamo","30-34",15343,18020,33363
"016","Bergamo","35-39",13190,15070,28260
"016","Bergamo","40-44",11991,13098,25089
"016","Bergamo","45-49",10908,11582,22490
"016","Bergamo","50-54",10004,10748,20752
"016","Bergamo","55-59",9082,9512,18594
"016","Bergamo","60-64",7775,7802,15577
"016","Bergamo","65-69",6220,6075,12295
"016","Bergamo","70-74",3629,3611,7240
"016","Bergamo","75-79",1678,1658,3336
"016","Bergamo","80-84",562,545,1107
"016","Bergamo","85+",232,259,491
"017","Brescia","0",9393,9138,18531
"017","Brescia","1-4",30700,29928,60628
"017","Brescia","5-9",33442,32427,65869
"017","Brescia","10-14",30868,30690,61558
"017","Brescia","15-19",26627,27799,54426
"017","Brescia","20-24",26765,25582,52347
"017","Brescia","25-29",20541,22228,42769
"017","Brescia","30-34",18617,19650,38267
"017","Brescia","35-39",17040,17623,34663
"017","Brescia","40-44",15761,16029,31790
"017","Brescia","45-49",14793,14633,29426
"017","Brescia","50-54",12832,13175,26007
"017","Brescia","55-59",11733,11795,23528
"017","Brescia","60-64",9980,10284,20264
"017","Brescia","65-69",7849,7833,15682
"017","Brescia","70-74",5228,5186,10414
"017","Brescia","75-79",2356,2552,4908
"017","Brescia","80-84",905,851,1756
"017","Brescia","85+",199,252,451
"018","Pavia","0",5951,5934,11885
"018","Pavia","1-4",22965,22171,45136
"018","Pavia","5-9",27885,27138,55023
"018","Pavia","10-14",27669,27953,55622
"018","Pavia","15-19",23965,27083,51048
"018","Pavia","20-24",19717,22355,42072
"018","Pavia","25-29",16961,18502,35463
"018","Pavia","30-34",15522,16891,32413
"018","Pavia","35-39",14124,14936,29060
"018","Pavia","40-44",13352,14200,27552
"018","Pavia","45-49",13064,13055,26119
"018","Pavia","50-54",11766,12146,23912
"018","Pavia","55-59",11129,11292,22421
"018","Pavia","60-64",9169,9501,18670
"018","Pavia","65-69",7965,7713,15678
"018","Pavia","70-74",5456,5212,10668
"018","Pavia","75-79",3056,2743,5799
"018","Pavia","80-84",1180,1120,2300
"018","Pavia","85+",363,378,741
"019","Cremona","0",5154,4782,9936
"019","Cremona","1-4",17079,16767,33846
"019","Cremona","5-9",19367,19017,38384
"019","Cremona","10-14",18464,17891,36355
"019","Cremona","15-19",15537,16184,31721
"019","Cremona","20-24",13590,14471,28061
"019","Cremona","25-29",12040,12951,24991
"019","Cremona","30-34",10680,10993,21673
"019","Cremona","35-39",10268,10364,20632
"019","Cremona","40-44",9966,10024,19990
"019","Cremona","45-49",9335,9132,18467
"019","Cremona","50-54",7840,7798,15638
"019","Cremona","55-59",7111,7205,14316
"019","Cremona","60-64",6080,6163,12243
"019","Cremona","65-69",5232,5196,10428
"019","Cremona","70-74",3579,3437,7016
"019","Cremona","75-79",1794,1614,3408
"019","Cremona","80-84",615,602,1217
"019","Cremona","85+",214,213,427
"020","Mantova","0",5020,4844,9864
"020","Mantova","1-4",17721,16905,34626
"020","Mantova","5-9",19910,18983,38893
"020","Mantova","10-14",18600,18052,36652
"020","Mantova","15-19",15882,16069,31951
"020","Mantova","20-24",14800,14321,29121
"020","Mantova","25-29",12672,12562,25234
"020","Mantova","30-34",11144,10927,22071
"020","Mantova","35-39",10100,9850,19950
"020","Mantova","40-44",9739,9403,19142
"020","Mantova","45-49",9144,8708,17852
"020","Mantova","50-54",7510,7159,14669
"020","Mantova","55-59",6322,6233,12555
"020","Mantova","60-64",6128,6079,12207
"020","Mantova","65-69",5283,5017,10300
"020","Mantova","70-74",3929,3835,7764
"020","Mantova","75-79",1994,2009,4003
"020","Mantova","80-84",802,798,1600
"020","Mantova","85+",255,285,540
"023","Verona","0",6862,6434,13296
"023","Verona","1-4",23668,23324,46992
"023","Verona","5-9",26616,26364,52980
"023","Verona","10-14",25557,24770,50327
"023","Verona","15-19",21586,22150,43736
"023","Verona","20-24",23828,20147,43975
"023","Verona","25-29",15601,17543,33144
"023","Verona","30-34",14537,15386,29923
"023","Verona","35-39",13649,14122,27771
"023","Verona","40-44",12953,13292,26245
"023","Verona","45-49",11649,11680,23329
"023","Verona","50-54",9773,9698,19471
"023","Verona","55-59",8507,8675,17182
"023","Verona","60-64",7254,7931,15185
"023","Verona","65-69",6796,7057,13853
"023","Verona","70-74",4851,4976,9827
"023","Verona","75-79",2507,2478,4985
"023","Verona","80-84",867,971,1838
"023","Verona","85+",288,363,651
"024","Vicenza","0",7940,7823,15763
"024","Vicenza","1-4",28699,28114,56813
"024","Vicenza","5-9",30843,30280,61123
"024","Vicenza","10-14",28272,27827,56099
"024","Vicenza","15-19",21448,24149,45597
"024","Vicenza","20-24",17080,21261,38341
"024","Vicenza","25-29",14933,18747,33680
"024","Vicenza","30-34",13870,16183,30053
