"code","province","age_class","male","female","total"
"001","Torino","0",18709,18441,37150
"001","Torino","1-4",72660,68079,140739
"001","Torino","5-9",87939,83810,171749
"001","Torino","10-14",75613,71972,147585
"001","Torino","15-19",71750,67327,139077
"001","Torino","20-24",87688,86496,174184
"001","Torino","25-29",86184,83143,169327
"001","Torino","30-34",97938,94526,192464
"001","Torino","35-39",89273,86776,176049
"001","Torino","40-44",86199,85400,171599
"001","Torino","45-49",76058,79655,155713
"001","Torino","50-54",51914,55967,107881
"001","Torino","55-59",60133,66434,126567
"001","Torino","60-64",56208,66226,122434
"001","Torino","65-69",43005,54969,97974
"001","Torino","70-74",28505,42936,71441
"001","Torino","75-79",20767,29158,49925
"001","Torino","80-84",5159,17333,22492
"001","Torino","85+",4393,8273,12666
"002","Vercelli","0",2570,2541,5111
"002","Vercelli","1-4",9841,9330,19171
"002","Vercelli","5-9",13429,12592,26021
"002","Vercelli","10-14",11964,11519,23483
"002","Vercelli","15-19",11842,11507,23349
"002","Vercelli","20-24",13607,13248,26855
"002","Vercelli","25-29",11765,11590,23355
"002","Vercelli","30-34",14121,14247,28368
"002","Vercelli","35-39",13966,14102,28068
"002","Vercelli","40-44",14906,15189,30095
"002","Vercelli","45-49",14202,15248,29450
"002","Vercelli","50-54",9450,10569,20019
"002","Vercelli","55-59",12346,14378,26724
"002","Vercelli","60-64",12607,15343,27950
"002","Vercelli","65-69",10665,13822,24487
"002","Vercelli","70-74",7548,11067,18615
"002","Vercelli","75-79",5986,8658,14644
"002","Vercelli","80-84",1891,4979,6870
"002","Vercelli","85+",1250,2367,3617
"003","Novara","0",3693,3619,7312
"003","Novara","1-4",13991,13168,27159
"003","Novara","5-9",18580,17516,36096
"003","Novara","10-14",16095,15335,31430
"003","Novara","15-19",15295,14687,29982
"003","Novara","20-24",17795,17001,34796
"003","Novara","25-29",15641,15216,30857
"003","Novara","30-34",18555,18322,36877
"003","Novara","35-39",17500,17373,34873
"003","Novara","40-44",17730,18049,35779
"003","Novara","45-49",16162,17413,33575
"003","Novara","50-54",11247,12290,23537
"003","Novara","55-59",14525,16391,30916
"003","Novara","60-64",14438,17292,31730
"003","Novara","65-69",11723,15081,26804
"003","Novara","70-74",8148,12011,20159
"003","Novara","75-79",5609,8790,14399
"003","Novara","80-84",2225,4880,7105
"003","Novara","85+",1144,2281,3425
"004","Cuneo","0",3786,3663,7449
"004","Cuneo","1-4",14034,13343,27377
"004","Cuneo","5-9",18391,18018,36409
