COD_PROV,DEN_PROV,year,marriages,nuptiality
61,Caserta,1865,6250,8.96
62,Benevento,1865,2256,10.02
63,Napoli,1865,7654,8.66
64,Avellino,1865,3340,8.85
65,Salerno,1865,4909,9.2
66,Aquila degli Abruzzi,1865,2665,8.35
67,Teramo,1865,2252,8.2
69,Chieti,1865,3454,10.39
70,Campobasso,1865,3579,10.23
71,Foggia,1865,3087,9.08
72,Bari delle Puglie,1865,5676,9.86
75,Lecce,1865,4459,9.58
76,Potenza,1865,5236,10.26
78,Cosenza,1865,4418,10.13
79,Catanzaro,1865,4134,10.44
80,Reggio di Calabria,1865,3024,8.89
81,Trapani,1865,1668,7.46
82,Palermo,1865,4078,6.6
83,Messina,1865,2975,7.44
84,Girgenti,1865,2012,6.99
85,Caltanissetta,1865,1635,7.93
87,Catania,1865,3324,7.1
89,Siracusa,1865,2079,7.6
90,Sassari,1865,2512,11.07
92,Cagliari,1865,3819,10.04
1,Torino,1866,5640,7.35
3,Novara,1866,4109,9.33
4,Cuneo,1866,3921,8.93
6,Alessandria,1866,3935,8.82
8,Porto Maurizio,1866,584,3.3
10,Genova,1866,3288,7.03
13,Como,1866,2519,4.48
14,Sondrio,1866,641,3.06
15,Milano,1866,5555,7.4
16,Bergamo,1866,2017,5.36
17,Brescia,1866,2715,6.52
18,Pavia,1866,2714,6.25
19,Cremona,1866,2074,6.46
20,Mantova,1866,1385,4.81
23,Verona,1866,2732,7.44
24,Vicenza,1866,2744,7.56
25,Belluno,1866,1365,7.79
26,Treviso,1866,2875,8.16
27,Venezia,1866,2154,6.38
28,Padova,1866,2872,7.88
29,Rovigo,1866,1574,7.84
30,Udine,1866,3571,7.42
33,Piacenza,1866,1176,5.29
34,Parma,1866,1371,5.19
35,Reggio nell'Emilia,1866,1162,4.93
36,Modena,1866,1308,4.78
37,Bologna,1866,1900,4.49
38,Ferrara,1866,348,1.68
39,Ravenna,1866,758,3.43
40,Forlì,1866,719,3.13
41,Pesaro e Urbino,1866,611,2.94
42,Ancona,1866,1062,4.1
43,Macerata,1866,1063,4.49
44,Ascoli Piceno,1866,665,3.33
45,Massa e Carrara,1866,581,3.85
46,Lucca,1866,1013,3.77
48,Firenze,1866,3712,5.07
49,Livorno,1866,736,6.26
50,Pisa,1866,1112,4.37
51,Arezzo,1866,853,3.64
52,Siena,1866,1080,4.94
53,Grosseto,1866,348,3.36
54,Umbria,1866,2676,5.04
61,Caserta,1866,4049,5.81
62,Benevento,1866,1512,6.68
63,Napoli,1866,4773,5.38
64,Avellino,1866,2322,6.16
65,Salerno,1866,3443,6.44
66,Aquila degli Abruzzi,1866,1665,5.18
67,Teramo,1866,1535,5.69
69,Chieti,1866,2605,7.81
70,Campobasso,1866,3583,10.21
71,Foggia,1866,2275,6.75
72,Bari delle Puglie,1866,4234,7.29
75,Lecce,1866,3970,8.45
76,Potenza,1866,4126,8.08
78,Cosenza,1866,2766,6.33
79,Catanzaro,1866,2449,6.14
80,Reggio di Calabria,1866,1780,5.2
81,Trapani,1866,875,3.88
82,Palermo,1866,1884,3.05
83,Messina,1866,1850,4.61
84,Girgenti,1866,841,2.92
85,Caltanissetta,1866,811,3.86
87,Catania,1866,1594,3.37
89,Siracusa,1866,1099,3.97
90,Sassari,1866,833,3.63
92,Cagliari,1866,1389,3.63
1,Torino,1867,6382,7.89
3,Novara,1867,4448,9.32
4,Cuneo,1867,4354,9.17
6,Alessandria,1867,4919,9.97
8,Porto Maurizio,1867,799,4.78
10,Genova,1867,4915,9.51
13,Como,1867,3209,5.88
14,Sondrio,1867,795,4.19
15,Milano,1867,7064,8.8
16,Bergamo,1867,2653,7.08
17,Brescia,1867,3748,8.84
18,Pavia,1867,3301,7.56
19,Cremona,1867,2966,9.36
20,Mantova,1867,1664,5.78
23,Verona,1867,3018,8.22
24,Vicenza,1867,3234,8.91
25,Belluno,1867,1410,8.05
26,Treviso,1867,2602,7.39
27,Venezia,1867,3934,11.66
28,Padova,1867,3174,8.71
29,Rovigo,1867,1977,9.85
30,Udine,1867,3760,7.81
33,Piacenza,1867,1385,6.21
34,Parma,1867,1642,6.21
35,Reggio nell'Emilia,1867,1292,5.46
36,Modena,1867,1445,5.28
37,Bologna,1867,2345,5.5
38,Ferrara,1867,1151,5.5
39,Ravenna,1867,870,3.94
40,Forlì,1867,848,3.67
41,Pesaro e Urbino,1867,678,3.25
42,Ancona,1867,1256,4.84
43,Macerata,1867,1129,4.77
44,Ascoli Piceno,1867,775,3.87
45,Massa e Carrara,1867,777,5.07
46,Lucca,1867,1411,5.21
48,Firenze,1867,4660,6.31
49,Livorno,1867,642,5.45
50,Pisa,1867,1389,5.41
51,Arezzo,1867,1135,4.84
52,Siena,1867,1244,5.75
53,Grosseto,1867,574,5.5
54,Umbria,1867,2655,4.97
61,Caserta,1867,4842,6.94
62,Benevento,1867,1805,7.94
63,Napoli,1867,5615,6.3
64,Avellino,1867,2912,7.72
65,Salerno,1867,3996,7.45
66,Aquila degli Abruzzi,1867,1974,6.1
67,Teramo,1867,1576,5.95
69,Chieti,1867,2637,7.87
70,Campobasso,1867,3243,9.22
71,Foggia,1867,2592,7.76
72,Bari delle Puglie,1867,5388,9.19
75,Lecce,1867,3392,7.16
76,Potenza,1867,4765,9.33
78,Cosenza,1867,3338,7.61
79,Catanzaro,1867,2928,7.3
80,Reggio di Calabria,1867,2271,6.59
81,Trapani,1867,1077,4.73
82,Palermo,1867,3023,4.89
83,Messina,1867,1885,4.69
84,Girgenti,1867,1268,4.41
