province,year,marriages,COD_PROV,DEN_PROV,source,validated
Potenza,1868,4642,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1868,966,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1868,1837,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1868,1721,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1868,1861,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1868,3868,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1868,1461,90,Sassari,TAVOLA_VI_1881,OK
Siena,1868,1125,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1868,1589,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1868,802,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1868,1948,67,Teramo,TAVOLA_VI_1881,OK
Torino,1868,7101,1,Torino,TAVOLA_VI_1881,OK
Trapani,1868,1565,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1868,2766,26,Treviso,TAVOLA_VI_1881,OK
Udine,1868,3601,30,Udine,TAVOLA_VI_1881,OK
Venezia,1868,2956,27,Venezia,TAVOLA_VI_1881,OK
Verona,1868,3106,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1868,3260,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1869,5588,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1869,1244,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1869,2431,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1869,1338,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1869,917,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1869,3475,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1869,5906,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1869,1407,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1869,2196,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1869,3044,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1869,2509,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1869,3703,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1869,2473,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1869,2464,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1869,3393,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1869,6198,61,Caserta,TAVOLA_VI_1881,OK
Catania,1869,4190,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1869,3653,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1869,3136,69,Chieti,TAVOLA_VI_1881,OK
Como,1869,3929,13,Como,TAVOLA_VI_1881,OK
Cosenza,1869,4019,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1869,2687,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1869,5243,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1869,1281,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1869,5139,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1869,3330,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1869,1099,40,Forlì,TAVOLA_VI_1881,OK
Genova,1869,5251,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1869,2887,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1869,577,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1869,4642,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1869,827,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1869,1855,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1869,1174,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1869,2567,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1869,918,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1869,2894,83,Messina,TAVOLA_VI_1881,OK
Milano,1869,8809,15,Milano,TAVOLA_VI_1881,OK
Modena,1869,1761,36,Modena,TAVOLA_VI_1881,OK
Napoli,1869,6715,63,Napoli,TAVOLA_VI_1881,OK
Novara,1869,4698,3,Novara,TAVOLA_VI_1881,OK
Padova,1869,3089,28,Padova,TAVOLA_VI_1881,OK
Palermo,1869,5265,82,Palermo,TAVOLA_VI_1881,OK
Parma,1869,2106,34,Parma,TAVOLA_VI_1881,OK
Pavia,1869,3596,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1869,2974,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1869,807,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1869,1784,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1869,1710,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1869,742,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1869,4814,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1869,1133,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1869,2988,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1869,1813,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1869,1906,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1869,4873,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1869,1664,90,Sassari,TAVOLA_VI_1881,OK
Siena,1869,1433,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1869,2770,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1869,790,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1869,1862,67,Teramo,TAVOLA_VI_1881,OK
Torino,1869,7195,1,Torino,TAVOLA_VI_1881,OK
Trapani,1869,1991,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1869,2976,26,Treviso,TAVOLA_VI_1881,OK
Udine,1869,3857,30,Udine,TAVOLA_VI_1881,OK
Venezia,1869,2793,27,Venezia,TAVOLA_VI_1881,OK
Verona,1869,3015,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1869,3134,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1870,5509,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1870,1267,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1870,2371,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1870,1346,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1870,764,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1870,2940,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1870,4690,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1870,1393,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1870,1704,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1870,2881,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1870,2770,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1870,3305,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1870,2658,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1870,1983,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1870,3031,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1870,5514,61,Caserta,TAVOLA_VI_1881,OK
Catania,1870,4300,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1870,2736,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1870,2563,69,Chieti,TAVOLA_VI_1881,OK
Como,1870,4058,13,Como,TAVOLA_VI_1881,OK
Cosenza,1870,3298,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1870,2258,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1870,5210,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1870,1261,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1870,5409,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1870,2558,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1870,1189,40,Forlì,TAVOLA_VI_1881,OK
Genova,1870,4915,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1870,2336,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1870,604,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1870,3174,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1870,749,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1870,1860,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1870,1044,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1870,2367,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1870,919,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1870,2502,83,Messina,TAVOLA_VI_1881,OK
Milano,1870,8493,15,Milano,TAVOLA_VI_1881,OK
Modena,1870,1800,36,Modena,TAVOLA_VI_1881,OK
Napoli,1870,6572,63,Napoli,TAVOLA_VI_1881,OK
Novara,1870,4853,3,Novara,TAVOLA_VI_1881,OK
Padova,1870,2760,28,Padova,TAVOLA_VI_1881,OK
Palermo,1870,4462,82,Palermo,TAVOLA_VI_1881,OK
Parma,1870,1982,34,Parma,TAVOLA_VI_1881,OK
Pavia,1870,3572,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1870,2670,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1870,852,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1870,1657,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1870,1646,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1870,905,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1870,3886,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1870,1047,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1870,2565,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1870,1871,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1870,1724,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1870,4212,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1870,1578,90,Sassari,TAVOLA_VI_1881,OK
Siena,1870,1384,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1870,2456,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1870,822,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1870,1615,67,Teramo,TAVOLA_VI_1881,OK
Torino,1870,7234,1,Torino,TAVOLA_VI_1881,OK
Trapani,1870,1903,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1870,2671,26,Treviso,TAVOLA_VI_1881,OK
Udine,1870,3775,30,Udine,TAVOLA_VI_1881,OK
Venezia,1870,2719,27,Venezia,TAVOLA_VI_1881,OK
Verona,1870,2742,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1870,3135,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1871,5333,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1871,1255,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1871,2362,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1871,1318,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1871,675,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1871,3027,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1871,4811,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1871,1461,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1871,1884,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1871,2869,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1871,2588,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1871,3421,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1871,2546,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1871,2266,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1871,3991,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1871,5343,61,Caserta,TAVOLA_VI_1881,OK
Catania,1871,4414,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1871,3064,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1871,3350,69,Chieti,TAVOLA_VI_1881,OK
Como,1871,3870,13,Como,TAVOLA_VI_1881,OK
Cosenza,1871,3775,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1871,2259,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1871,5960,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1871,1306,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1871,5509,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1871,2908,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1871,1017,40,Forlì,TAVOLA_VI_1881,OK
Genova,1871,5371,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1871,2488,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1871,608,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1871,3937,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1871,839,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1871,2034,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1871,1085,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1871,1369,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1871,964,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1871,2993,83,Messina,TAVOLA_VI_1881,OK
Milano,1871,8893,15,Milano,TAVOLA_VI_1881,OK
Modena,1871,1492,36,Modena,TAVOLA_VI_1881,OK
Napoli,1871,6823,63,Napoli,TAVOLA_VI_1881,OK
Novara,1871,4893,3,Novara,TAVOLA_VI_1881,OK
Padova,1871,2692,28,Padova,TAVOLA_VI_1881,OK
Palermo,1871,4765,82,Palermo,TAVOLA_VI_1881,OK
Parma,1871,1888,34,Parma,TAVOLA_VI_1881,OK
Pavia,1871,3302,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1871,2671,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1871,871,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1871,1586,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1871,1755,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1871,921,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1871,4315,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1871,1069,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1871,2987,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1871,1570,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1871,1624,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1871,4467,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1871,1518,90,Sassari,TAVOLA_VI_1881,OK
Siena,1871,1323,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1871,2513,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1871,767,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1871,1403,67,Teramo,TAVOLA_VI_1881,OK
Torino,1871,7718,1,Torino,TAVOLA_VI_1881,OK
Trapani,1871,2258,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1871,2581,26,Treviso,TAVOLA_VI_1881,OK
Udine,1871,3858,30,Udine,TAVOLA_VI_1881,OK
Venezia,1871,2557,27,Venezia,TAVOLA_VI_1881,OK
Verona,1871,2705,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1871,2784,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1872,5781,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1872,1497,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1872,2558,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1872,1322,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1872,985,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1872,3240,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1872,5266,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1872,1843,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1872,2026,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1872,2730,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1872,2585,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1872,3552,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1872,2766,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1872,2261,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1872,3201,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1872,5460,61,Caserta,TAVOLA_VI_1881,OK
Catania,1872,4359,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1872,3132,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1872,2839,69,Chieti,TAVOLA_VI_1881,OK
Como,1872,4329,13,Como,TAVOLA_VI_1881,OK
Cosenza,1872,3634,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1872,2468,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1872,5239,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1872,1333,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1872,5686,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1872,3156,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1872,1118,40,Forlì,TAVOLA_VI_1881,OK
Genova,1872,5690,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1872,2792,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1872,656,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1872,3983,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1872,869,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1872,1920,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1872,1231,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1872,2125,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1872,889,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1872,3244,83,Messina,TAVOLA_VI_1881,OK
Milano,1872,9370,15,Milano,TAVOLA_VI_1881,OK
Modena,1872,1618,36,Modena,TAVOLA_VI_1881,OK
Napoli,1872,6881,63,Napoli,TAVOLA_VI_1881,OK
Novara,1872,5488,3,Novara,TAVOLA_VI_1881,OK
Padova,1872,2636,28,Padova,TAVOLA_VI_1881,OK
Palermo,1872,5119,82,Palermo,TAVOLA_VI_1881,OK
Parma,1872,1872,34,Parma,TAVOLA_VI_1881,OK
Pavia,1872,3945,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1872,2959,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1872,1100,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1872,1732,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1872,1905,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1872,840,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1872,4995,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1872,1249,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1872,2521,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1872,1550,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Roma *,1872,2516,58,Roma,TAVOLA_VI_1881,OK
Rovigo,1872,1439,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1872,4872,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1872,1635,90,Sassari,TAVOLA_VI_1881,OK
Siena,1872,1415,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1872,2429,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1872,837,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1872,1591,67,Teramo,TAVOLA_VI_1881,OK
Torino,1872,7583,1,Torino,TAVOLA_VI_1881,OK
Trapani,1872,2403,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1872,2991,26,Treviso,TAVOLA_VI_1881,OK
Udine,1872,3118,30,Udine,TAVOLA_VI_1881,OK
Venezia,1872,2194,27,Venezia,TAVOLA_VI_1881,OK
Verona,1872,2474,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1872,2489,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1873,5753,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1873,1709,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1873,3047,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1873,1457,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1873,1041,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1873,3480,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1873,5075,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1873,1511,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1873,2108,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1873,2772,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1873,3030,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1873,3757,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1873,3176,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1873,2269,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1873,3691,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1873,6090,61,Caserta,TAVOLA_VI_1881,OK
Catania,1873,4438,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1873,3858,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1873,3183,69,Chieti,TAVOLA_VI_1881,OK
Como,1873,4259,13,Como,TAVOLA_VI_1881,OK
Cosenza,1873,3720,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1873,2549,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1873,4841,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1873,1494,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1873,5968,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1873,3385,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1873,1262,40,Forlì,TAVOLA_VI_1881,OK
Genova,1873,5585,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1873,2659,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1873,727,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1873,4233,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1873,850,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1873,2119,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1873,1437,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1873,2440,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1873,986,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1873,3407,83,Messina,TAVOLA_VI_1881,OK
Milano,1873,9198,15,Milano,TAVOLA_VI_1881,OK
Modena,1873,2090,36,Modena,TAVOLA_VI_1881,OK
Napoli,1873,7259,63,Napoli,TAVOLA_VI_1881,OK
Novara,1873,5265,3,Novara,TAVOLA_VI_1881,OK
Padova,1873,2676,28,Padova,TAVOLA_VI_1881,OK
Palermo,1873,5723,82,Palermo,TAVOLA_VI_1881,NOREF
Parma,1873,2111,34,Parma,TAVOLA_VI_1881,OK
Pavia,1873,3969,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1873,3171,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1873,1461,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1873,1780,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1873,1879,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1873,986,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1873,5177,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1873,1268,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1873,3456,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1873,1786,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Roma *,1873,3164,58,Roma,TAVOLA_VI_1881,OK
Rovigo,1873,1722,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1873,4903,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1873,1631,90,Sassari,TAVOLA_VI_1881,OK
Siena,1873,1325,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1873,2395,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1873,815,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1873,1886,67,Teramo,TAVOLA_VI_1881,OK
Torino,1873,7203,1,Torino,TAVOLA_VI_1881,NOREF
Trapani,1873,2418,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1873,2669,26,Treviso,TAVOLA_VI_1881,OK
Udine,1873,3880,30,Udine,TAVOLA_VI_1881,OK
Venezia,1873,2536,27,Venezia,TAVOLA_VI_1881,OK
Verona,1873,2996,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1873,2802,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1874,6019,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1874,1732,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1874,3094,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1874,1609,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1874,1058,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1874,3634,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1874,4973,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1874,1442,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1874,1947,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1874,2903,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1874,2865,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1874,3587,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1874,3251,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1874,2040,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1874,3437,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1874,5375,61,Caserta,TAVOLA_VI_1881,OK
Catania,1874,4288,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1874,3179,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1874,2657,69,Chieti,TAVOLA_VI_1881,OK
Como,1874,4308,13,Como,TAVOLA_VI_1881,OK
Cosenza,1874,3445,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1874,2335,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1874,4952,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1874,1590,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1874,5758,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1874,3002,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1874,1455,40,Forlì,TAVOLA_VI_1881,OK
Genova,1874,5574,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1874,2308,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1874,758,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1874,3249,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1874,856,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1874,1909,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1874,1437,43,Macerata,TAVOLA_VI_1881,OK
