COD_PROV,year,emigrants,emig_rate
9,1914,5759,4.67
10,1914,5759,4.67
11,1914,5759,4.67
8,1915,4785,3.85
9,1915,4785,3.85
10,1915,4785,3.85
11,1915,4785,3.85
8,1916,5794,4.61
9,1916,5794,4.61
10,1916,5794,4.61
11,1916,5794,4.61
8,1919,13895,10.72
9,1919,13895,10.72
10,1919,13895,10.72
11,1919,13895,10.72
8,1920,13011,9.94
9,1920,13011,9.94
10,1920,13011,9.94
11,1920,13011,9.94
8,1921,4161,3.15
9,1921,4161,3.15
10,1921,4161,3.15
11,1921,4161,3.15
12,1911,65069,13.6
13,1911,65069,13.6
14,1911,65069,13.6
15,1911,65069,13.6
16,1911,65069,13.6
17,1911,65069,13.6
18,1911,65069,13.6
19,1911,65069,13.6
20,1911,65069,13.6
12,1912,75436,15.67
13,1912,75436,15.67
14,1912,75436,15.67
15,1912,75436,15.67
16,1912,75436,15.67
17,1912,75436,15.67
18,1912,75436,15.67
19,1912,75436,15.67
20,1912,75436,15.67
12,1913,87133,17.98
13,1913,87133,17.98
14,1913,87133,17.98
15,1913,87133,17.98
16,1913,87133,17.98
17,1913,87133,17.98
18,1913,87133,17.98
19,1913,87133,17.98
20,1913,87133,17.98
12,1914,60206,12.34
13,1914,60206,12.34
14,1914,60206,12.34
15,1914,60206,12.34
16,1914,60206,12.34
17,1914,60206,12.34
18,1914,60206,12.34
19,1914,60206,12.34
20,1914,60206,12.34
12,1915,21879,4.46
13,1915,21879,4.46
14,1915,21879,4.46
15,1915,21879,4.46
16,1915,21879,4.46
17,1915,21879,4.46
18,1915,21879,4.46
19,1915,21879,4.46
20,1915,21879,4.46
12,1916,14505,2.94
13,1916,14505,2.94
14,1916,14505,2.94
15,1916,14505,2.94
16,1916,14505,2.94
17,1916,14505,2.94
18,1916,14505,2.94
19,1916,14505,2.94
20,1916,14505,2.94
12,1919,27788,5.52
13,1919,27788,5.52
14,1919,27788,5.52
15,1919,27788,5.52
16,1919,27788,5.52
17,1919,27788,5.52
18,1919,27788,5.52
19,1919,27788,5.52
20,1919,27788,5.52
12,1920,47836,9.45
13,1920,47836,9.45
14,1920,47836,9.45
15,1920,47836,9.45
16,1920,47836,9.45
17,1920,47836,9.45
18,1920,47836,9.45
19,1920,47836,9.45
20,1920,47836,9.45
12,1921,22050,4.33
13,1921,22050,4.33
14,1921,22050,4.33
15,1921,22050,4.33
16,1921,22050,4.33
17,1921,22050,4.33
18,1921,22050,4.33
19,1921,22050,4.33
20,1921,22050,4.33
41,1911,17232,15.78
42,1911,17232,15.78
43,1911,17232,15.78
44,1911,17232,15.78
41,1912,32427,29.55
42,1912,32427,29.55
43,1912,32427,29.55
44,1912,32427,29.55
41,1913,32069,29.09
42,1913,32069,29.09
43,1913,32069,29.09
44,1913,32069,29.09
41,1914,13484,12.18
42,1914,13484,12.18
43,1914,13484,12.18
44,1914,13484,12.18
41,1915,3376,3.03
42,1915,3376,3.03
43,1915,3376,3.03
44,1915,3376,3.03
41,1916,3007,2.69
42,1916,3007,2.69
43,1916,3007,2.69
44,1916,3007,2.69
41,1919,6105,5.39
42,1919,6105,5.39
43,1919,6105,5.39
44,1919,6105,5.39
41,1920,20119,17.68
42,1920,20119,17.68
43,1920,20119,17.68
44,1920,20119,17.68
41,1921,6701,5.86
42,1921,6701,5.86
43,1921,6701,5.86
44,1921,6701,5.86
1,1911,52335,15.34
2,1911,52335,15.34
3,1911,52335,15.34
4,1911,52335,15.34
5,1911,52335,15.34
6,1911,52335,15.34
7,1911,52335,15.34
1,1912,65244,19.15
2,1912,65244,19.15
3,1912,65244,19.15
4,1912,65244,19.15
5,1912,65244,19.15
6,1912,65244,19.15
7,1912,65244,19.15
1,1913,78663,23.11
2,1913,78663,23.11
3,1913,78663,23.11
4,1913,78663,23.11
5,1913,78663,23.11
6,1913,78663,23.11
7,1913,78663,23.11
1,1914,51725,15.21
2,1914,51725,15.21
3,1914,51725,15.21
4,1914,51725,15.21
5,1914,51725,15.21
6,1914,51725,15.21
7,1914,51725,15.21
1,1915,26731,7.87
