province,year,emigrants,emig_eur,emig_trans,COD_PROV,DEN_PROV,source,validated
Ferrara,1912,1703,1290,413,38,Ferrara,ASI1913,OK
Firenze,1912,13191,11604,1587,48,Firenze,ASI1913,OK
Foggia,1912,9460,476,8984,71,Foggia,ASI1913,OK
Forlì,1912,8202,6401,1801,40,Forlì,ASI1913,OK
Genova,1912,7706,2192,5514,10,Genova,ASI1913,OK
Girgenti,1912,13312,901,12411,84,Girgenti,ASI1913,OK
Grosseto,1912,1188,526,662,53,Grosseto,ASI1913,OK
Lecce,1912,3235,1406,1829,75,Lecce,ASI1913,OK
Livorno,1912,1254,991,263,49,Livorno,ASI1913,OK
Lucca,1912,9850,3082,6768,46,Lucca,ASI1913,OK
Macerata,1912,8596,1849,6747,43,Macerata,ASI1913,OK_corrected
Mantova,1912,3571,2450,1121,20,Mantova,ASI1913,OK
Massa e Carrara,1912,4953,2669,2284,45,Massa e Carrara,ASI1913,OK
Messina,1912,14287,917,13370,83,Messina,ASI1913,OK
Milano,1912,12812,9216,3596,15,Milano,ASI1913,OK
Modena,1912,4505,3092,1413,36,Modena,ASI1913,OK
Napoli,1912,8274,2116,6158,63,Napoli,ASI1913,OK
Novara,1912,22796,17550,5246,3,Novara,ASI1913,OK
Padova,1912,8368,6072,2296,28,Padova,ASI1913,OK
Palermo,1912,14922,439,14483,82,Palermo,ASI1913,OK
Parma,1912,6262,4516,1746,34,Parma,ASI1913,OK
Pavia,1912,7162,1578,5584,18,Pavia,ASI1913,OK
Perugia,1912,14041,11063,2978,54,Umbria,ASI1913,OK
Pesaro e Urbino,1912,9385,6777,2608,41,Pesaro e Urbino,ASI1913,OK
Piacenza,1912,3970,2167,1803,33,Piacenza,ASI1913,OK
Pisa,1912,3685,2594,1091,50,Pisa,ASI1913,OK
Porto Maurizio,1912,1160,851,309,8,Porto Maurizio,ASI1913,OK
Potenza,1912,14868,546,14322,76,Potenza,ASI1913,OK
Ravenna,1912,2278,2099,179,39,Ravenna,ASI1913,OK_corrected
Reggio di Calabria,1912,14362,772,13590,80,Reggio di Calabria,ASI1913,OK
Reggio nell'Emilia,1912,2979,2487,492,35,Reggio nell'Emilia,ASI1913,OK_corrected
Roma,1912,17873,2688,15185,58,Roma,ASI1913,OK
Rovigo,1912,3018,1903,1115,29,Rovigo,ASI1913,OK
Salerno,1912,14601,599,14002,65,Salerno,ASI1913,OK
Sassari,1912,5290,2242,3048,90,Sassari,ASI1913,OK
Siena,1912,1242,1002,240,52,Siena,ASI1913,OK
Siracusa,1912,15308,1050,14258,89,Siracusa,ASI1913,OK
Sondrio,1912,6225,5246,979,14,Sondrio,ASI1913,OK
Teramo,1912,10191,1221,8970,67,Teramo,ASI1913,OK
Torino,1912,22242,13672,8570,1,Torino,ASI1913,OK
Trapani,1912,8580,1022,7558,81,Trapani,ASI1913,OK
Treviso,1912,12041,9939,2102,26,Treviso,ASI1913,OK
Udine,1912,42048,36008,6040,30,Udine,ASI1913,OK
Venezia,1912,3468,3173,295,27,Venezia,ASI1913,OK_corrected
Verona,1912,10675,9202,1473,23,Verona,ASI1913,OK
Vicenza,1912,17378,14893,2485,24,Vicenza,ASI1913,OK
Alessandria,1913,13653,2226,11427,6,Alessandria,ASI1914,OK
Ancona,1913,7361,3323,4038,42,Ancona,ASI1914,OK
Aquila degli Abruzzi,1913,20683,4339,16344,66,Aquila degli Abruzzi,ASI1914,OK
Arezzo,1913,6367,4698,1669,51,Arezzo,ASI1914,OK
