"code","province","age_class","male","female","total"
"001","Torino","0",12892,12355,25247
"001","Torino","1-4",47442,44664,92106
"001","Torino","5-9",53227,50678,103905
"001","Torino","10-14",56036,53686,109722
"001","Torino","15-19",59374,55087,114461
"001","Torino","20-24",75897,72365,148262
"001","Torino","25-29",78435,74013,152448
"001","Torino","30-34",79663,77653,157316
"001","Torino","35-39",72024,73805,145829
"001","Torino","40-44",50412,53423,103835
"001","Torino","45-49",63056,66036,129092
"001","Torino","50-54",62976,68710,131686
"001","Torino","55-59",53763,60377,114140
"001","Torino","60-64",46442,57439,103881
"001","Torino","65-69",31599,43560,75159
"001","Torino","70-74",20193,35145,59361
"001","Torino","75-79",14908,22803,37711
"001","Torino","80-84",7146,11685,18831
"001","Torino","85+",2941,5489,8430
"002","Vercelli","0",2343,2253,4596
"002","Vercelli","1-4",8820,8311,17131
"002","Vercelli","5-9",11065,10555,21620
"002","Vercelli","10-14",12582,12170,24752
"002","Vercelli","15-19",11221,11125,22346
"002","Vercelli","20-24",14634,13957,28591
"002","Vercelli","25-29",14553,13915,28468
"002","Vercelli","30-34",15257,15315,30572
"002","Vercelli","35-39",14825,15531,30356
"002","Vercelli","40-44",10003,10689,20692
"002","Vercelli","45-49",13623,15040,28663
"002","Vercelli","50-54",14677,16300,30977
"002","Vercelli","55-59",13438,15417,28855
"002","Vercelli","60-64",10821,14405,25226
"002","Vercelli","65-69",8428,11794,20222
"002","Vercelli","70-74",7159,9832,16991
"002","Vercelli","75-79",4646,5770,11703
"002","Vercelli","80-84",2515,4085,66
"002","Vercelli","85+",1096,1941,3037
"003","Novara","0",3142,2978,6120
"003","Novara","1-4",11430,11061,22491
"003","Novara","5-9",13898,13456,27354
"003","Novara","10-14",15326,14890,30216
"003","Novara","15-19",14008,13463,27471
"003","Novara","20-24",17679,17446,35125
"003","Novara","25-29",16372,15973,32345
"003","Novara","30-34",17812,17770,35582
"003","Novara","35-39",16814,17240,34054
"003","Novara","40-44",11726,12330,24056
"003","Novara","45-49",15952,17117,33069
"003","Novara","50-54",16543,17966,34509
"003","Novara","55-59",14570,16425,30995
"003","Novara","60-64",11642,14586,26228
"003","Novara","65-69",8828,12053,20881
"003","Novara","70-74",7264,10113,17377
"003","Novara","75-79",4564,6827,8916
"003","Novara","80-84",242,3698,6118
"003","Novara","85+",971,1895,2866
"004","Cuneo","0",3275,3356,6631
"004","Cuneo","1-4",13557,12378,25935
