year,severity,flag,unit,age,sex,value,detail
1931,WARN,SEX_RATIO,066 Aquila degli Abruzzi,35-39,MF,0.673,"M/F outside (0.7, 1.4) (M=7144, F=10609)"
1931,WARN,SEX_RATIO,066 Aquila degli Abruzzi,40-44,MF,0.665,"M/F outside (0.7, 1.4) (M=6821, F=10259)"
1931,WARN,SEX_RATIO,067 Teramo,35-39,MF,0.66,"M/F outside (0.7, 1.4) (M=4563, F=6917)"
1931,WARN,SEX_RATIO,069 Chieti,10-14,MF,0.66,"M/F outside (0.7, 1.4) (M=15786, F=23912)"
1931,WARN,SEX_RATIO,069 Chieti,35-39,MF,0.586,"M/F outside (0.7, 1.4) (M=6603, F=11274)"
1931,WARN,SEX_RATIO,069 Chieti,40-44,MF,0.635,"M/F outside (0.7, 1.4) (M=6813, F=10728)"
1931,WARN,SEX_RATIO,070 Campobasso,35-39,MF,0.634,"M/F outside (0.7, 1.4) (M=7344, F=11590)"
1931,WARN,SEX_RATIO,070 Campobasso,40-44,MF,0.641,"M/F outside (0.7, 1.4) (M=6779, F=10570)"
1931,WARN,SEX_RATIO,077 Matera,35-39,MF,2.61,"M/F outside (0.7, 1.4) (M=3732, F=1430)"
1931,WARN,AGE_PROFILE,077 Matera,35-39,F,1430.0,"ratio to neighbour avg = 0.31 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1931,WARN,SEX_RATIO,078 Cosenza,35-39,MF,0.606,"M/F outside (0.7, 1.4) (M=10547, F=17393)"
1931,WARN,SEX_RATIO,078 Cosenza,40-44,MF,0.616,"M/F outside (0.7, 1.4) (M=9214, F=14956)"
1931,WARN,SEX_RATIO,078 Cosenza,45-49,MF,0.694,"M/F outside (0.7, 1.4) (M=8707, F=12538)"
1931,WARN,SEX_RATIO,079 Catanzaro,35-39,MF,0.63,"M/F outside (0.7, 1.4) (M=11767, F=18664)"
1931,WARN,SEX_RATIO,079 Catanzaro,40-44,MF,0.627,"M/F outside (0.7, 1.4) (M=9828, F=15686)"
1931,WARN,SEX_RATIO,079 Catanzaro,45-49,MF,0.693,"M/F outside (0.7, 1.4) (M=9578, F=13824)"
1931,WARN,SEX_RATIO,080 Reggio di Calabria,35-39,MF,0.633,"M/F outside (0.7, 1.4) (M=10866, F=17179)"
