code,province,age_class,male,female,total
014,Sondrio,30-34,3722,4568,8290
014,Sondrio,35-39,3191,4008,7199
014,Sondrio,40-44,2907,3576,6483
014,Sondrio,45-49,3103,3476,6579
014,Sondrio,50-54,2827,3373,6200
014,Sondrio,55-59,2688,3066,5754
014,Sondrio,60-64,2330,2538,4868
014,Sondrio,65-69,1827,1797,3624
014,Sondrio,70-74,1429,1201,2630
014,Sondrio,75-79,797,616,1413
014,Sondrio,80-84,291,234,525
014,Sondrio,85+,110,61,171
015,Milano,0,20862,19931,40793
015,Milano,1-4,70313,69304,139617
015,Milano,5-9,79219,77852,157071
015,Milano,10-14,76684,74777,151461
015,Milano,15-19,51828,50527,102355
015,Milano,20-24,57422,57241,114663
015,Milano,25-29,53001,52241,105242
015,Milano,30-34,47501,47707,95208
015,Milano,35-39,43914,42721,86635
015,Milano,40-44,40410,40011,80421
015,Milano,45-49,37078,35999,73077
015,Milano,50-54,32133,34240,66373
015,Milano,55-59,29586,29053,58639
015,Milano,60-64,23029,23244,46273
015,Milano,65-69,15990,15624,31614
015,Milano,70-74,9858,9805,19663
015,Milano,75-79,4656,4607,9263
015,Milano,80-84,1570,1819,3389
015,Milano,85+,403,494,897
016,Bergamo,0,8110,7672,15782
016,Bergamo,1-4,24413,24113,48526
016,Bergamo,5-9,26982,26240,53222
016,Bergamo,10-14,25744,25349,51093
016,Bergamo,15-19,27110,28602,55713
016,Bergamo,20-24,18295,20179,38474
016,Bergamo,25-29,15221,16465,31686
016,Bergamo,30-34,14031,14721,28752
016,Bergamo,35-39,12490,12946,25436
016,Bergamo,40-44,11882,12251,24133
016,Bergamo,45-49,11136,11122,22258
016,Bergamo,50-54,10381,10330,20711
016,Bergamo,55-59,9621,9349,18970
016,Bergamo,60-64,7777,7600,15377
016,Bergamo,65-69,5108,4852,9960
016,Bergamo,70-74,3288,2979,6267
016,Bergamo,75-79,1472,1405,2877
016,Bergamo,80-84,524,508,1032
016,Bergamo,85+,114,126,240
017,Brescia,0,7806,7431,15237
017,Brescia,1-4,26482,26448,52930
017,Brescia,5-9,29607,28846,58453
017,Brescia,10-14,27452,26940,54392
017,Brescia,15-19,18349,18361,36710
017,Brescia,20-24,19320,19695,39016
017,Brescia,25-29,18699,19383,38082
017,Brescia,30-34,17529,17843,35372
017,Brescia,35-39,16528,16381,32909
017,Brescia,40-44,15005,14851,29856
017,Brescia,45-49,14115,13674,27789
017,Brescia,50-54,13474,13109,26583
017,Brescia,55-59,12584,11693,24277
017,Brescia,60-64,10321,10220,20541
017,Brescia,65-69,7042,6554,13596
017,Brescia,70-74,4641,4273,8914
017,Brescia,75-79,2335,2246,4581
017,Brescia,80-84,697,814,1511
017,Brescia,85+,209,191,400
018,Pavia,0,7070,6797,13867
018,Pavia,1-4,24569,24294,48863
018,Pavia,5-9,28140,27117,55257
018,Pavia,10-14,26220,25907,52127
018,Pavia,15-19,26420,26690,53110
018,Pavia,20-24,19514,20555,40069
018,Pavia,25-29,15644,16487,32131
018,Pavia,30-34,14546,15762,30308
018,Pavia,35-39,14159,14438,28597
018,Pavia,40-44,13233,13575,26808
018,Pavia,45-49,12808,12708,25516
018,Pavia,50-54,11507,11789,23296
018,Pavia,55-59,11008,10828,21836
018,Pavia,60-64,9375,9212,18587
018,Pavia,65-69,7379,6681,14060
018,Pavia,70-74,5105,4320,9425
018,Pavia,75-79,2868,2310,5178
018,Pavia,80-84,1041,933,1974
018,Pavia,85+,222,253,475
019,Cremona,0,4792,4580,9372
019,Cremona,1-4,15936,15547,31483
019,Cremona,5-9,17806,17475,35281
019,Cremona,10-14,16369,15948,32317
019,Cremona,15-19,18972,19445,38417
019,Cremona,20-24,12551,12531,25082
019,Cremona,25-29,11159,11578,22737
019,Cremona,30-34,10884,11177,22061
019,Cremona,35-39,10243,10184,20427
019,Cremona,40-44,8848,8931,17779
019,Cremona,45-49,8488,8269,16757
019,Cremona,50-54,7969,8052,16021
019,Cremona,55-59,7841,7598,15439
019,Cremona,60-64,6842,6646,13488
019,Cremona,65-69,4979,4580,9559
019,Cremona,70-74,3140,2739,5879
019,Cremona,75-79,1522,1414,2936
019,Cremona,80-84,548,505,1053
019,Cremona,85+,124,147,271
020,Mantova,0,4428,4525,8953
020,Mantova,1-4,15674,14865,30539
020,Mantova,5-9,17303,16962,34265
020,Mantova,10-14,15789,15299,31088
020,Mantova,15-19,16793,17508,34301
020,Mantova,20-24,13605,13959,27564
020,Mantova,25-29,10615,10424,21039
020,Mantova,30-34,10402,10284,20686
020,Mantova,35-39,9855,9421,19276
020,Mantova,40-44,7934,7745,15679
020,Mantova,45-49,7384,7253,14637
020,Mantova,50-54,7467,7290,14757
020,Mantova,55-59,7244,6790,14034
020,Mantova,60-64,6604,6174,12778
020,Mantova,65-69,4837,4512,9349
020,Mantova,70-74,3283,3141,6424
020,Mantova,75-79,1967,1870,3837
020,Mantova,80-84,633,632,1265
020,Mantova,85+,190,204,394
023,Verona,0,5891,5731,11622
023,Verona,1-4,21408,20258,41666
023,Verona,5-9,23278,22600,45878
023,Verona,10-14,21635,21034,42669
023,Verona,15-19,15644,15926,31570
023,Verona,20-24,17652,16248,33901
023,Verona,25-29,14829,15410,30239
023,Verona,30-34,13988,14557,28545
023,Verona,35-39,12766,12904,25670
023,Verona,40-44,10666,10561,21227
023,Verona,45-49,9938,9952,19890
023,Verona,50-54,9191,9641,18832
023,Verona,55-59,9368,9443,18811
023,Verona,60-64,8095,8079,16174
023,Verona,65-69,5553,5421,10974
023,Verona,70-74,3818,3937,7755
023,Verona,75-79,2470,2450,4920
023,Verona,80-84,869,920,1789
023,Verona,85+,250,277,527
024,Vicenza,0,7027,6803,13830
024,Vicenza,1-4,24481,24105,48586
024,Vicenza,5-9,26471,26025,52496
024,Vicenza,10-14,23490,23805,47295
024,Vicenza,15-19,20285,22116,42401
024,Vicenza,20-24,16621,19075,35696
024,Vicenza,25-29,14896,16120,31016
024,Vicenza,30-34,13882,14684,28566
024,Vicenza,35-39,12212,12975,25187
024,Vicenza,40-44,10658,10992,21650
024,Vicenza,45-49,9946,9950,19896
024,Vicenza,50-54,9494,9672,19166
024,Vicenza,55-59,9558,8993,18551
024,Vicenza,60-64,8184,7841,16025
024,Vicenza,65-69,5661,5191,10852
024,Vicenza,70-74,4117,3857,7974
024,Vicenza,75-79,2753,2517,5270
024,Vicenza,80-84,1045,862,1907
024,Vicenza,85+,310,264,574
025,Belluno,0,3260,3248,6508
025,Belluno,1-4,11265,10940,22205
025,Belluno,5-9,12226,11898,24124
025,Belluno,10-14,10278,10527,20805
025,Belluno,15-19,9683,10254,19937
025,Belluno,20-24,7423,8675,16099
025,Belluno,25-29,5446,6814,12260
025,Belluno,30-34,5050,6366,11416
025,Belluno,35-39,4681,5900,10581
025,Belluno,40-44,4229,5123,9352
025,Belluno,45-49,3929,4794,8723
025,Belluno,50-54,3886,4607,8493
025,Belluno,55-59,3680,4409,8089
025,Belluno,60-64,3146,3776,6922
025,Belluno,65-69,2620,2726,5346
025,Belluno,70-74,1844,1894,3738
025,Belluno,75-79,1264,1262,2526
025,Belluno,80-84,526,501,1027
025,Belluno,85+,182,163,345
026,Treviso,0,7216,6707,13923
026,Treviso,1-4,24752,23585,48337
026,Treviso,5-9,26418,25157,51575
026,Treviso,10-14,22563,21869,44432
026,Treviso,15-19,19272,20025,39297
026,Treviso,20-24,15561,16326,31887
026,Treviso,25-29,13477,14103,27580
026,Treviso,30-34,12642,12939,25581
026,Treviso,35-39,11112,11422,22534
026,Treviso,40-44,9540,9544,19084
026,Treviso,45-49,8565,8504,17069
026,Treviso,50-54,8246,8278,16524
026,Treviso,55-59,8059,7938,15997
026,Treviso,60-64,7024,7135,14159
026,Treviso,65-69,5122,5154,10276
026,Treviso,70-74,4046,3840,7886
026,Treviso,75-79,2685,2608,5293
026,Treviso,80-84,1076,1060,2136
026,Treviso,85+,343,374,717
027,Venezia,0,5972,5862,11834
027,Venezia,1-4,20367,20009,40376
027,Venezia,5-9,22412,21707,44119
027,Venezia,10-14,19587,19454,39041
027,Venezia,15-19,15504,15749,31254
027,Venezia,20-24,17980,17272,35253
027,Venezia,25-29,14032,14421,28453
027,Venezia,30-34,12930,13179,26109
027,Venezia,35-39,12854,12782,25636
027,Venezia,40-44,11097,11086,22183
027,Venezia,45-49,9971,9859,19830
027,Venezia,50-54,8650,9263,17913
027,Venezia,55-59,8153,8888,17041
027,Venezia,60-64,6648,7592,14240
027,Venezia,65-69,5081,5654,10735
027,Venezia,70-74,3318,4035,7353
027,Venezia,75-79,2210,2667,4877
027,Venezia,80-84,805,1021,1826
027,Venezia,85+,243,400,643
028,Padova,0,7000,6657,13657
028,Padova,1-4,25689,23978,49667
028,Padova,5-9,26038,24991,51029
028,Padova,10-14,22887,22614,45501
028,Padova,15-19,19636,19998,39634
028,Padova,20-24,20865,21765,42630
028,Padova,25-29,15235,15938,31173
028,Padova,30-34,14017,14481,28498
028,Padova,35-39,12611,12979,25590
028,Padova,40-44,10793,10845,21638
028,Padova,45-49,9683,9762,19445
028,Padova,50-54,9389,9793,19182
028,Padova,55-59,9218,9345,18563
028,Padova,60-64,7985,8089,16074
028,Padova,65-69,5278,5356,10634
028,Padova,70-74,3800,4136,7936
028,Padova,75-79,2712,2790,5502
028,Padova,80-84,881,988,1869
028,Padova,85+,257,364,621
029,Rovigo,0,3723,3537,7260
029,Rovigo,1-4,13058,12419,25477
029,Rovigo,5-9,13105,12607,25712
029,Rovigo,10-14,11287,11042,22329
029,Rovigo,15-19,11196,11173,22370
029,Rovigo,20-24,8376,9246,17623
029,Rovigo,25-29,7708,7728,15436
029,Rovigo,30-34,6954,7003,13957
029,Rovigo,35-39,6592,6455,13047
029,Rovigo,40-44,5376,5203,10579
029,Rovigo,45-49,4885,5045,9930
029,Rovigo,50-54,4938,4930,9868
029,Rovigo,55-59,4716,4831,9547
029,Rovigo,60-64,4064,4225,8289
029,Rovigo,65-69,3223,3167,6390
029,Rovigo,70-74,1897,2157,4054
029,Rovigo,75-79,1180,1330,2510
029,Rovigo,80-84,470,507,977
029,Rovigo,85+,162,167,329
030,Udine,0,9376,9123,18499
030,Udine,1-4,31940,31002,62942
030,Udine,5-9,35528,34267,69795
030,Udine,10-14,31775,31096,62871
030,Udine,15-19,24055,24070,48125
030,Udine,20-24,21730,24125,45856
030,Udine,25-29,19011,20334,39345
030,Udine,30-34,16987,18098,35085
030,Udine,35-39,15534,16543,32077
030,Udine,40-44,14440,15589,30029
030,Udine,45-49,12800,13791,26591
030,Udine,50-54,12411,13493,25904
030,Udine,55-59,11943,12247,24190
030,Udine,60-64,10264,10869,21133
030,Udine,65-69,8280,8570,16850
030,Udine,70-74,6218,6578,12796
030,Udine,75-79,4143,4100,8243
030,Udine,80-84,1642,1757,3399
030,Udine,85+,622,602,1224
033,Piacenza,0,3746,3403,7149
033,Piacenza,1-4,12420,11934,24354
033,Piacenza,5-9,13614,13272,26886
033,Piacenza,10-14,12636,12637,25273
033,Piacenza,15-19,15536,16111,31648
033,Piacenza,20-24,10660,9703,20364
033,Piacenza,25-29,7550,7819,15369
033,Piacenza,30-34,7502,7547,15049
033,Piacenza,35-39,7295,7386,14681
033,Piacenza,40-44,6658,6706,13364
033,Piacenza,45-49,6333,6133,12466
033,Piacenza,50-54,5914,5620,11534
033,Piacenza,55-59,5545,5053,10598
033,Piacenza,60-64,5285,4673,9958
033,Piacenza,65-69,3748,3328,7076
033,Piacenza,70-74,2763,2251,5014
033,Piacenza,75-79,1336,1252,2588
033,Piacenza,80-84,554,441,995
033,Piacenza,85+,139,113,252
034,Parma,0,4283,4116,8399
034,Parma,1-4,14628,14084,28712
034,Parma,5-9,16416,15975,32391
034,Parma,10-14,15387,14867,30254
034,Parma,15-19,23100,22911,46011
034,Parma,20-24,13121,12627,25748
034,Parma,25-29,9221,9723,18944
034,Parma,30-34,9060,9266,18326
034,Parma,35-39,8681,8749,17430
034,Parma,40-44,8059,8162,16221
034,Parma,45-49,7432,7208,14640
034,Parma,50-54,7027,6965,13992
034,Parma,55-59,6675,6057,12732
034,Parma,60-64,5771,5365,11136
034,Parma,65-69,4636,4155,8791
034,Parma,70-74,3328,2918,6246
034,Parma,75-79,1755,1605,3360
034,Parma,80-84,739,686,1425
034,Parma,85+,160,191,351
035,Reggio Emilia,0,4262,4189,8451
035,Reggio Emilia,1-4,14829,14272,29101
035,Reggio Emilia,5-9,16044,15902,31946
035,Reggio Emilia,10-14,14606,14295,28901
035,Reggio Emilia,15-19,12090,12055,24146
035,Reggio Emilia,20-24,10136,10704,20840
035,Reggio Emilia,25-29,8587,8881,17468
035,Reggio Emilia,30-34,8620,9015,17635
035,Reggio Emilia,35-39,8511,8400,16911
035,Reggio Emilia,40-44,7292,7538,14830
035,Reggio Emilia,45-49,6558,6438,12996
035,Reggio Emilia,50-54,6501,6271,12772
035,Reggio Emilia,55-59,5925,5527,11452
035,Reggio Emilia,60-64,5281,4822,10103
035,Reggio Emilia,65-69,4093,3646,7739
035,Reggio Emilia,70-74,2732,2378,5110
035,Reggio Emilia,75-79,1570,1401,2971
035,Reggio Emilia,80-84,524,486,1010
035,Reggio Emilia,85+,147,152,299
036,Modena,0,4697,4675,9372
036,Modena,1-4,16633,15644,32277
036,Modena,5-9,17951,17799,35750
036,Modena,10-14,16667,16252,32919
036,Modena,15-19,17706,18494,36200
036,Modena,20-24,11657,12344,24001
036,Modena,25-29,9721,9940,19661
036,Modena,30-34,9548,10156,19704
036,Modena,35-39,9866,10028,19894
036,Modena,40-44,8847,8918,17765
036,Modena,45-49,7955,7646,15601
036,Modena,50-54,7849,7454,15303
036,Modena,55-59,6925,6478,13403
036,Modena,60-64,6286,5653,11939
036,Modena,65-69,5155,4493,9648
036,Modena,70-74,3176,2957,6133
036,Modena,75-79,2016,1695,3711
036,Modena,80-84,606,589,1195
036,Modena,85+,166,178,344
037,Bologna,0,6678,6485,13163
037,Bologna,1-4,23468,23447,46915
037,Bologna,5-9,28802,28551,57353
037,Bologna,10-14,26840,26927,53767
037,Bologna,15-19,19110,18888,37999
037,Bologna,20-24,19539,19052,38591
037,Bologna,25-29,17587,17923,35510
037,Bologna,30-34,17250,17587,34837
037,Bologna,35-39,17746,17269,35015
037,Bologna,40-44,15780,15061,30841
037,Bologna,45-49,13506,13164,26670
037,Bologna,50-54,13547,13107,26654
037,Bologna,55-59,11889,11288,23177
037,Bologna,60-64,9884,9461,19345
037,Bologna,65-69,7382,7146,14528
037,Bologna,70-74,4962,4849,9811
037,Bologna,75-79,2869,3064,5933
037,Bologna,80-84,1011,1086,2097
037,Bologna,85+,212,336,548
038,Ferrara,0,4307,3993,8300
038,Ferrara,1-4,14662,13997,28659
038,Ferrara,5-9,15558,15290,30848
038,Ferrara,10-14,13956,13558,27514
038,Ferrara,15-19,15000,14844,29844
038,Ferrara,20-24,14576,15044,29621
038,Ferrara,25-29,9664,9291,18955
038,Ferrara,30-34,8503,8353,16856
038,Ferrara,35-39,8907,8446,17353
038,Ferrara,40-44,7798,7385,15183
038,Ferrara,45-49,6547,6341,12888
038,Ferrara,50-54,6364,6120,12484
038,Ferrara,55-59,6015,5793,11808
038,Ferrara,60-64,4966,4771,9737
038,Ferrara,65-69,3373,3521,6894
038,Ferrara,70-74,1975,2175,4150
038,Ferrara,75-79,1159,1377,2536
038,Ferrara,80-84,445,564,1009
038,Ferrara,85+,134,199,333
039,Ravenna,0,2539,2424,4963
039,Ravenna,1-4,9469,9217,18686
039,Ravenna,5-9,11905,11506,23411
039,Ravenna,10-14,11495,11052,22547
039,Ravenna,15-19,11374,11553,22927
039,Ravenna,20-24,10365,9771,20137
039,Ravenna,25-29,8230,7892,16122
039,Ravenna,30-34,8170,7655,15825
039,Ravenna,35-39,8426,7874,16300
039,Ravenna,40-44,7547,7018,14565
039,Ravenna,45-49,6769,6143,12912
039,Ravenna,50-54,6925,6196,13121
039,Ravenna,55-59,5961,5509,11470
039,Ravenna,60-64,4602,4386,8988
039,Ravenna,65-69,3513,3420,6933
039,Ravenna,70-74,2309,2384,4693
039,Ravenna,75-79,1381,1425,2806
039,Ravenna,80-84,610,601,1211
039,Ravenna,85+,183,222,405
040,Forli,0,3769,3508,7277
040,Forli,1-4,13455,12995,26450
040,Forli,5-9,15926,15490,31416
040,Forli,10-14,14749,14834,29583
040,Forli,15-19,14758,14384,29142
040,Forli,20-24,12586,12544,25130
040,Forli,25-29,8733,9002,17735
040,Forli,30-34,8881,8981,17862
040,Forli,35-39,8869,8576,17445
040,Forli,40-44,8262,7870,16132
040,Forli,45-49,7272,6991,14263
040,Forli,50-54,7422,7127,14549
040,Forli,55-59,6003,5670,11673
040,Forli,60-64,5300,4824,10124
040,Forli,65-69,3890,3560,7450
040,Forli,70-74,2640,2212,4852
040,Forli,75-79,1644,1291,2935
040,Forli,80-84,605,517,1122
040,Forli,85+,162,188,350
041,Pesaro Urbino,0,3603,3263,6866
041,Pesaro Urbino,1-4,12746,11814,24560
041,Pesaro Urbino,5-9,14441,13438,27879
041,Pesaro Urbino,10-14,13406,12859,26265
041,Pesaro Urbino,15-19,11528,11803,23332
041,Pesaro Urbino,20-24,9222,9975,19197
041,Pesaro Urbino,25-29,7799,8182,15981
041,Pesaro Urbino,30-34,7852,7982,15834
041,Pesaro Urbino,35-39,7787,7900,15687
041,Pesaro Urbino,40-44,7582,7342,14924
041,Pesaro Urbino,45-49,6332,6261,12593
041,Pesaro Urbino,50-54,6440,6289,12729
041,Pesaro Urbino,55-59,5501,5394,10895
041,Pesaro Urbino,60-64,4891,4698,9589
041,Pesaro Urbino,65-69,3890,3612,7502
041,Pesaro Urbino,70-74,2834,2495,5329
041,Pesaro Urbino,75-79,1819,1435,3254
041,Pesaro Urbino,80-84,560,522,1082
